Committee Name|Committee Address|Committee Type|Committee City|Committee State|Committee Zip|Committee ID Number|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature of Filing|Additional Ballot Question|Report Start Date|Report End Date|Field 1|Field 2A|Field 2B|Field 2C|Field 3|Field 4A|Field 4B|Field 5|Field 6|Field 7A|Field 7B|Field 7C|Field 7D|Field 8A|Field 8B|Field 8C|Field 8D|Field 9|Field 10|Field 11|Field 12|Field 13|Field 14|Field 15|Field 16|Field 17|Field 18|Field 19|Field 20|Field 21|Field 22|Field 23|Field 23|Field 24|Field 25|Field 26|Field 27|Adjustment|Total Unitemized Bills|Total Unpaid Bills|Total All Bills
NE STATE HOME BUILDERS ASSOCIATION ISSUES FUND|1327 H ST #307|B|LINCOLN|NE|68508|99BQC00039|02/16/2007|nadc03|05/01/2000|04/27/2000||05/09/2000|P|10| |04/05/2000|04/24/2000|219.29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|219.29|0|0|22|0|0|0|22|28424.94|0|0|28424.94|0|28424.94|0|28424.94|0|28424.94|||||11
NE STATE HOME BUILDERS ASSOCIATION ISSUES FUND|1327 H ST #307|B|LINCOLN|NE|68508|99BQC00039|02/16/2007|nadc03|06/16/2000|06/14/2000||05/09/2000|P|40| |04/25/2000|06/13/2000|219.29|0|0|0|0|216.58|216.58|0|216.58|0|0|0|0|0|0|0|0|216.58|435.87|0|0|22|0|0|0|22|28424.94|0|216.58|28641.52|0|28641.52|0|28641.52|0|28641.52|||||12
NE STATE HOME BUILDERS ASSOCIATION ISSUES FUND|1327 H ST #307|B|LINCOLN|NE|68508|99BQC00039|02/16/2007|nadc03|10/04/2000|10/03/2000|5980054|11/07/2000|O|FS| |06/14/2000|07/17/2000|435.87|0|0|0|0|237.48|237.48|0|237.48|0|0|0|0|0|0|0|0|237.48|673.35|0|0|22|29879|0|29879|29901|28641.52|0|237.48|28879|29879|-1000|1000|0|0|0||0|0|29879|13
CITIZENS FOR OUR CHILDREN'S FUTURE|2545 PONDER PLACE|B|GERING|NE|69341|99BQC00040|02/16/2007|nadc03|04/27/2000|04/26/2000||05/09/2000|P|10| |03/13/2000|04/24/2000|0|0|150|7415|0|0|7565|0|7565|0|0|0|0|0|0|0|0|7565|7565|0|0|0|348.5|0|348.5|348.5|0|0|7565|7565|348.5|7216.5|0|7216.5|0|7216.5||0|1044|1392.5|14
CITIZENS FOR OUR CHILDREN'S FUTURE|2545 PONDER PLACE|B|GERING|NE|69341|99BQC00040|02/16/2007|nadc03|06/16/2000|06/15/2000||05/09/2000|P|40| |04/25/2000|06/13/2000|7565|0|0|500|0|0|500|0|500|0|0|0|0|0|0|0|0|500|8065|0|0|348.5|5979.65|0|5979.65|6328.15|7216.5|0|500|7716.5|5979.65|1736.85|0|1736.85|0|1736.85||0|1585|6119.03|15
CITIZENS FOR OUR CHILDREN'S FUTURE|2545 PONDER PLACE|B|GERING|NE|69341|99BQC00040|02/16/2007|nadc03|07/06/2000|07/04/2000||05/09/2000|O|FS| |06/14/2000|06/30/2000|8065|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8065|0|0|6328.15|1736.85|0|1736.85|8065|1736.85|0|0|1736.85|1736.85|0|0|0|0|0||0|0|1585|16
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|06/01/2000|05/31/2000||11/07/2000|O|  |M|05/01/2000|05/25/2000|0|0|22745|0|0|0|22745|0|22745|0|0|0|0|0|0|0|0|22745|22745|0|0|0|14140.71|0|14140.71|14140.71|0|0|22745|22745|14140.71|8604.29|0|8604.29|0|8604.29||0|0|20114.09|17
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|07/03/2000|06/30/2000||11/07/2000|O|  |M|05/26/2000|06/25/2000|22730|0|8150|2500|0|0|10650|0|10650|0|0|0|0|0|0|0|0|10650|33380|0|0|14140.71|15497.96|0|15497.96|29638.67|8604.29|0|10650|19254.29|15497.96|3756.33|0|3756.33|0|3756.33||0|0|15438.53|18
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|08/24/2000||5970125|11/07/2000|O|  |M|06/26/2000|08/01/2000|33380|0|2742|0|0|0|2742|0|2742|0|0|0|0|0|0|0|0|2742|36122|0|0|29768.24|6288.61|0|6288.61|36056.85|3756.33|0|2742|6498.33|6288.61|209.72|0|209.72|0|209.72||0|0|5799.41|19
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|08/31/2000|08/30/2000|5970126|11/07/2000|O|  |M|08/01/2000|08/26/2000|36122|0|7635|0|0|0|7635|0|7635|0|0|0|0|0|0|0|0|7635|43757|0|0|36041.9|5145.28|0|5145.28|41187.18|209.72|0|7635|7844.72|5145.28|2699.44|0|2699.44|0|2699.44|                                                  ||||20
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|10/10/2000|10/06/2000|5980190|11/07/2000|G|30| |08/02/2000|10/03/2000|43757|0|13050.38|0|0|0|13050.38|0|13050.38|0|1374.84|0|1374.84|0|0|0|0|14425.22|58182.22|0|0|41187.18|13120.3|1374.84|14495.14|55682.32|2699.44|0|13050.38|15749.82|13120.3|2629.52|0|2629.52|0|2629.52||0|0|13647.96|21
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|10/30/2000|10/27/2000|6000031|11/07/2000|G|10| |10/04/2000|10/23/2000|58182.22|0|12700|9613.61|0|0|22313.61|0|22313.61|0|0|0|0|0|0|0|0|22313.61|80495.83|0|0|55672.52|18842.39|0|18842.39|74514.91|2629.52|0|22313.61|24943.13|18842.39|6100.74|0|6100.74|0|6100.74||0|0|0|22
DEFENSE OF MARRIAGE AMENDMENT COMMITTEE|290 CLAY STREET, P.O. BOX 208|B|TECUMSEH|NE|68450|99BQC00041|02/16/2007|nadc03|01/16/2001|01/14/2001|6030160|11/07/2000|G|70| |10/24/2000|12/31/2000|80495.83|0|16938.42|2098.1|0|0|19036.52|0|19036.52|0|0|0|0|0|0|0|0|19036.52|99532.35|0|0|74283.8|25137.26|0|25137.26|99421.06|6100.74|0|19036.52|25137.26|25137.26|0|0|0|0|0||0|0|0|23
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/16/2007|nadc03|07/31/2000|07/31/2000|5970031|08/29/2000|G|30| |04/21/2000|07/25/2000|0|0|4480|9525|0|0|14005|0|14005|0|0|0|0|0|0|0|0|14005|14005|0|0|0|4216.75|0|4216.75|4216.75|0|0|14005|14005|4216.75|9788.25|0|9788.25|0|9788.25||0|0|4209.64|24
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/26/2007|nadc04|08/21/2000|08/18/2000|5970103|08/29/2000|G|10| |07/26/2000|08/14/2000|14005|0|1430|0|0|0|1430|0|1430|0|0|0|0|0|0|0|0|1430|15435|0|0|4216.75|8402.17|0|8402.17|12618.92|9788.25|0|1430|11218.25|8402.17|2816.08|0|2816.08|0|2816.08||0|429.73|8811.15|25
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|08/08/2007|nadc04|01/03/2001|12/30/2000|6020112|08/29/2000|G|70| |08/14/2000|12/31/2000|15435|0|115|0|0|0|115|0|115|0|0|0|0|0|0|0|0|115|15550|0|0|12618.92|2406.15|0|2406.15|15025.07|2816.08|0|115|2931.08|2406.15|524.93|0|524.93|0|524.93||0|0|0|26
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/16/2007|nadc03|01/31/2002|01/30/2002|6260201|01/31/2002|A|  | |12/31/2000|12/31/2001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|524.93|0|0|524.93|0|524.93|0|524.93|0|524.93|||||27
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/16/2007|nadc03|01/15/2003|01/13/2003|6490158|05/04/2004|A|  | |12/31/2001|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|524.93|0|0|524.93|0|524.93|0|524.93|0|524.93|||||28
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/16/2007|nadc03|01/08/2004|01/07/2004|6650038|11/05/2002|A|  | |12/31/2002|12/31/2003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|524.93|0|0|524.93|0|524.93|0|524.93|0|524.93|||||29
TASK FORCE FOR KIDS|2195 NO. BROAD STREET|B|FREMONT|NE|68025|99BQC00042|02/16/2007|nadc03|01/31/2005|01/28/2005|7010079|01/01/2001|A|  | |12/31/2003|12/31/2004|||||||||||||||||||||||||||||||||||||||||30
COMMITTEE FOR BETTER JOBS & SAFER NEIGHBORHOODS|309 W. 2ND STREET|B|GRAND ISLAND|NE|68801|99BQC00043|02/16/2007|nadc03|06/08/2000|06/07/2000||05/09/2000|P|40| |03/21/2000|06/15/2000|0|0|18196|0|0|0|18196|0|18196|0|0|0|0|0|0|0|0|18196|18196|0|0|0|12197|0|12197|12197|0|0|18196|18196|12197|5999|0|5999|0|5999||0|5999|18196|31
COMMITTEE FOR BETTER JOBS & SAFER NEIGHBORHOODS|309 W. 2ND STREET|B|GRAND ISLAND|NE|68801|99BQC00043|02/16/2007|nadc03|07/07/2000|07/06/2000||05/09/2000|O|FS| |03/21/2000|06/30/2000|18196|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18196|0|0|12197|5999|0|5999|18196|5999|0|0|5999|5999|0|0|0|0|0||0|0|5999|32
VOTE NO ON DOMA COMMITTEE|1105 HOWARD STREET|B|OMAHA|NE|68102|99BQC00046|02/16/2007|nadc03|10/10/2000|10/10/2000|5980195|11/07/2000|G|30| |07/27/2000|10/03/2000|0|0|42265|20923|0|21|63209|0|63209|0|1150|10000|11150|0|0|0|0|74359|74359|0|0|0|29410|11150|40560|40560|0|0|63209|63209|29410|33799|0|33799|0|33799||0|0|37037|33
EVANS FOR EDUCATION|3335 SOUTH 31ST|C|LINCOLN|NE|68502|99CAC00012|02/16/2007|nadc03|06/14/1999|06/14/1999|5730219|05/04/1999|G|70|L|04/20/1999|06/08/1999|6195|0|1010|2900|0|0|3910|0|3910|0|0|0|0|0|0|0|0|3910|10105|0|0|2470|7710|0|7710|10180|3834|0|3910|7744|7710|34|0|34|0|34||0|0|0|34
EVANS FOR EDUCATION|3335 SOUTH 31ST|C|LINCOLN|NE|68502|99CAC00012|02/16/2007|nadc03|01/31/2001|01/31/2001|6040136|04/03/2003|A|  | |01/01/2000|12/31/2000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|34|0|0|34|0|34|0|34|0|34|||||35
EVANS FOR EDUCATION|3335 SOUTH 31ST|C|LINCOLN|NE|68502|99CAC00012|02/16/2007|nadc03|02/12/2002|02/12/2002|6280163|01/01/2001|A|  | |01/01/2001|12/31/2001|||||||||||||||||||||||||||||||||||||||||36
EVANS FOR EDUCATION|3335 SOUTH 31ST|C|LINCOLN|NE|68502|99CAC00012|02/16/2007|nadc03|01/31/2003|01/31/2003|6500107|04/08/2003|A|  | |01/01/2002|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|34|0|0|34|0|34|0|34|0|34|||||37
VOTE NO ON DOMA COMMITTEE|1105 HOWARD STREET|B|OMAHA|NE|68102|99BQC00046|02/16/2007|nadc03|10/30/2000|10/30/2000|6000037|11/07/2000|G|10| |10/03/2000|10/23/2000|74359|0|76314|7319|0|0|83633|0|83633|0|0|0|0|0|0|0|0|83633|157992|0|0|40560|106337|0|106337|146897|33799|0|83633|117432|106337|11095|0|11095|0|11095||0|0|105209|38
VOTE NO ON DOMA COMMITTEE|1105 HOWARD STREET|B|OMAHA|NE|68102|99BQC00046|02/16/2007|nadc03|12/20/2000|12/15/2000|6020008|11/07/2000|G|70| |10/24/2000|12/01/2000|157992|0|37064|6100|0|41|43205|0|43205|0|0|0|0|0|0|0|0|43205|201197|0|0|146897|55666|0|55666|202563|11095|0|43205|54300|55666|-1366|1366|0|0|0||0|0|0|39
SUPPORTERS OF AMBULANCE VALUE|233 SOUTH 13TH STREET SUITE 800|B|LINCOLN|NE|68508|99BQC00047|02/16/2007|nadc03|10/10/2000|10/10/2000|5980194|11/07/2000|G|30| |06/14/2000|10/03/2000|0|0|6087|6000|0|4.03|12091.03|0|12091.03|0|0|2763.69|2763.69|0|0|0|0|14854.72|14854.72|0|0|0|3810.82|2763.69|6574.51|6574.51|0|0|12091.03|12091.03|3810.82|8280.21|0|8280.21|0|8280.21||0|0|8727.38|40
SUPPORTERS OF AMBULANCE VALUE|233 SOUTH 13TH STREET SUITE 800|B|LINCOLN|NE|68508|99BQC00047|02/16/2007|nadc03|10/30/2000|10/30/2000|6000036|11/07/2000|G|10| |10/04/2000|10/23/2000|12091.03|0|7180|21800|0|1.11|28981.11|0|28981.11|0|0|0|0|0|0|0|0|28981.11|41072.14|0|0|3810.82|14207.02|0|14207.02|18017.84|8280.21|0|28981.11|37261.32|14207.02|23054.3|0|23054.3|0|23054.3||0|0|14020.5|41
SUPPORTERS OF AMBULANCE VALUE|233 SOUTH 13TH STREET SUITE 800|B|LINCOLN|NE|68508|99BQC00047|02/16/2007|nadc03|01/16/2001|01/16/2001|6030165|11/07/2000|G|70| |10/24/2000|12/31/2000|43835.83|0|4177|3000|0|19.42|7196.42|0|7196.42|0|0|260|260|0|0|0|0|7456.42|51292.25|0|0|20781.53|30250.72|260|30510.72|51292.25|23054.3|0|7196.42|30250.72|30250.72|0|0|0|0|0||0|0|0|42
VOTE NO TO SAVE LIVES|2825 WOODSDALE BLVD|B|LINCOLN|NE|68502|99BQC00048|02/16/2007|nadc03|10/11/2000|10/10/2000|5980196|11/07/2000|G|30| |06/14/2000|10/30/2000|0|0|2560|28200|0|0|30760|0|30760|0|0|0|0|0|0|0|0|30760|30760|0|0|0|9950|0|9950|9950|0|0|30760|30760|9950|20810|0|20810|0|20810||0|0|9950|43
VOTE NO TO SAVE LIVES|2825 WOODSDALE BLVD|B|LINCOLN|NE|68502|99BQC00048|02/16/2007|nadc03|10/30/2000|10/30/2000|6000038|11/07/2000|G|10| |10/04/2000|10/25/2000|30760|0|4766|57000|0|0|61766|0|61766|0|0|0|0|0|0|0|0|61766|92526|0|0|9950|40894.67|0|40894.67|50844.67|20810|0|61766|82576|40894.67|41681.33|0|41681.33|0|41681.33||0|0|0|44
VOTE NO TO SAVE LIVES|2825 WOODSDALE BLVD|B|LINCOLN|NE|68502|99BQC00048|02/16/2007|nadc03|01/18/2001|01/18/2001|6030166|11/07/2000|G|70| |10/26/2000|12/31/2000|92526|2660|9500|0|0|0|12160|0|12160|0|0|0|0|0|0|0|0|12160|104686|0|0|50844.67|53598.58|0|53598.58|104443.25|41681.33|0|12160|53841.33|53598.58|242.75|0|242.75|0|242.75||0|0|0|45
VOTE NO TO SAVE LIVES|2825 WOODSDALE BLVD|B|LINCOLN|NE|68502|99BQC00048|02/16/2007|nadc03|02/19/2002|02/19/2002|6290079|01/31/2002|A|  | |01/01/2001|01/15/2002|0|0|5273.5|3275.45|0|0|8548.95|0|8548.95|0|0|0|0|0|0|0|0|8548.95|8548.95|0|0|0|8000|0|8000|8000|242.75|0|8548.95|8791.7|8000|791.7|0|791.7|0|791.7||0|0|0|46
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|10/11/2000|10/10/2000|5980191|11/07/2000|G|30| |06/14/2000|10/03/2000|0|0|476019.75|23350|200000|0|699369.75|200000|499369.75|0|2439.68|0|2439.68|0|0|0|0|501809.43|501809.43|0|0|0|137848.72|2439.68|140288.4|140288.4|0|0|499369.75|499369.75|137848.72|361521.03|0|361521.03|0|361521.03||0|0|141715.4|50
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|11/01/2000|10/30/2000|6000032|11/07/2000|G|10| |10/04/2000|10/24/2000|501809.43|0|138126|91125|0|0|229251|0|229251|0|893.5|0|893.5|0|7762|0|7762|237906.5|739715.93|0|0|140288.4|423403.58|893.5|424297.08|564585.48|361521.03|0|229251|590772.03|423403.58|167368.45|0|167368.45|0|167368.45||0|0|424258.58|51
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|01/17/2001|01/17/2001|6030162|11/07/2000|G|70| |10/25/2000|12/31/2000|739715.93|39881|65015|0|0|0|104896|0|104896|0|945|0|945|0|0|0|0|105841|845556.93|0|0|564585.48|199128.31|945|200073.31|764658.79|167368.45|1097|104896|273361.45|199128.31|74233.14|0|74233.14|0|74233.14||0|0|0|52
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|02/04/2002|01/31/2002|6270191|11/07/2000|A|  | |01/01/2001|12/31/2001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5725.75|0|5725.75|5725.75|74233.14|0|0|74233.14|5725.75|68507.39|0|68507.39|0|68507.39||0|0|0|53
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|02/03/2003|01/31/2003|6510021|01/01/2001|A|  | |01/01/2002|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|57154.8|0|57154.8|57154.8|68507.39|0|0|68507.39|57154.8|11352.59|0|11352.59|0|11352.59||0|0|0|54
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|8712 WEST DODGE ROAD|B|OMAHA|NE|68114|99BQC00050|02/16/2007|nadc03|02/03/2004|01/30/2004|6670212|01/01/2001|A|  | |01/01/2003|12/31/2003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|210|0|210|210|11352.59|0|0|11352.59|210|11142.59|557.72|11700.31|0|11700.31|COMMITTEE NAME CHANGED TO FAMILIES FOR AMERICA    ||||55
CITIZENS FOR AMENDMENT 3|605 S 14TH STREET, STE. 100|B|LINCOLN|NE|68508|99BQC00057|02/16/2007|nadc03|10/30/2000|10/30/2000|6000029|11/07/2000|G|10| |10/03/2000|10/23/2000|0|0|100|48350|0|0|48450|0|48450|0|0|86.84|86.84|0|0|0|0|48536.84|48536.84|0|0|0|47995.04|86.84|48081.88|48081.88|0|0|48450|48450|47995.04|454.96|0|454.96|0|454.96||0|260|95896.54|60
CITIZENS FOR AMENDMENT 3|605 S 14TH STREET, STE. 100|B|LINCOLN|NE|68508|99BQC00057|02/16/2007|nadc03|01/05/2001|01/05/2001|6020111|11/07/2000|G|70| |10/25/2000|12/31/2000|48536.84|0|4788.95|0|0|0|4788.95|0|4788.95|0|0|223.66|223.66|0|0|0|0|5012.61|53549.45|0|0|47995.04|5243.91|223.66|5467.57|53462.61|454.96|0|4788.95|5243.91|5243.91|0|0|0|0|0||0|0|0|61
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|03/16/2007|nadc04|10/30/2000|10/30/2000|6000033|11/07/2000|G|10| |10/12/2000|10/23/2000|0|0|250|51481.35|0|0|51731.35|0|51731.35|0|0|358.84|358.84|0|0|2000|2000|54090.19|54090.19|0|0|0|47935|358.84|48293.84|48293.84|0|0|51731.35|51731.35|47935|3796.35|0|3796.35|0|3796.35||0|14563.59|116850.67|62
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|04/04/2011|nadc01|01/17/2001|01/16/2001|6030163|11/07/2000|G|70| |10/24/2000|12/31/2000|54090.19|0|1400|15650|0|0|17050|0|17050|0|0|225|225|0|0|0|0|17275|71365.19|0|0|48293.84|17862.93|225|18087.93|66381.77|3796.35|2000|17050|22846.35|17862.93|4983.42|0|4983.42|0|4983.42||0|0|0|63
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|02/16/2007|nadc03|01/29/2002|01/25/2002|6260198|11/07/2000|A|  | |12/31/2000|12/31/2001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4983.42|0|0|4983.42|0|4983.42|-15|4968.42|0|4968.42|||||64
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|02/16/2007|nadc03|01/31/2003|01/30/2003|6500168|01/01/2001|A|  | |12/31/2001|12/31/2002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4968.42|0|0|4968.42|0|4968.42|0|4968.42|0|4968.42|||||65
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|02/16/2007|nadc03|02/02/2004|01/30/2004|6670213|01/01/2001|A|  | |12/31/2002|12/31/2003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4968.42|0|0|4968.42|0|4968.42|0|4968.42|0|4968.42|||||66
NEBRASKANS AGAINST OUTSIDE INFLUENCE|13944 ARBOR CIR|B|OMAHA|NE|68144|99BQC00058|02/16/2007|nadc03|01/04/2005|01/03/2005|6890118|01/01/2001|A|  | |12/31/2003|12/31/2004|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4968.42|0|0|4968.42|0|4968.42|0|4968.42|0|4968.42|||||67
