Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee ID|Date Received|Date Last Revised|Last Revised By|Postmark Date|Microfilm Number|Election Date|Type of Filing|Nature Of Filing|Report Start Date|Report End Date|Financial Activity
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/05/2001|03/14/2001|SERENAD   |03/02/2001||04/03/2001|P|30|01/01/2001|02/27/2001|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/23/2001|03/23/2001|KAREN     |03/22/2001|0      |04/03/2001|P|10|03/28/2001|03/19/2001|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/18/2001|05/02/2002|SERENAD   |04/17/2001||05/01/2001|G|10|03/20/2001|04/16/2001|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/12/2001|06/21/2001|DAVIDH    |06/08/2001|6190218|05/01/2001|G|70|04/17/2001|06/05/2001|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/25/2002|01/28/2002|TERII     |01/24/2002|6250121|01/01/2001|A||06/06/2001|12/31/2001|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/10/2002|04/15/2002|TERII     |04/09/2002|6370191|05/14/2002|P|30|01/01/2002|04/09/2002|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|05/02/2002|05/06/2002|SERENAD   |05/01/2002|6390126|05/14/2002|P|10|04/10/2002|04/29/2002|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/15/2003|01/08/2004|JIMS      |01/14/2003|6490164|11/05/2002|G|70|10/22/2002|12/31/2002|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|11/13/2003|05/12/2005|nadc05|11/13/2003|6640093|05/06/2003|G|30|01/01/2003|06/10/2003|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|02/02/2004|03/05/2004|DAVIDH    |01/30/2004|6670217|01/01/2001|A||06/11/2003|12/31/2003|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/13/2004|05/12/2005|nadc05|04/12/2004|6780102|05/11/2004|P|30|01/01/2004|04/06/2004|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|05/04/2004|12/06/2004|DAVIDH    |05/03/2004|6790194|05/11/2004|P|30|04/06/2004|04/26/2004|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/22/2004|06/28/2004|CHERYLD   |06/21/2004|6820071|11/05/2004|P|30|04/27/2004|06/15/2004|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|11/09/2004|05/12/2005|nadc05|11/08/2004||11/02/2004|G|30|06/15/2004|09/27/2004|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|11/10/2004|11/09/2004|SERENAD   |11/08/2004||11/02/2004|G|10|09/27/2004|10/22/2004|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/10/2005|01/18/2005|CORIEJ    |01/10/2005|6900087|11/02/2004|G|70|10/22/2004|12/31/2004|0
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/08/2005|03/14/2005|nadc06|03/08/2005|6950155|04/05/2005|P|30|12/31/2004|03/01/2005|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/29/2005|05/12/2005|nadc05|03/28/2005|7010067|04/05/2005|P|10|03/01/2005|03/25/2005|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/10/2005|07/13/2005|nadc05|06/09/2005||05/03/2005|G|40|04/23/2005|06/07/2005|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/31/2006|01/31/2006|nadc06|01/31/2006||12/31/2005|A||06/08/2005|12/31/2005|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/10/2006|04/24/2006|nadc01|04/10/2006|7260235|05/09/2006|P|30|01/01/2006|04/04/2006|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/27/2005|05/12/2005|nadc05|04/26/2005|7030153|05/03/2005|G|10|03/25/2005|04/22/2005|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|05/03/2006|05/11/2006|nadc06|05/03/2006|7290030|05/09/2006|P||04/05/2006|04/24/2006|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/19/2006|06/27/2006|nadc06|06/19/2006|7330006|05/09/2006|P|40|04/25/2006|06/13/2006|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/10/2006|10/16/2006|nadc01|10/10/2006||11/07/2006|G|30|06/14/2006|10/03/2006|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/30/2006|11/01/2006|nadc01|10/30/2006||11/07/2006|G|10|10/04/2006|10/23/2006|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/18/2007|02/08/2007|nadc05|01/18/2006|7430157|11/07/2006|G|70|10/24/2006|12/31/2006|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/11/2007|07/05/2007|nadc05|06/11/2007|7580084|05/01/2007|G|70|04/17/2007|06/05/2007|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/13/2012|01/17/2012|nadc01|01/12/2012|8510094|01/01/2011|A||06/08/2011|12/31/2011|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/22/2011|04/21/2011|nadc05|03/22/2011|8420068|04/05/2011|P|10|01/01/2011|03/21/2011|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/10/2011|06/16/2011|nadc05|06/10/2011|8470233|05/02/2011|G|70|04/19/2011|06/07/2011|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/13/2009|01/21/2009|nadc06|01/13/2009|7870024|11/04/2008|G|70|10/21/2008|12/31/2008|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/30/2009|04/13/2009|nadc01|03/30/2009|7980087|04/07/2009|P|10|03/04/2009|03/23/2009|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/15/2009|06/22/2009|nadc06|06/15/2009|8020115|05/05/2009|P|40|04/21/2009|06/09/2009|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|05/09/2008|05/12/2008|nadc06|05/09/2008||05/13/2008|P|10|04/09/2008|05/05/2008|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/14/2008|05/27/2008|nadc05|04/14/2008|7740250|05/13/2008|P|30|06/05/2007|04/08/2008|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/27/2009|05/08/2009|nadc06|04/27/2009|8000035|05/05/2009|G|10|03/24/2009|04/20/2009|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/06/2008|10/20/2008|nadc06|10/06/2008|7810223|11/04/2008|G|30|06/18/2008|09/30/2008|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|10/27/2008|11/04/2008|nadc01|10/27/2008|7830123|11/04/2008|G|10|09/30/2008|10/20/2008|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|06/23/2008|06/30/2008|nadc06|06/23/2008|7790063|05/13/2008|P|40|04/29/2008|06/17/2008|1
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|02/01/2010|02/09/2010|nadc01|02/01/2010||12/31/2009|A||06/10/2009|12/31/2009|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|03/09/2009|03/26/2009|nadc05|03/09/2009||04/07/2009|P|30|01/01/2009|03/03/2009|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|01/28/2011|03/30/2011|nadc05|01/28/2011|8350022|01/01/2010|G|70|01/01/2010|12/31/2010|
LANCASTER COUNTY REPUBLICAN PARTY|1610 N STREET|LINCOLN|NE|68508|99PPC00031|04/25/2011|05/12/2011|nadc05|04/25/2011|8460211|05/03/2011|G|10|03/28/2011|04/18/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/03/2005|04/04/2011|nadc01|05/02/2005|7040015|05/10/2005|G|10|03/22/2005|04/25/2005|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/20/2005|04/04/2011|nadc01|06/20/2005|7060176|05/10/2005|G|70|04/26/2005|06/14/2005|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/10/2006|06/05/2006|nadc05|04/11/2006|7260236|05/09/2006|P|30|01/01/2006|04/04/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/30/2005|06/02/2005|nadc05|03/28/2005|7010068|04/05/2005|P|10|03/02/2005|03/21/2005|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/31/2006|04/04/2011|nadc01|01/31/2006|7150130|05/06/2006|A||06/15/2005|12/31/2005|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/01/2006|06/05/2006|nadc05|05/01/2006|7290031|05/09/2006|P||04/05/2006|04/24/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/19/2006|04/04/2011|nadc01|06/19/2006|7330008|05/09/2006|P|40|04/25/2006|06/13/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/10/2006|04/04/2011|nadc01|10/10/2006|7370019|11/07/2006|G|30|06/14/2006|10/03/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/30/2006|01/05/2007|nadc05|10/30/2006|7390038|11/07/2006|G|10|10/04/2006|10/23/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/16/2007|04/01/2011|nadc01|01/16/2007||11/07/2006|G|70|10/24/2006|12/31/2006|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/27/2007|04/11/2007|nadc05|03/27/2007|7530114|04/03/2007|P|10|01/01/2007|03/19/2007|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/23/2007|05/08/2007|nadc05|04/23/2007|7560045|05/01/2007|G|10|03/20/2007|04/16/2007|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/11/2007|02/25/2011|nadc01|06/11/2007|7580085|04/03/2007|G|70|04/17/2007|06/05/2007|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/14/2008|04/04/2011|nadc01|01/14/2008|7620079|05/13/2008|A||06/06/2007|12/31/2007|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/05/2001|12/07/2004|SERENAD   |03/05/2001|6070124|04/03/2001|P|30|01/01/2001|02/27/2001|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/21/2001|12/07/2004|SERENAD   |03/20/2001||04/03/2001|P|10|02/28/2001|03/19/2001|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/07/2001|04/04/2011|nadc01|05/07/2001||05/15/2001|G|10|03/20/2001|04/30/2001|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/22/2001|12/07/2004|SERENAD   |06/22/2001||05/15/2001|G|70|05/01/2001|06/19/2001|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/30/2002|10/19/2010|nadc05|01/30/2002|6260204|01/01/2001|A||06/20/2001|12/31/2001|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/12/2002|04/04/2011|nadc01|04/12/2002|6370192|05/14/2002|P|30|01/01/2002|04/09/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/06/2002|10/19/2010|nadc05|05/06/2002|6400083|05/14/2002|P|10|04/10/2002|04/29/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/24/2002|12/07/2004|SERENAD   |06/24/2002|6420093|05/14/2002|P|40|04/30/2002|06/18/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/07/2002|12/07/2004|SERENAD   |10/07/2002|6440225|11/05/2002|G|30|06/19/2002|10/01/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/25/2002|12/07/2004|SERENAD   |10/25/2002|6450165|11/05/2002|G|10|10/02/2002|10/21/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/13/2003|12/07/2004|SERENAD   |01/13/2003||11/05/2002|G|70|10/22/2002|12/31/2002|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/10/2003|12/07/2004|SERENAD   |||03/10/2003|P|30|01/01/2003|03/04/2003|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/25/2003|04/04/2011|nadc01|03/25/2003||04/08/2003|P|10|03/05/2003|03/24/2003|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/24/2003|12/07/2004|SERENAD   |04/24/2003||05/06/2003|G|10|03/25/2003|04/21/2003|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/12/2003|12/07/2004|SERENAD   |06/12/2003||05/06/2003|G|70|04/22/2003|06/10/2003|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/21/2004|10/19/2010|nadc05|01/21/2004|6660095|05/11/2004|A||06/11/2003|12/31/2003|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/12/2004|04/04/2011|nadc01|04/12/2004|6780104|05/11/2004|P|30|01/01/2004|04/06/2004|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/03/2004|12/08/2004|DAVIDH    |05/03/2004|6790196|05/11/2004|P|10|04/07/2004|04/26/2004|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/21/2004|04/04/2011|nadc01|06/21/2004|6820072|11/05/2004|P|40|04/27/2004|06/15/2004|1
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/04/2004|01/12/2005|CORIEJ    |10/04/2004|6850123|11/02/2004|G|30|06/16/2004|09/28/2004|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/25/2004|12/20/2004|DAVIDH    |10/25/2004|6860230|11/02/2004|G|10|09/29/2004|10/18/2004|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/11/2005|02/09/2005|DAVIDH    |01/11/2005|6900088|11/02/2004|G|70|10/19/2004|12/31/2004|0
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/07/2005|03/14/2005|nadc06|03/07/2005|6950156|04/05/2005|P|30|01/01/2005|03/01/2005|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/25/2010|04/04/2011|nadc05|10/25/2010|8300047|11/02/2010|G|10|09/29/2010|10/18/2010|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|10/04/2010|11/24/2010|nadc05|10/04/2010|8280117|11/02/2010|G|30|06/16/2010|09/28/2010|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|02/01/2012|02/27/2012|nadc05|01/31/2012|8530194|05/12/2009|A||06/08/2011|12/31/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/08/2011|04/01/2011|nadc05|03/07/2011|8390087|04/05/2011|P|30|01/01/2011|03/01/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/28/2011|08/12/2011|nadc05|03/28/2011|8440219|04/05/2011|P|10|03/02/2011|03/21/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/25/2011|07/08/2011|nadc05|04/25/2011|8460212|05/03/2011|G|10|03/22/2011|04/18/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/13/2011|08/12/2011|nadc05|06/13/2011|8480034|05/03/2011|G|70|04/19/2011|06/07/2011|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|03/30/2009|04/13/2009|nadc01|03/30/2009|7980088|04/07/2009|P|10|01/01/2009|03/23/2009|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|01/13/2009|07/21/2009|nadc05|01/13/2009|7870025|11/04/2008|G|70|10/21/2008|12/31/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|04/12/2010|03/17/2011|nadc06|04/12/2010|8210039|05/11/2010|P||01/01/2010|04/06/2010|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/21/2010|12/09/2010|nadc05|06/21/2010|8250194|01/01/2010|P|40|04/27/2010|06/15/2010|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/03/2010|08/05/2010|nadc05|05/03/2010||05/11/2010|P|10|04/07/2010|04/26/2010|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/05/2008|03/18/2009|nadc05|05/05/2008||05/13/2008|P|10|04/09/2008|04/28/2008|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|05/04/2009|05/09/2011|nadc05|05/04/2009|8000182|05/12/2009|G|10|03/24/2009|04/27/2009|
NE DEMOCRATIC PARTY|421 S. 9TH STREET, SUITE 233|LINCOLN|NE|68508|99PPC00003|06/24/2009|11/19/2010|nadc05|06/22/2009|8020160|05/12/2009|G|70|04/28/2009|06/12/2009|
