Committee Name|Committee ID|Date Received|Transaction Date|Amount|Nature of Transaction|Description|Expense Category
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|07/05/2002|05/16/2002|41.32|P|LITTLE KINGS RESTAURANT- MEETING        |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|07/05/2002|05/07/2002|-375|A|ERROR IN PREV. RPT- AMENDED IN LTR TO DH|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|10/07/2002|08/28/2002|44.7|P|VALENTINO'S LUNCHEON                    |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|10/07/2002|09/16/2002|55.37|P|VALENTINO'S LUNCHEON                    |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|10/24/2002|35.78|P|SCHLOTZSKYS DELI-LUNCHEON MEETING       |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|10/29/2002|159.91|P|CHECKS FOR MOBA PAC                     |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|11/04/2002|17.85|P|POSTMASTER-CONTRIBUTIONS LETTERS        |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|11/21/2002|100|P|CLERK OF LEGISLATURE-LOBBIST REGISTRATIO|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|11/22/2002|29.06|P|LITTLE KINGS- LUNCHEON EXPENSES         |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|11/22/2002|20|P|FIRST WESTROADS BANK-FRED CONLEYS LOST C|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|05/16/2002|41.32|P|LITTLE KINGS RESTAURANT-LUNCHEON MEETING|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|03/08/2002|27.44|P|FEES RELATING TO MEETING OF EXECUTIVES  |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|08/28/2002|44.7|P|VALENTINO'S-LUNCHEON FEES               |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|01/14/2003|09/16/2002|5.37|P|VALENTINO'S-LUNCHEON FEES               |025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|02/05/2004|09/12/2003|44.29|P|VALENTINO'S FOR  COMMITTEE MEETING EXPEN|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|02/05/2004|11/14/2003|48.58|P|LITTLE KINGS FOR COMMITTEE MEETING EXPEN|025
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|02/05/2004|12/11/2003|29.65|P|VALENTINO'S FOR COMMITTEE MEETING EXPENS|025
NEBRASKANS UNITED FOR LIFE PAC|99PAC00033|02/03/2004|12/31/2003|50.4|P|BANK CHARGES                            |025
NEBRASKANS UNITED FOR LIFE PAC|99PAC00033|02/03/2004|12/31/2003|11.14|P|POSTAGE                                 |025
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/25/2005|01/31/2005|10|P|Wire Transfer charges from Great Western|
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/25/2005|02/28/2005|10|P|Wire Transfer charges from Great Western|
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|01/18/2006|12/31/2005|500|C|Check returned from Lowen Kruse|
AMERITAS LIFE INSURANCE CORP PAC|99PAC00119|01/09/2006|09/19/2005|100|C|Pam Brown for Legislature|
COMMERCIAL FEDERAL PAC|99PAC00019|02/01/2006|10/20/2005|100|R|refund contribution james j bemis|
NEBRASKA-PAC|99PAC00092|01/31/2006|12/31/2005|250|A|reconcile unadjusted bank statement|
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2000|06/30/1999|500| |LOST CHECK                              |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2000|06/30/1999|1000| |LOST CHECK                              |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2000|06/30/1999|500| |LOST CHECK                              |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2000|06/30/1999|1000| |LOST CHECK                              |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/13/2000|08/25/2000|290|R|REFUND--JOAN GETSCHER                   |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/13/2000|02/29/2000|500|C|REFUNDED-BILL BARRETT                   |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/17/2001|12/18/2000|1000|A|CK#4273 5-9-00 TO SUE MYRECK LOST       |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/17/2001|12/18/2000|500|A|CK#4274 5-9-00 TO POMEROY LOST          |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/17/2001|12/18/2000|1000|A|CK#4275 5-9-00 REPUBLICAN MAJ FUND LOST |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/23/2002|12/27/2001|1000|C|SEN. PHIL GRAMM - NOT SEEKING REELECTION|025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/14/2003|11/07/2002|1000|C|DASHPAC CHECK RETURNED                  |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/14/2003|12/12/2002|2500|C|BLUE DOG PAC CHECK RETURNED             |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/29/2004|08/19/2003|20|A|REFUND OF CONT TO MARSHA CANTU          |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/12/2004|03/09/2004|1000|C|FEDERAL-DOUG BEREUTER FOR US HOUSE OF RE|025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/12/2004|04/06/2004|1000|C|FEDERAL-JENNIFER DUNN FOR US HOUSE OF RE|025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/10/2005|10/22/2004|20|R|REFUND EMPLOYEE - JENNY CONRATH         |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/10/2005|10/29/2004|5200|A|CREDIT OUTSTANDING CHECKS (SEE BELOW)   |025
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/10/2005|10/29/2004|1000|C|FEDERAL EARL POMEROY RETURNED           |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|02/01/2000|06/02/1999|36|R|6 REFUNDS AT $6 EACH                    |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|10/10/2000|06/27/2000|30|R|REFUNDS OF CONTRIBUTIONS                |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|10/10/2000|09/11/2000|500|C|REFUNDED CHECK TO PAC FOR $500.         |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|04/15/2002|04/09/2002|500|A|ADJUST BALANCE PER LTR WITH NADC        |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|10/07/2002|07/01/2002|12|R|(2) $6 CONTRIBUTIONS REFUNDED           |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|07/11/2003|05/12/2003|30|P|SEC OF STATE-CHANGE FILING FEE          |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|01/16/2004|07/09/2003|6|R|REFUND OF CONTRIBUTIONS TO LEROY SHELDON|025
NAPE/AFSCME PEOPLE PAC|99PAC00035|01/16/2004|12/31/2003|10|A|MONTHLY BANKING SERVICE CHARGES         |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|04/14/2004|02/13/2004|10|P|SEC OF STATE  NONPROFIT CORP REG FEES   |025
NAPE/AFSCME PEOPLE PAC|99PAC00035|04/14/2004|01/01/2004|15|A|MONTHLY BANK SERVICE CHARGES JAN,FEB,MAR|025
NAPE/AFSCME PEOPLE PAC|99PAC00035|05/03/2004|04/07/2004|5|A|MONTHLY BANK SERVICE CHARGE             |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|02/16/2000|03/16/1999|250| |JERRY WILLHOFT FOR LEGISLATURE STOP CHEC|025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|02/16/2000|06/30/1999|500| |DENNY BYARS FOR LEGISLATURE STALE CHECK |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|11/02/2000|10/18/2000|500|C|COMMITTEE TO ELECT MARK QUANDAHL        |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|01/24/2001|10/31/2000|500|R|COMMITTEE TO ELECT GERALD MATZKE        |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|01/24/2001|12/29/2000|733.93|E|ENDORSEMENT POSTCARDS                   |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|01/24/2001|12/29/2000|360.12|E|ENDORSEMENT POST CARDS                  |025
NATIONAL RIFLE ASSOCIATION PAC|99PAC00036|01/29/2002|05/31/2001|500|C|JANSSEN COMM- VOID STALE CHECK          |025
NE FARM PAC|99PAC00039|01/14/2003|12/10/2002|154.52|E|NE FARMERS UNION FOR POSTAGE,ENVELOPES, |025
NE FARM PAC|99PAC00039|01/29/2004|05/01/2003|750|U|10 PEOPLE/CAMPAIGN DINNER-COLLECTED FUND|025
NE PHARM PAC|99PAC00040|01/31/2000|03/15/1999|49|A|IRS (FEDERAL TAX LIABILITY)             |025
NE PHARM PAC|99PAC00040|01/31/2000|03/15/1999|8|A|NE DEPT. OF REVENUE (STATE TAX LIABILITY|025
NE PHARM PAC|99PAC00040|01/31/2000|04/12/1999|120|A|BUCKLEY SITZMAN-ACCOUNTING EXPENSE      |025
NE PHARM PAC|99PAC00040|01/31/2000|06/14/1999|28.57|A|NE PHARM. ASSN-POSTAGE                  |025
NE PHARM PAC|99PAC00040|01/31/2000|06/23/1999|50.72|A|NE PHARM. ASSN-RAFFLE PRIZES            |025
NE PHARM PAC|99PAC00040|01/31/2000|07/06/1999|100| |RETURN OF UNCASHED CHECK                |025
NE PHARM PAC|99PAC00040|01/31/2000|12/03/1999|156.72|A|NE PHARM. ASSN-RAFFLE PRIZES            |025
NE PHARM PAC|99PAC00040|04/10/2000|02/24/2000|52|A|IRS                                     |025
NE PHARM PAC|99PAC00040|04/10/2000|02/24/2000|8|A|NE DEPT. OF REVENUE                     |025
NE PHARM PAC|99PAC00040|04/10/2000|03/06/2000|120|A|BUCKLEY SITZMAN                         |025
NE PHARM PAC|99PAC00040|05/01/2000|04/05/2000|115.02|A|REIMBUREMENT PRINTING RAFFLE TICKETS    |025
NE PHARM PAC|99PAC00040|06/20/2000|05/11/2000|47.74|A|NE PHARMACISTS ASSN. - RAFFLE PRIZES    |025
NE PHARM PAC|99PAC00040|06/20/2000|04/28/2000|100| |RETURN OF CONTRIBUTION - JON BRUNING    |025
NE PHARM PAC|99PAC00040|10/30/2000|10/18/2000|100|C|CONTRIBUTION RETURNED - BOB KELLY FOR LE|025
NE PHARM PAC|99PAC00040|02/01/2002|03/06/2001|23|A|NE DEPT OF REVENUE - TAXES              |025
NE PHARM PAC|99PAC00040|02/01/2002|03/06/2001|146|A|IRS - TAX                               |025
NE PHARM PAC|99PAC00040|02/01/2002|03/16/2001|120|A|BUCKLEY & SITZMAN CPAS- TAX PREP        |025
NE PHARM PAC|99PAC00040|02/01/2002|03/16/2001|114.7|A|NE PHARMACISTS ASSN - RAFFLE TICKETS    |025
NE PHARM PAC|99PAC00040|02/01/2002|05/07/2001|55.16|A|NE PHARMACISTS ASSN- RAFFLE PRIZES      |025
NE PHARM PAC|99PAC00040|04/16/2002|02/08/2002|35.93|A|NE PHARM ASSN - RAFFLE PRIZES           |025
NE PHARM PAC|99PAC00040|04/16/2002|03/06/2002|13|A|NE REVENUE - STATE INCOME TAX           |025
NE PHARM PAC|99PAC00040|04/16/2002|03/06/2002|83|A|IRS                                     |025
NE PHARM PAC|99PAC00040|04/16/2002|03/07/2002|126.38|A|NE PHARM ASSN - RAFFLE PRIZES           |025
NE PHARM PAC|99PAC00040|10/03/2002|06/20/2002|173.53|A|RAFFLE PRIZES                           |025
NE PHARM PAC|99PAC00040|01/07/2003|10/22/2002|16.75|A|PURCHASE OF CHECKS                      |025
NE PHARM PAC|99PAC00040|01/07/2003|12/31/2002|200|C|SUTTLE FOR LEGISLATURE - RETURNED       |025
NE PHARM PAC|99PAC00040|01/28/2004|05/08/2003|128.94|A|REIMBURSEMENT FOR PAC RAFFLE TICKETS    |025
NE BANKERS STATE PAC|99PAC00041|04/10/2000|03/06/2000|72|A|STATE INCOME TAX PAYMENT                |025
NE BANKERS STATE PAC|99PAC00041|05/01/2000|04/24/2000|750| |RETURNED CONTRIBUTION - QUANDAHL        |025
NE BANKERS STATE PAC|99PAC00041|01/28/2002|03/29/2001|250|C|CHECK ISSUED TO PAM REDFIELD FOR LEG.   |025
NE BANKERS STATE PAC|99PAC00041|06/24/2002|05/15/2002|750|C|CONTRIBUTION TO CONNEALY  RETURNED      |025
NE BANKERS STATE PAC|99PAC00041|10/07/2002|08/14/2002|500|C|RET OF CONTRIB FROM CONNEALY FOR LEGISLA|025
NE BANKERS STATE PAC|99PAC00041|10/07/2002|08/08/2002|1500|C|RET. OF CONTRIB.  FROM BRUNING FOR ATT G|025
NE BANKERS STATE PAC|99PAC00041|06/21/2004|05/25/2004|500|C|CHECK PAYABLE TO VICKIE MCDONALD3/16/200|025
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/28/2002|01/31/2001|28|P|DEPOSIT BOOKS                           |025
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/29/2004|05/13/2003|41.9|P|PURCHASED PAC ACCOUNT CHECKS            |025
NE CATTLEMEN INC NC STATE PAC|99PAC00043|04/12/2004|01/01/2004|133.53|A|REIMBURSEMENT TO PAC                    |025
NE CHAPTER OF NASW PACE|99PAC00046|02/01/2000|06/22/1999|623.25|A|WORKERS FOR PACE "     "                |025
NE CHAPTER OF NASW PACE|99PAC00046|02/01/2000|01/11/1999|630|A|CONTRIBUTIONS FROM NATL ASSOC OF SOCIAL |025
NE COLLECTORS ASSOCIATION PAC|99PAC00047|05/01/2000|04/07/2000|200| |JON BRUNING RETURNED CONTRIBUTION $200  |025
NE COLLECTORS ASSOCIATION PAC|99PAC00047|01/11/2002|11/21/2001|250|C|CURT BROMM  - RETURN CK                 |025
NE COMMITTEE FOR MEDICAL EYE CARE|99PAC00048|01/31/2000|12/31/1999|2.14|A|1999 BANK SERVICE CHRGS                 |025
NE COMMITTEE FOR MEDICAL EYE CARE|99PAC00048|01/31/2000|12/30/1999|64.26|A|IRS SVCS WITHHOLDING                    |025
NE COMMITTEE FOR MEDICAL EYE CARE|99PAC00048|10/30/2000|10/05/2000|500|C|RETURNED - DAN LYNCH FOR LEGISLATURE    |025
NE COMMITTEE FOR MEDICAL EYE CARE|99PAC00048|10/30/2000|10/22/2000|1000|C|RETURNED - MATZKE FOR LEGISLATURE       |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/06/2000|06/27/2000|2000|C|RETURNED CHECK - GERALD MATZKE          |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|01/11/2001|06/01/2000|500|C|RETURNED CK-DON PREISTER                |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|06/25/2002|06/18/2002|10000|A|TRANSFER FROM STATE MONEY MKT ACCT      |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|BRUNING FOR LEGISLATURE 6/27/00         |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|HILGERT FOR LEGISLATURE 6/27/00         |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|BOB KELLY FOR LEGISLATURE 06/27/00      |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|RAMON JANSSEN FOR LEG. 06/27/00         |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|HEWIT FOR LEGISLATURE 6/27/00           |025
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/07/2002|09/30/2002|250|C|PEDERSEN FOR LEGISLATURE 6/27/00        |025
NE CONSUMER CREDIT PAC|99PAC00050|01/06/2003|12/31/2002|250|C|CHECK #1770,9/16/02TO SENATOR QUANDAHL  |025
NE DENTAL PAC|99PAC00053|01/31/2000|06/09/1999|150.61|P|HOTEL - 1999 ANNUAL NEDPAC LUNCHEON     |025
NE DENTAL PAC|99PAC00053|01/31/2000|08/05/1999|130|P|DENTAL PAC - REIMBURSEMENT              |025
NE DENTAL PAC|99PAC00053|04/10/2000|01/12/2000|70|A|CORNHUSKER REPUBLIC WOMEN - CROSBY      |025
NE DENTAL PAC|99PAC00053|04/10/2000|01/19/2000|12|A|NORWEST BANK - NEW CHECKS               |025
NE DENTAL PAC|99PAC00053|04/09/2004|04/06/2004|6|A|BANK CHARGES                            |025
NE DENTAL PAC|99PAC00053|05/10/2004|03/31/2004|3|A|BANK CHARGES                            |025
NE DENTAL PAC|99PAC00053|06/22/2004|04/30/2004|3|A|BANK CHARGES                            |025
NE DENTAL PAC|99PAC00053|06/22/2004|05/31/2004|3|A|BANK CHANGES                            |025
NE DENTAL HYGIENISTS PAC|99PAC00054|01/04/2002|10/03/2001|13.4|A|ORDERED NEW CHECKS FROM BANK            |025
NE DENTAL HYGIENISTS PAC|99PAC00054|01/10/2003|11/05/2002|50|C|DOUG CUNNINGHAM FOR LEGISLATURE - RETURN|025
