ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
212|Nancy J. Kratky District 5 (OPS) Campaign Committee|Statement of Organization|05/09/1994|06/23/1994|$300.00|REDUCED|$0.00|02/14/1995||Kratky|Nancy|
213|Nancy J. Kratky District 5 (OPS) Campaign Committee|94 Post Primary Campaign Statement|06/20/1994|10/11/1994|$300.00|REDUCED|$0.00|02/14/1995||Kratky|Nancy|
214|Committee to Elect Carll J. Kretsinger|Statement of Organization|11/17/1997|04/15/1998|$300.00|REDUCED|$0.00|04/27/1998||Kretsinger|Carll|
215|Committee to Elect Carll Kretsinger|98 1st Primary Campaign Statement|04/13/1998|04/17/1998|$40.00|REDUCED|$0.00|04/27/1998||Kretsinger|Carll|
216|Gary Lacey County Attorney Committee|94 Post Primary Campaign Statement|06/20/1994|06/29/1994|$90.00|REDUCED|$0.00|08/03/1994||Lacey|Gary|
217|Langan for School Board|94 2nd General Campaign Statement|10/11/1994|10/18/1994|$70.00|REDUCED|$10.00|11/19/1994||Langan|John|
218|Lightner for NRD|Statement of Organization|05/11/1998|05/14/1998|$30.00|REDUCED|$0.00|05/22/1998||Lightner|Lyle|
219|Central Nebraskans for Loschen|96 Annual Campaign Statement|01/31/1997|02/11/1997|$110.00|REDUCED|$30.00|04/15/1997|04/15/1997|Loschen|Terry|
220|Central Nebraskans for Loschen|Statement of Organization|10/29/1994||$300.00|REDUCED|$0.00|04/21/1995||Loschen|Terry|
221|F|94 2nd General Campaign Statement||11/07/1994|$70.00|PAID||||Loschen|Terry|
222|Committee to Elect Thomas Lynam Surveyor|96 Annual Campaign Statement|01/31/1997|02/05/1997|$50.00|REDUCED|$20.00|03/13/1997|03/13/1997|Lynam|Thomas|
223|Dan Lynch for Legislature|97 Annual Campaign Statement|02/02/1998|02/04/1998|$20.00|PAID||||Lynch|Dan|
224|Dan Lynch for Legislature|96 2nd Primary Campaign Statement|05/06/1996|05/09/1996|$30.00|PAID||||Lynch|Dan|
225|Lormong Lo for City Council|Statement of Organization|07/22/1996|02/18/1997|$300.00|REDUCED|$0.00|03/14/1997||Lo|Lormong|
226|Lormong Lo for City Council|96 Annual Campaign Statement|01/31/1997|02/27/1997|$270.00|REDUCED|$0.00|03/14/1997||Lo|Lormong|
227|Meier for School Board|96 2nd Primary Campaign Statement|05/06/1996|05/09/1996|$30.00|PAID||||Meier|Bill|
228|Meier for School Board|95 Annual Campaign Statement|01/31/1996|02/12/1996|$120.00|REDUCED|$10.00|03/05/1996|03/05/1996|Meier|Bill|
229|Milder for School Board|97 Annual Campaign Statement|02/02/1998|04/10/1998|$300.00|REDUCED|$0.00|04/28/1998||Milder|Ally|
230|Milder for School Board|96 Annual Campaign Statement|01/31/1997|05/23/1997|$300.00|REDUCED|$0.00|04/28/1998||Milder|Ally|
231|Drew Miller for University of NE Regent|94 2nd General Campaign Statement|10/31/1994|11/04/1994|$40.00|PAID||||Miller|Drew|
232|Drew Miller for University of Nebraska Regent|94 2nd Primary Campaign Statement|05/02/1994|05/05/1994|$30.00|PAID||||Miller|Drew|
233|Committee to Elect Jim Miller Sarpy County Attorney|98 2nd Primary Campaign Statement|05/04/1998|05/11/1998|$70.00|REDUCED|$0.00|09/17/1998||Miller|Jim|
234|Committee to Elect Jim Miller Sarpy County Attorney|95 Annual Campaign Statement|01/31/1996|07/17/1996|$300.00|PAID||||Miller|Jim|
235|Committee to Elect Jim Miller Sarpy County Attorney|94 Post General Campaign Statement|01/09/1995|01/20/1995|$110.00|PAID||||Miller|Jim|
236|Marv Miller Election Committee|96 Annual Campaign Statement|01/31/1997|02/07/1997|$70.00|PAID||||Miller|Marv|
237|Marv Miller Election Committee|94 Post General Campaign Statement|01/09/1995|01/13/1995|$40.00|PAID||||Miller|Marv|
238|Miller for Sheriff|94 Post General Campaign Statement|01/09/1995|01/13/1995|$40.00|PAID||||Miller|Neil|
239|Committee to Elect Derek Mitchell|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|PAID||||Mitchell|Derek|
240|Moore for Sheriff Committee|94 Post General Campaign Statement|01/09/1995|01/19/1995|$100.00|REDUCED|$0.00|03/15/1995||Moore|James|
241|Moore for Secretary of State|94 Post General Campaign Statement|01/09/1995|01/10/1995|$10.00|PAID||||Moore|Scott|
242|Maxine Moul for Lt. Governor|96 Annual Campaign Statement|01/31/1997|02/03/1997|$30.00|REDUCED|$10.00|04/09/1997|04/09/1997|Moul|Maxine|
243|Committee to Elect Michael Munch Sarpy County Attorney|98 1st Primary Campaign Statement|04/13/1998|04/30/1998|$170.00|PAID||||Munch|Michael|
244|Committee to Elect Mike Munch|96 Annual Campaign Statement|01/31/1997|02/03/1997|$30.00|PAID||||Munch|Michael|
245|Committee to Elect Michael Munch Sarpy County Attorney|95 Annual Campaign Statement|01/31/1996|02/08/1996|$80.00|PAID||||Munch|Michael|
246|Citizens for Murray|96 Annual Campaign Statement|01/31/1997|02/12/1997|$120.00|REDUCED|$0.00|04/21/1997||Murray|Glen|
247|Carol McBride Pirsch for Douglas County Board|96 2nd General Campaign Statement|10/28/1996|10/30/1996|$20.00|PAID||||McBride Pirsch|Carol|
248|Carol McBride Pirsch for Douglas County Board|96 Post Primary Campaign Statement|06/24/1996|06/25/1996|$10.00|PAID||||McBride Pirsch|Carol|
249|Carol McBride Pirsch for Douglas County Board|96 1st Primary Campaign Statement|04/15/1996|04/16/1996|$10.00|PAID||||McBride Pirsch|Carol|
250|McCallister for Douglas County Board|Statement of Organization|05/12/1998|05/19/1998|$70.00|REDUCED|$0.00|06/17/1998||McCallister|Kathleen|
251|McCollister for MUD|96 2nd Primary Campaign Statement|05/06/1996|05/13/1996|$70.00|REDUCED|$20.00|09/19/1996|09/19/1996|McCollister|John|
254|Bill McMullen County Supervisor|94 Annual Campaign Statement|01/31/1995|02/08/1995|$80.00|PAID||||McMullen|Bill|
255|Bill McMullen County Supervisor|93 Annual Campaign Statement|01/31/1994|03/23/1994|$300.00|REDUCED|$0.00|06/17/1994||McMullen|Bill|
256|Carol McShane for City Council|97 1st Primary Campaign Statement|03/10/1997|03/18/1997|$10.00|REDUCED|$0.00|04/28/1997||McShane|Carol|
257|Barb Nichols for Legislature|96 2nd Primary Campaign Statement|05/06/1996|05/09/1996|$30.00|REDUCED|$0.00|07/12/1996||Nichols|Barb|
258|Citizens for Nolte Committee|94 Post Primary Campaign Statement|01/09/1995|01/10/1995|$10.00|PAID||||Nolte|Dan|
259|Nancy O\'Brien for Regent|96 1st General Campaign Statement|10/07/1996|10/09/1996|$20.00|PAID||||O\'Brien|Nancy|
260|Nancy O\'Brien for Regent|93 Annual Campaign Statement|01/31/1994|02/17/1994|$170.00|REDUCED|$0.00|03/23/1994||O\'Brien|Nancy|
261|Kathy O\'Connor for City Council|97 Post General Campaign Statement|06/23/1997|10/27/1997|$300.00|PAID||||O\'Connor|Kathy|
262|Thomas O\'Hara for Sarpy County Commissioner|96 Post General Campaign Statement|01/06/1997|01/08/1997|$20.00|REDUCED|$0.00|04/09/1997||O\'Hara|Thomas|
263|Owens for County Attorney|98 1st General Campaign Statement|04/13/1998|04/23/1998|$100.00|REDUCED|$0.00|05/05/1998||Owens|Judith|
264|Committee to Elect Dan Park OPPD Board|96 Post General Campaign Statement|01/06/1997|01/09/1997|$30.00|PAID||||Park|Dan|
265|Committee to Elect Dan Park to OPPD Board|96 Post Primary Campaign Statement|06/24/1996|06/28/1996|$40.00|PAID||||Park|Dan|
266|Richard Pierce|Statement of Organization|11/08/1996|11/14/1996|$60.00|REDUCED|$0.00|03/19/1997||Pierce|Richard|
267|James Prauner for Commissioner|98 1st Primary Campaign Statement|04/13/1998|04/21/1998|$80.00|REDUCED|$0.00|||Prauner|James|
268|Price is Right for Education|Statement of Organization|03/21/1997|04/01/1997|$110.00|REDUCED|$0.00|04/29/1997||Price|Marion|
269|Price is Right for Education|97 2nd Primary Campaign Statement|03/31/1997|04/07/1997|$70.00|REDUCED|$0.00|04/29/1997||Price|Marion|
270|Raikes for Legislature|Statement of Organization|08/15/1997|08/22/1997|$70.00|REDUCED|$0.00|08/28/1997||Raikes|Ron|
271|Jim Reed for Hall County Board|98 2nd Primary Campaign Statement|05/04/1998|05/15/1998|$110.00|REDUCED|$0.00|06/23/1998||Reed|Jim|
272|Friends of Linda J. Richards for Nebraska Legislatre|98 2nd Primary Campaign Statement|05/04/1998|05/18/1998|$140.00|REDUCED|$0.00|06/12/1998||Richards|Linda|
273|Friends of Linda J. Richards for Nebraska State Legislature|Statement of Organization|03/06/1998|03/09/1998|$30.00|REDUCED|$0.00|06/12/1998||Richards|Linda|
274|Robak for Legislature|98 1st Primary Campaign Statement|04/13/1998|04/14/1998|$10.00|PAID||||Robak|Jennie|
275|Robak for Legislature|98 2nd Primary Campaign Statement|05/04/1998|05/11/1998|$70.00|PAID||||Robak|Jennie|
276|Robak for Legislature|97 Annual Campaign Statement|02/02/1998|02/04/1998|$20.00|PAID||||Robak|Jennie|
277|Robak for Legislature|93 Annual Campaign Statement|01/31/1994|02/04/1994|$40.00|PAID||||Robak|Jennie|
278|Committee to Elect Rose|95 Annual Campaign Statement|01/31/1996|02/20/1996|$200.00|REDUCED|$0.00|05/09/1996||Rose|Sharon|
279|Committee to Elect Ann Rosenberry|97 Annual Campaign Statement|02/02/1998|02/17/1998|$150.00|REDUCED|$0.00|03/06/1998||Rosenberry|Ann|
280|Rustad for Lt. Governor|Statement of Organization|04/28/1997|01/21/1998|$300.00|PAID||||Rustad|Elliott|
281|Schimek for Legislature|95 Annual Campaign Statement|01/31/1996|02/05/1996|$50.00|PAID||||Schimek|DiAnna|
282|Sarpy Citizens for Tim Schram|95 Annual Campaign Statement|01/31/1996|02/20/1996|$200.00|REDUCED|$0.00|05/14/1996||Schram|Tim|
283|Citizens for Shoecraft|95 Annual Campaign Statement|01/31/1996|02/01/1996|$10.00|PAID||||Shoecraft|Jerry|
284|Citizens for Shoecraft|94 Annual Campaign Statement|01/31/1995|06/27/1995|$300.00|PAID||||Shoecraft|Jerry|
285|Rosemary Skrupa for Regent|97 Annual Campaign Statement|02/02/1998|03/11/1998|$300.00|REDUCED|$40.00|04/13/1998|04/13/1998|Skrupa|Rosemary|
286|Rosemary Skrupa for Regent|94 1st Primary Campaign Statement|04/11/1994|06/10/1994|$300.00|REDUCED|$0.00|08/02/1994||Skrupa|Rosemary|
287|Rosemary Skrupa for Regent|94 2nd Primary Campaign Statement|05/02/1994|06/10/1994|$300.00|REDUCED|$30.00|08/02/1994|08/02/1994|Skrupa|Rosemary|
288|Rosemary Skrupa for Regent|93 Annual Campaign Statement|01/31/1994|06/10/1994|$300.00|REDUCED|$0.00|06/22/1994||Skrupa|Rosemary|
289|Cheryl Smith for District 66 School Board|95 Annual Campaign Statement|01/31/1996|02/20/1996|$200.00|REDUCED|$0.00|05/09/1996||Smith|Cheryl|
290|Smith for Senate|Statement of Organization|09/18/1997|09/30/1997|$120.00|REDUCED|$0.00|03/25/1998||Smith|Steven|
291|Committee to Elect Penny Sophir for Omaha Board of Education|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|REDUCED|$0.00|||Sophir|Penny|
292|Steinman for County Commissioner|Statement of Organization|12/06/1993|12/10/1993|$40.00|REDUCED|$0.00|03/01/1994||Steinman|Linda|
293|Steinman for County Commissioner|95 Annual Campaign Statement|01/31/1996|02/02/1996|$20.00|PAID||||Steinman|Linda|
294|Scott Stempson for Legislature|Statement of Organization|04/10/1998|04/30/1998|$20.00|REDUCED|$0.00|05/12/1998||Stempson|Scott|
295|Stuhr for Common Sense Legislature|Statement of Organization|04/07/1994|04/21/1994|$140.00|REDUCED|$0.00|05/13/1994||Stuhr|Elaine|
296|Committee to Elect Della P. Sullivan|98 1st Primary Campaign Statement|04/13/1998|04/27/1998|$140.00|REDUCED|$0.00|06/09/1998||Sullivan|Della|
297|Committee to Elect Della P. Sullivan|98 2nd Primary Campaign Statement|05/04/1998|05/06/1998|$20.00|REDUCED|$0.00|06/09/1998||Sullivan|Della|
298|Takechi for City Council|96 Annual Campaign Statement|01/31/1997|02/02/1998|$300.00|REDUCED|$0.00|04/14/1998||Takechi|Richard|
299|Lee Terry for City Council|94 Annual Campaign Statement|01/31/1995|02/06/1995|$60.00|PAID||||Terry|Lee|
300|Lee Terry for City Council|93 Post General Campaign Statement|06/21/1993|07/08/1993|$170.00|PAID||||Terry|Lee|
301|Committee for the Re-election of Rudy J. Tesar|93 Annual Campaign Statement|01/31/1994|02/03/1994|$30.00|PAID||||Tesar|Rudy|
302|Committee to Re-Elect Pat Thomas|94 2nd Primary Campaign Statement|05/02/1994|05/05/1994|$30.00|REDUCED|$10.00|06/20/1994|06/20/1994|Thomas|Pat|
303|Committee to Elect Susan Thomas|95 Annual Campaign Statement|01/31/1996|02/09/1996|$90.00|PAID||||Thomas|Susan|
304|Thompson for Public Power|94 Annual Campaign Statement|01/31/1995|06/22/1995|$300.00|PAID||||Thompson|Gary|
305|Thompson for Public Power|93 Annual Campaign Statement|01/31/1994|02/02/1994|$20.00|PAID||||Thompson|Gary|
306|Darlene Tussing for County Commissioner|96 Post General Campaign Statement|01/06/1997|01/13/1997|$70.00|REDUCED|$0.00|04/08/1997||Tussing|Darlene|
307|Committee to Re-Elect Shirley Tyree to the School Board|Statement of Organization|05/20/1994|06/24/1994|$300.00|REDUCED|$0.00|12/30/1994||Tyree|Shirley|
308|Committee to Re-Elect Shirley Tryee to the School Board|94 Post Primary Campaign Statement|06/20/1994|06/24/1994|$40.00|REDUCED|$0.00|12/30/1994||Tyree|Shirley|
309|Committee to Retain Fred Ulrich|96 Annual Campaign Statement|01/31/1997|02/11/1997|$110.00|PAID||||Ulrich|Fred|
310|Committee to Retain Fred Ulrich|95 Annual Campaign Statement|01/31/1996|02/09/1996|$90.00|PAID||||Ulrich|Fred|
2||1998 2nd Primary Campaign Statement|05/04/1998|05/11/1998|$70.00|REDUCED|$0.00|07/01/1998||Young|Reginald|
3|Mike Johanns for Governor|Report of Late Contribution|05/07/1998|05/11/1998|$200.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
4|Mike Johanns for Governor|Report of Late Contribution|05/07/1998|05/11/1998|$200.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
5|Mike Johanns fCitizensor Governor|Report of Late Contribution|05/07/1998|05/11/1998|$200.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
6|Mike Johanns for Governor|Report of Late Contribution|05/12/1998|05/14/1998|$100.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
7|Mike Johanns for Governor|Report of Late Contribution|05/12/1998|05/14/1998|$100.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
8|Mike Johanns for Governor|Report of Late Contribution|05/04/1998|06/22/1998|$1500.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
9|Mike Johanns for Govenor|Report of Late Contribution|05/06/1998|06/22/1998|$1500.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
10|Mike Johanns for Mayor|Report of Late Contribution|05/18/1998|06/22/1998|$1500.00|REDUCED|$0.00|07/30/1998||Johanns|Mike|
12|Rod Johnson for PSC|1998 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|PAID||||Johnson|Rod|
13|Shelley Kiel for Legislature|1997 Annual Campaign Statement|02/02/1998|03/27/1998|$300.00|PAID|||07/01/1998|Kiel|Shelley|
17|Committee to Re-Elect Chris Abboud to the Legislature|97 Annual Campaign Statement|02/02/1998|02/17/1998|$150.00|PAID|||08/18/1999|Abboud|Chris|
18|Committee to Elect Mary Barrett|97 Annual Campaign Statement|02/02/1998|02/17/1998|$25.00|REDUCED|0.00|04/10/2010||Barrett|Mary|
19|Committee to Elect Mary Barrett|96 Post General Campaign Statement|01/06/1997|05/21/1997|$300.00|REDUCED|0.00|04/10/2010||Barrett|Mary|
20|Committee to Elect Mary Barrett|96 2nd General Campaign Statement|10/28/1996|10/31/1996|$30.00|REDUCED|0.00|04/10/2010||Barrett|Mary|
21|Citizens to Re-Elect Frank Christiansen|97 City Post General Campaign Statement|06/23/1997|08/14/1997|$300.00|PAID|||08/02/1999|Christiansen|Frank|
22|Citizens to Re-Elect Frank Christiansen|Report of Late Contribution|04/17/1997|05/06/1997|$1450.00|REDUCED|0.00|04/02/2010||Christiansen|Frank|
23|Citizens to Re-Elect Frank Christiansen|96 Annual Campaign Statement|01/31/1997|02/03/1997|$30.00|PAID|||08/02/1999|Christiansen|Frank|
24|Citizens to Re-Elect Frank Christiansen|97 City 1st Primary Campaign Statement|03/03/1997|03/05/1997|$20.00|PAID|||08/02/1999|Christiansen|Frank|
25|Committee to Re-Elect Jorgensen for OPPD|95 Annual Campaign Statement|01/31/1996|10/29/1996|$300.00|PAID|||09/11/1998|Jorgensen|Dennis|
26|Central Nebraskans for Loschen|2nd Primary Campaign Statement|05/04/1998|05/12/1998|$80.00|PAID|||06/29/1999|Loschen|Terry|
27|Committee to Elect Thomas Lynam Sarpy County Surveyor|98 Post Primary Campaign Statement|06/22/1998|06/24/1998|$20.00|REDUCED|$0.00|03/29/1999||Lynam|Thomas|
28|Friends to Elect Jim Lynch|Statement of Organization|09/11/1996|11/04/1996|$300.00|REDUCED|$0.00|11/06/1998||Lynch|Jim|
29|Friends to Elect Jim Lynch|96 1st General Campaign Statement|10/07/1996|11/04/1996|$280.00|REDUCED|$0.00|11/06/1998||Lynch|Jim|
30|Friends to Elect Jim Lynch|96 2nd General Campaign Statement|10/28/1996|11/04/1996|$70.00|REDUCED|$0.00|11/06/1998||Lynch|Jim|
31|Nichols for Legislature|97 Annual Campaign Statement|02/02/1998|02/04/1998|$20.00|REDUCED|$0.00|09/29/1998|09/23/1996|Nichols|Barb|
32|Nancy O\'Brien for Regent|97 Annual Campaign Statement|02/02/1998|05/13/1998|$300.00|PAID||||O\'Brien|Nancy|
33|Committee to Elect Walt Peffer|Statement of Organization|02/29/1996|03/04/1996|$40.00|PAID|||10/27/1998|Peffer|Walt|
34|Committee to Elect Walt Peffer|96 1st Primary Campaign Statement|04/15/1996|04/24/1996|$90.00|PAID|||01/29/1999|Peffer|Walt|
35|Committee to Elect Walt Peffer|96 Post Primary Campaign Statement|06/24/1996|08/14/1996|$300.00|PAID|||02/04/2000|Peffer|Walt|
36|Ron Staskiewicz for Public Defender|97 Annual Campaign Statement|02/02/1998|03/13/1998|$300.00|REDUCED|0.00|04/10/2010||Staskiewicz|Ron|
37|Committee to Elect Susan Thomas District Clerk|98 1st Primary Campaign Statement|04/13/1998|04/27/1998|$140.00|PAID||||Thomas|Susan|
38|Committee to Re-Elect Chris Abboud to the Legislature|94 1st Primary Campaign Statement|04/11/1994|04/26/1994|$150.00|PAID||||Abboud|Chris|
39|Agena for Assessor|93 Annual Campaign Statement|01/31/1994|02/09/1994|$90.00|PAID||||Agena|Norman|
40|Agena for Assessor|94 Post Primary Campaign Statement|06/20/1994|06/23/1994|$30.00|PAID||||Agena|Norman|
44|Subby Anzaldo for Mayor|96 Annual Campaign Statement|01/31/1997|02/04/1997|$40.00|REDUCED|$0.00|07/29/1997||Anzaldo|Subby|
45|Subby Anzaldo for Mayor|95 Annual Campaign Statement|01/31/1996|02/06/1996|$60.00|PAID||||Anzaldo|Subby|
46|Subby Anzaldo for Mayor|94 Special Election 2nd Primary Campaign Statement|10/31/1994|11/02/1994|$20.00|PAID||||Anzaldo|Subby|
47|Kathy Baasch for Register of Deeds|98 1st Primary Campaign Statement|04/13/1998|04/15/1998|$20.00|REDUCED|$0.00|05/18/1998||Baasch|Kathy|
48|Guy Banville for OPPD|95 Annual Campaign Statement|01/31/1996|07/19/1996|$300.00|PAID||||Banville|Guy|
49|Committee to Elect Marty Barnhart|Statement of Organization|05/09/1994|05/31/1994|$220.00|REDUCED|$0.00|07/21/1994||Barnhart|Marty|
50|Bartels for School Board|93 Annual Campaign Statement|01/31/1994|02/03/1994|$30.00|REDUCED|$0.00|04/12/1995||Bartels|Keith|
51|Bartels for School Board|94 Annual Campaign Statement|01/31/1995|02/13/1995|$130.00|REDUCED|$30.00|04/12/1995|04/12/1995|Bartels|Keith|
52|Beatty for MUD|93 Annual Campaign Statement|01/31/1994|02/09/1995|$300.00|REDUCED|$0.00|06/08/1998||Beatty|James|
53|Beatty for MUD|94 Annual Campaign Statement|01/31/1995|02/09/1995|$90.00|REDUCED|$0.00|06/08/1998||Beatty|James|
57|Elect Frank Bemis OPPD|98 2nd Primary Campaign Statement|05/04/1998|05/15/1998|$110.00|REDUCED|$0.00|06/09/1998||Bemis|Frank|
58|Re-Elect Frank Bemis|94 Post General Campaign Statement|01/09/1995|01/19/1995|$100.00|PAID||||Bemis|Frank|
61|Bernbeck for Secretary of State|Statement of Organization|03/24/1998|03/25/1998|$10.00|REDUCED|$0.00|09/03/1998||Bernbeck|Kent|
62|Blankenship for Council Committee|96 1st General Election Campaign Statement|10/07/1996|10/10/1996|$30.00|REDUCED|$0.00|07/30/1997||Blankenship|Bruce|
63|Bohlke for Legislature|96 2nd General Campaign Statement|10/28/1996|10/30/1996|$10.00|PAID||||Bohlke|Ardyce|
64|Bart Bonn for Sarpy County Commissioner|Statement of Organization|04/01/1996|04/04/1996|$30.00|PAID||||Bonn|Bart|
65|Bart Bonn for Sarpy County Commissioner|Post Primary Campaign Statement|01/24/1996|01/27/1996|$30.00|PAID||||Bonn|Bart|
66|Bart Bonn for Sarpy County Commissioner|96 1st General Campaign Statement|10/07/1996|10/09/1996|$20.00|PAID||||Bonn|Bart|
67|F|96 Post General Campaign Statement|01/06/1997|01/09/1997|$30.00|PAID||||Bonn|Bart|
68|Mary Ann Borgeson for County Board|94 2nd Primary Campaign Statement|05/02/1994|05/04/1994|$20.00|PAID||||Borgeson|Mary Ann|
69|Mary Ann Borgeson for County Board|94 Post General Campaign Statement|01/09/1995|01/12/1995|$30.00|PAID||||Borgeson|Mary Ann|
71|Boyd for NPPD Director|93 Annual Campaign Statement|01/31/1994|02/09/1994|$90.00|REDUCED|$0.00|03/08/1994||Boyd|Wayne|
72|Anne Boyle for Public Service Commisson|96 2nd General Campaign Statement|10/28/1996|10/30/1996|$20.00|REDUCED|$0.00|02/21/1997||Boyle|Anne|
75|Brad Boyum for Cuming County Sheriff|93 Annual Campaign Statement|01/31/1994|02/09/1994|$90.00|REDUCED|$0.00|||Boyum|Brad|
76|Brad Boyum for Cuming County Sheriff|94 Post General Campaign Statement|01/09/1995|01/19/1995|$100.00|REDUCED|$10.00|03/20/1995|03/20/1995|Boyum|Brad|
77|Ed Brink Campaign Committee|94 2nd General Campaign Statement|10/31/1994|11/07/1999|$70.00|PAID||||Brink|Ed|
78|Ed Brink Campaign Committee|94 Post General Campaign Statement|01/09/1995|01/31/1995|$220.00|PAID||||Brink|Ed|
79|Ed Brink Campaign Committee|95 Annual Campaign Statement|01/31/1996|05/06/1996|$300.00|PAID||||Brink|Ed|
80|Committee to Elect Mark Brosnihan|96 2nd Primary Campaign Statement|05/06/1996|06/26/1996|$300.00|PAID||||Brosnihan|Mark|
81|Frank Brown for City Council|Statement of Organization|03/07/1997||$190.00|REDUCED|$0.00|08/20/1997||Brown|Frank|
82|Frank Brown for City Council|97 1st Primary Campaign Statement|03/03/1997|03/26/1997|$230.00|REDUCED|$0.00|08/20/1997||Brown|Frank|
83|Brueggeman for Sheriff Committee|94 Post Primary Campaign Statement|06/20/1994|06/24/1994|$40.00|REDUCED|$0.00|08/03/1994||Brueggeman|Wm. C.|
84|Brueggeman for Sheriff|98 1st Primary Campaign Statement|04/13/1998|04/27/1998|$140.00|REDUCED|$0.00|05/12/1998||Brueggeman|Wm. C.|
85|Committee for Brumbaugh for OPPD|Statement of Organization|04/06/1998|04/08/1998|$20.00|PAID||||Brumbaugh|Kirk|
86|Committee for Brumbaugh for OPPD|98 1st Primary Campaign Statement|04/13/1998|04/15/1998|$20.00|PAID||||Brumbaugh|Kirk|
87|Committee for Brumbaugh for OPPD|98 2nd Primary Campaign Statement|05/04/1998|05/05/1998|$10.00|PAID||||Brumbaugh|Kirk|
88|Bruning for Legislature|96 2nd General Campaign Statement|10/28/1996|11/06/1996|$90.00|PAID||||Bruning|Jon|
89|Elect Buglewicz MUD Board|96 2nd General Campaign Statement|10/28/1996|10/30/1996|$20.00|PAID||||Buglewicz|George|
90|Irene Burnside for School Board|94 Post General Campaign Statement|01/09/1995|01/18/1995|$90.00|REDUCED|$0.00|02/13/1998||Burnside|Irene|
91|Committee to Re-Elect Buzek|94 2nd General Campaign Statement|10/31/1994|11/07/1994|$70.00|PAID||||Buzek||
92|Campbell for Lancaster County Commissioner|94 Post Primary Campaign Statement|06/20/1994|06/27/1994|$70.00|REDUCED|$0.00|07/19/1994||Campbell|Kathy|
93|Committee to Re-Elect Charles W. Campbell|94 2nd General Campaign Statement|10/31/1994|11/08/1994|$80.00|REDUCED|$0.00|05/10/1996||Campbell|Charles|
95|John Carter for State Legislature|Statement of Organization|04/17/1998|04/13/1998|$60.00|REDUCED|$0.00|05/20/1998||Carter|John|
96|Committee to Elect David \"Pete\" Catlin|Statement of Organization|09/03/1996|12/02/1996|$300.00|REDUCED||01/09/1997||Catlin|David \"Pete\"|
