Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
06CAC00777|ANGUS GAREY FOR LEGISLATION|PO BOX 605|MCCOOK|NE|69001|C|01/13/2006|01/11/2006|I||||01/06/2006|||||||||06/19/2006|05/09/2006|P||
12CAC01615|ANN FERLIC ASHFORD FOR REGENT|7926 SHIRLEY CIRCLE|OMAHA|NE|68124|C|01/27/2012|01/27/2012|I||||01/20/2012||||||||||05/15/2012|P||
99CAC00477|ANN MACTIER CAMPAIGN|3811 NORTH POST ROAD|OMAHA|NE|68112|C|04/26/2000|04/25/2000|I||0|I|04/27/1900|||||||||02/26/2008|11/02/2004|G|1|1
11CAC01584|ANNA WISHART FOR AIRPORT AUTHORITY (DO NOT USE)|1835 E STREET|LINCOLN|NE|68508|C|04/05/2011|04/05/2011|I||||03/31/2011||||||||||05/03/2011||1|1
99CAC00691|ANNE BOYLE FOR CITY COUNCIL|307 SOUTH 57TH ST.|OMAHA|NE|68132|C|06/04/2004|06/03/2004|I||0|I|05/25/2004|||||||||01/03/2006|05/10/2005|G||
99CAC00149|ANNE BOYLE FOR PUBLIC SERVICE COMMISSION|420 S. 11TH ST, SUITE 303|OMAHA|NE|68102|C|04/16/1996|04/16/1996|I||0|I|04/16/1996|       |          |||||||01/01/1900|11/05/2002|G|1|1
99CAC00620|ANNE MCGUIRE FOR OPPD|604 N 38TH ST|Omaha|NE|68131|C|09/17/2002|09/16/2002|I||0|I|09/16/2002||||||||||11/04/2008|G|1|
05CAC00735|ANNETTE DUBAS FOR LEGISLATURE|54906 N 180TH AVE; RR 1 BOX 42|FULLERTON|NE|68638|C|09/09/2005|09/08/2005|I||0||09/05/2005||||||||||11/02/2010|G||1
99CAC00385|ANNETTE MCROY FOR CITY COUNCIL|1142 NEW HAMPSHIRE|LINCOLN|NE|68508|C|03/15/1999|03/15/1999|I||0|I|03/15/1999|||||||||08/13/2010|05/04/1999|P||
99PPC00004|ANTELOPE COUNTY REPUBLICAN COMMITTEE|P.O. Box 29,|BRUNSWICK|NE|68720|T|05/31/1978|05/31/1978|I||0|I|05/31/1978|       |          |||||||10/26/1999|03/11/1999|P|0|0
08CAC01287|ANTHONY GOWAN FOR LAVISTA CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE |COLON|NE|68018|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
99PAC00112|APPLESEED PAC|123 ANYWHERE|WASHINGTON|DC|20036|S|01/01/1900|01/01/1900|I||0|I|01/01/1900||99IRC00053||||||R|01/20/1999|05/04/1998|P|0|0
06BQC00137|APS FOR KIDS (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|ARLINGTON|NE|68002|B|06/19/2006||||0||12/31/9999|||||||||||||
99BQC00085|AQUATIC PARK|152 E 6 ST|FREMONT|NE|68025|B|05/30/2003|05/29/2003|I|5.2 MILLION BOND ISSUE FOR AQUATIC PARK           |0|I|05/29/2003|||||||||01/04/2005|11/02/2004|G|1|1
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|02/10/2000|02/10/2000|A||0|I|06/13/1988|||||||||11/30/2005|11/05/2004|G||
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|06/13/1988|06/13/1988|I||0|I|06/13/1988|||||||||11/30/2005|05/04/2002|P||
08PAC00153|AQUILIA INC. EMPLOYEE FEDERAL PAC (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|KANSAS CITY |MO|64105|P|01/01/1900|01/01/1900|I||||01/20/2008||||||||||05/13/2008|P||
99CAC00654|ARGANBRIGHT FOR LEGISLATURE|BOX 67 - DESIRAE DRIVE|VALENTINE|NE|69201|C|01/28/2004|01/27/2004|I||0|I|01/28/2004|||||||||01/10/2006|05/11/2004|P||
99CAC00619|ARNOLD STUTHMAN CAMPAIGN FUND|24160 310TH ST|PLATTE CENTER|NE|68653|C|09/12/2002|09/12/2002|I||0|I|09/04/2002|||||||||01/26/2011|05/09/2010|P||
99CAC00463|ART KNOX|123 ANYWHERE|LINCOLN|NE|68502|C|01/01/1978|01/01/1978|I||0|I|01/01/1978||99IRC00107||||||R|01/01/1978|01/01/1978|P|0|0
05CAC00755|ASHFORD FOR LEGISLATURE|7926 SHIRLEY ST|OMAHA|NE|68124|C|11/22/2005|11/21/2005|I||||11/16/2005||||||||||11/02/2010|G||1
99PAC00042|ASSOCIATED BEVERAGE DISTRIBUTORS OF NE (PAC)|301 S. 13TH STREET, SUITE 400|LINCOLN|NE|68508|S|03/29/1988|03/29/1988|I||0|I|03/29/1988||||||||||11/02/2010|G||
99PAC00011|ASSOCIATED BUILDERS & CONTRACTORS|830 WEST GATE BLVD|LINCOLN|NE|68528|S|07/29/1990|07/29/1980|I||0|I|07/29/1990||||||||||11/04/2008|P||
99PAC00014|AT & T PAC|635 S. 14TH STREET, SUITE 300,|LINCOLN|NE|68508|S|09/12/1984|09/12/1984|I||0|I|09/12/1984|       |          |||||||10/17/2000|05/04/2000|P|0|0
99PAC00120|AT&T PAC - NORTHWEST STATES|1875 LAWRENCE STREET, 15TH FLOOR|DENVER|CO|80202|S|01/27/2000|01/27/2000|I||0|I|01/27/2000||99IRC00124||||||R|01/27/2000|01/01/1999|P|0|0
05CAC00726|AVERY FOR LEGISLATURE|1925 E STREET |LINCOLN|NE|68510|C|05/17/2005|05/17/2005|I||||06/11/2005||||||||||11/02/2010|G|1|1
99CAC00142|BAACK FOR GOOD GOVERNMENT|1712 Devoe Drive,|LINCOLN|NE|68506|C|04/13/1984|04/13/1984|I||0|I|04/13/1984|       |          |||||||12/11/2000|05/04/1998|P|0|0
99PAC00110|BACK PAC|7602 PACIFIC STREET|OMAHA|NE|68114|S|01/01/1900|01/01/1900|I||0|I|01/01/1900||99IRC00051||||||R|01/01/1999|05/04/1998|P|0|0
99CAC00025|BAKER FOR LEGISLATURE|36031 ROAD 719|TRENTON|NE|69044|C|11/20/1997|11/20/1997|I||0|I|11/20/1997||||||||||11/02/2010|G||1
99CAC00378|BALDWIN FOR MAYOR COMMITTEE|101 West Mission Ave.,|BELLEVUE|NE|68005|C|11/10/1998|11/09/1998|I||0| |11/10/1998|       |          |||||||01/05/1999|11/04/1998|G|0|0
99CAC00168|BARB NICHOLS FOR LEGISLATURE|2444 South Canterbury Lane,|LINCOLN|NE|68512|C|01/25/1996|01/25/1996|I||0| |01/25/1996|       |          |||||||09/17/1998|11/04/1996|G|0|0
06CAC00970|BARB NICHOLS FOR NRD (NR-LINCOLN)||Lincoln|NE|68501|C|01/01/1900||||||01/01/1900||||||||||11/07/2006|G||
08CAC01090|BARBARA BAIER FOR COMMISSIONER|PO BOX 81485|Lincoln|NE|68501|C|02/20/2008|02/19/2008|I||||04/03/2008|||||||||09/01/2010|05/13/2008|P||
99CAC00718|BARBARA BAIER FOR SCHOOL BOARD|P.O. BOX 81485|Lincoln|NE|68501|C|03/07/2005|03/07/2005|I||0|I|01/01/2001||||||||||05/03/2005|P||
09CAC01348|BARBARA DUTIEL FOR OPS #6 (NR)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68132|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
10CAC01487|BARBARA VELAZQUEZ OPS BOARD OF EDUCATION (NR)|5620 S. 48 AVE|Omaha|NE|68117|C|01/01/1999|01/01/1999|I||||01/01/1999||||||||||11/02/2010|G||
10CAC01467|BARBARA WOHLERS FOR CASS COUNTY CLERK (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68510|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|G||
07CAC01028|BARNEY HELTON AIRPORT AUTHORITY  (NOT REGISTERED)|NOT REGISTERED|LINCOLN|NE|68507|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||04/03/2007|||
08CAC01108|BARRIENTOS-PATLAN FOR LEGISLATURE|3305 E STREET|OMAHA|NE|68107|C|04/04/2008|04/04/2008|I||||03/26/2008|||||||||03/18/2009|11/08/2008|G||1
08CAC01189|BARRY DEJONG FOR SCHOOL BOARD|603 OAK RIDGE ROAD|PAPILLION|NE|68046|C|09/10/2008|09/09/2008|I||||09/03/2008||||||||||11/04/2008|G||
99CAC00465|BARRY LARSON FOR MUD|6060 WENNINGHOFF ROAD|OMAHA|NE|68134|C|04/13/2000|04/12/2000|I||0|I|04/11/2000||99IRC00109||||||R|07/26/2000|05/09/2000|P|0|0
06CAC00898|BARRY RICHARDS FOR GOVERNOR (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|HAYES CENTER|NE|69032|C|05/16/2006||||||12/31/9999|||||||||||||
99CAC00148|BART BONN FOR SARPY COUNTY COMMISSIONER|2613 Blackhawk Drive,|BELLEVUE|NE|68123|C|04/04/1996|04/04/1996|I||0|I|04/04/1996|       |          |||||||07/13/1999|11/04/1996|G|0|0
99CAC00026|BATAILLON FOR LT. GOVERNOR|317 S. Happy Hollow Blvd.,|OMAHA|NE|68132|C|03/06/1998|03/06/1998|I||0|I|03/06/1998|       |          |||||||12/20/1999|05/04/1998|P|0|0
99CAC00505|BAUER FOR EDUCATION|1718 SOUTH 181ST STREET|OMAHA|NE|68130|C|09/22/2000|09/22/2000|I||0|I|09/12/2000||99IRC00160||||||R|07/02/2001|11/07/2000|G|0|1
99CAC00641|BECK FOR CITY COUNCIL|524 SAILSIDE DR|LINCOLN|NE|68528|C|03/10/2003|03/10/2003|I||0|I|03/03/2003|||||||||01/31/2007|04/08/2003|P||
08CAC01229|BEGLEY (JIM) FOR LEARNING COMMUNITY|15387 NICHOLAS|OMAHA|NE|68154|C|10/24/2008|10/24/2008|I||||10/21/2008|||||||||02/09/2009|11/04/2008|G||
99CAC00483|BEGLEY FOR MUD BOARD|123 ANYWHERE|LINCOLN|NE|68504|C|01/01/1978|01/01/1978|I||0|I|01/01/1978||99IRC00129||||||R|01/01/1978|05/09/2000|P|0|0
05CAC00756|BELLEVUE CITIZENS FOR BLOOD|2812 JACK PINE STREET|BELLEVUE|NE|68123|C|11/22/2005|11/22/2005|I||||11/22/2005|||||||||10/10/2007|05/09/2006|P||
08CAC01166|BEN ENGLISH FOR LEGISLATURE (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68508|C|01/01/1900|01/01/1900|I||||08/15/2008||||||||||01/01/2008|G||
09CAC01361|BEN GRAY FOR CITY COUNCIL|5217 N 60TH STREET; PO BOX 11608|OMAHA|NE|68104|C|02/05/2009|01/26/2009|I||||01/06/2009||||||||||04/07/2009|P||
06CAC00978|BEN LOOMIS FOR MRNRD BOARD|NOT A REGISTERED COMMITTEE|MILLER|NE|68858|C|10/19/2006|10/19/2006|I||||12/31/9999||||||||||11/07/2006|||
99CAC00290|BEN NELSON FOR GOVERNOR|12357 Cuming Street,|OMAHA|NE|68154|C|10/30/1989|10/30/1989|I||0|I|10/30/1989|       |          |||||||06/10/2002|05/04/1994|P|0|0
10CAC01536|BEN PREIS FOR RALSTON CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68127|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|G||
99CAC00669|BEN THOMPSON FOR LEGISLATURE|13906 GOLD CIRCLE SUITE 201|OMAHA|NE|68144|C|03/30/2004|03/29/2004|I||0|I|05/29/2004||99IRC00383||||||R|01/01/1900|11/02/2004|G|0|1
99CAC00028|BENNETT FOR GOVERNOR|3804 CENTRAL AVE|KEARNEY|NE|68847|C|10/17/1997|10/17/1997|I||0|I|10/17/1997|       |          |||||||05/01/2002|05/04/2002|P|0|0
07IRC00478|BENNINGTON ABC COMMITTEE ( FOR BOND ISSUE) |NOT A REGISTERED COMMITTEE|BENNINGTON|NE|68007|R|05/01/2007|04/30/2007|I||||04/30/2007|||||||||||||
06CAC00917|BERNARD WOOD FOR LEGISLATURE #44 (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|CAMBRIDGE|NE|69022|C|05/16/2006||||||12/31/9999|||||||||||||
99CAC00160|BERNBECK FOR SECRETARY OF STATE|4625 Colfax Circle,|LINCOLN|NE|68504|C|03/25/1998|03/25/1998|I||0|I|03/25/1998|       |          |||||||01/27/1999|05/04/1998|P|0|0
07BQC00162|BETTER NEBRASKA ASSOCIATION (NOT REGISTERED)|4901 G STREET|Omaha|NE|68117|B|07/31/2007|07/30/2007|I||||07/29/2007|||||||||||||
99CAC00693|BETTGER FOR COUNCIL|673 N. 57TH STREET|OMAHA|NE|68132|C|07/08/2004|07/08/2004|I||0|I|07/03/2004||99IRC00410||||||R|01/01/1900|04/05/2005|P|0|0
10CAC01537|BETTY WILLMER FOR VALLEY CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE|VALLEY |NE|68064|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|G||
99CAC00145|BEUTLER FOR GOVERNOR|7021 FERNHILL ROAD, LINCOLN, NE|LINCOLN|NE|68516|C|01/16/1986|01/16/1986|I||0|I|01/16/1986|       |          |||||||01/01/1900|05/04/2006|P|0|0
99CAC00029|BEUTLER FOR LEGISLATURE |3315 \'M\' STREET,|LINCOLN|NE|68510|C|12/04/1989|12/04/1989|I||0|I|12/04/1989|       |          |||||||03/14/2003|11/05/2002|G|1|1
12CAC01607|BILL FORSEE FOR MCC (NOT REGISTERED)|4942 GREENE AVE|bellevue |ne|68157|C|01/13/2012||||||12/31/9999|||||||||||||
08CAC01303|BILL GESS FOR PAPILLION SCHOOL BOARD (NR)|NOT A REGISTERED COMMITTEE|PAPILLION|NE|69026|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
06CAC00998|BILL ROHDE FOR COUNTY COMM (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|MILLER|NE|68858|C|11/03/2006||I||||12/31/9999|||||||||||||
99CAC00146|BLANKENSHIP FOR COUNCIL COMMITTEE|2100 Avenue A,|KEARNEY|NE|68847|C|04/15/1996|04/15/1996|I||0|I|04/15/1996|||||||||12/30/2004|11/02/2000|P||
99CAC00673|BLAZEK FOR OPPD BOARD|16646 HOWARD CIRCLE|OMAHA|NE|68118|C|04/12/2004|04/09/2004|I||0|I|03/29/2004|||||||||02/01/2007|11/02/2004|G||1
12CAC01622|BLOOMFIELD FOR LEGISLATURE|PO BOX 243|South Sioux City |NE|68776|C|02/10/2012|02/10/2012|A||||02/10/2012|||||||||||||
09BQC00239|BLUEJAY BOND COMMITTEE (NOT REGISTERED)|636 N. 23RD STREET|ASHLAND|NE|68003|B|06/08/2009|06/08/2009|I||||01/01/2009||||||||||05/04/2009|||
08CAC01186|BLUMENTHAL FOR CITY COUNCIL|3303 S. 165TH AVE|OMAHA|NE|68130|C|09/08/2008|09/05/2008|I||||09/04/2008||||||||||04/07/2009|P||
99CAC00407|BOB DICKEY FOR LEGISLATURE|87081 HWY 20|LAUREL|NE|68745|C|05/20/1999|05/20/1999|I||0|I|05/13/1999||99IRC00025||||||R|01/16/2002|11/07/2000|G|0|1
99CAC00419|BOB KERRY FOR US SENATE COMMITTEE|WASHINGTON, DC|WASHINGTON|DC|20001|C|01/01/1900|01/01/1900|I||0|I|01/01/1900||99IRC00057||||||R|01/01/1978|01/01/2000|P|0|0
09CAC01380|BOB KRIST FOR LEGISLATURE|PO BOX 34517; 2335 NORTH 102ND STREET|OMAHA|NE|68134|C|09/11/2009|09/11/2009|I||||09/04/2009||||||||||11/02/2010|G||1
10CAC01504|BOB LAMMERS FOR CITY COUNCIL|2033 CENTRAL AVENUE, BOX 1775|KEARNEY|NE|68848|C|10/26/2010|10/25/2010|I||||10/25/2010|||||||||01/23/2012|11/02/2010|G||
07CAC01036|BOB MEYER FOR CITY COUNCIL (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|GRAND ISLAND|NE|68801|C|10/30/2006||I||||12/31/9999|||||||||||||
99CAC00007|BOB STEPHENS FOR CITY COUNCIL|1542 SOUTH 1ST STREET|LINCOLN|NE|68502|C|01/26/1999|01/25/1999|I||0|I|01/13/1999|       |          |||||||10/19/1999|04/06/1999|P|0|0
08CAC01293|BOB STUBBE FOR PAPILLION CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68525|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
10CAC01431|BOB TIEMANN FOR LEGISLATURE|2401 CENTENNIAL DRIVE|BEATRICE|NE|68310|C|04/27/2010|04/26/2010|I||||04/24/2010|||||||||07/15/2010|05/11/2010|P||
99CAC00339|BOB TWISS FOR LEGISLATURE (DISSOLVED)|433 SHERWOOD DRIVE,|GRETNA|NE|68028|C|03/16/1992|03/16/1992|I||0|I|03/16/1992|||||||||01/28/2008|05/04/2000|P||
99CAC00368|BOB TWISS FOR OPPD COMMITTEE|433 Sherwood Drive,|GRETNA|NE|68028|C|10/23/1998|10/22/1998|I||0|I|10/23/1998|       |          |||||||01/01/1900|05/04/2002|G|0|0
99CAC00307|BOB WICKERSHAM FOR LEGISLATURE|355 Main Street,|CHADRON|NE|69337|C|02/27/1991|02/27/1991|I||0|I|02/27/1991|       |          |||||||02/04/2003|11/07/2000|G|1|1
11CAC01575|BOBBI FOR COUNCIL|3140 O STREET, SUITE 205; PO BOX 80052|Lincoln|NE|68501|C|03/25/2011|03/25/2011|I||||03/23/2011||||||||||04/05/2011|P||
99CAC00147|BOHLKE FOR LEGISLATURE|11 VILLAGE DR|HASTINGS|NE|68901|C|10/07/1991|10/07/1991|I||0|I|10/07/1991|       |          |||||||11/25/2003|05/04/1996|G|1|1
99CAC00697|BOLES FOR COMMISIONER|1201 O ST STE 301|LINCOLN|NE|68508|C|09/14/2004|09/14/2004|I||0|I|09/14/2004|||||||||08/19/2005|11/02/2004|G||
