Committee Name|Form B6 ID|Date Received|Form ID|Expenditure Date|Amount|Description|Recipient Name|Recipient Address
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|NEBRASKA CITY NEWS PRESS|806 CENTRAL AVE NEBRASKA CITY 68410
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|AUBURN/NEMAHA COUNTY HERALD|PO BOX 250
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|FAIRBURY JOURNAL NEWS|PO BOX 415 FAIRBURY NE 68352
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|HASTINGS TRIBUNE|908 WEST 2ND ST HASTINGS NE 68901
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|NEBRASKA SIGNAL|131 NORTH 9TH ST GENEVA 68361
MCCLURG FOR REGENT|06CFL001379|10/25/2006|10|10/18/2006|508.57|ELECTION/MEDIA RESEARCH; ADVERTISING/PROMOTION MATERIAL DEVELOPMENT, MEDIA PLACEMENTS, COMMUNICATIONS COUNSEL|SYRACUSE JOURNAL|806 CENTRAL AVE NEBRASKA CITY NE 68410
FRIENDS FOR PAM TUSA|06CFL002181|11/03/2006|10|11/03/2006|500|direct contribution|Citizens For Better Douglas County Government|
WERNER FOR CITY COUNCIL|05CFL000020|04/15/2005|8|04/14/2005|5929|Radio Time - OPPOSE TERRY WERNER|Broadcast House|
WALT PEFFER FOR CITY COUNCIL DIST #6 |09CFL003666|05/08/2009|10|05/02/2009|480|Printed & mailed brochures to Elkhorn Residents, Postage costs|Tom Fencil DBA Publication Printing|208 3rd Street Waterloo, NE 68069
COMMITTEE FOR STUDENTS & A POSTIVE FUTURE|09CFL003912|09/15/2009|10|09/08/2009|465.12|Ad Opposing Bond|Kearney Daily Hub (Newspaper)|
COMMITTEE FOR STUDENTS & A POSTIVE FUTURE|09CFL003912|09/15/2009|10|09/08/2009|1740|Ad Opposing Bond|NRC Advertising (Radio)|
WERNER FOR CITY COUNCIL|05CFL000007|04/04/2005|3|03/20/2005|2224|radio - oppose terry werner|Broadcast House|
WERNER FOR CITY COUNCIL|05CFL000007|04/04/2005|5|03/21/2005|1261.72|postage - oppose terry werner|Postmaster|
WERNER FOR CITY COUNCIL|05CFL000007|04/04/2005|4|03/21/2005|1044|radio - oppose terry werner|Broadcast House|
WERNER FOR CITY COUNCIL|05CFL000007|04/04/2005|6|03/21/2005|2022.09|mail service - oppose terry werner|Niche Marketing|
WERNER FOR CITY COUNCIL|05CFL000007|04/04/2005|7|04/02/2005|560.25|printing - oppose terry werner|NE Printing Center, Inc.|
TONY MERRITT FOR SCHOOL BOARD COMMITTEE|05CFL000030|04/21/2005|10|04/12/2005|101|Copies|Sun Mart|1340 West \"O\" St, Lincoln NE 68528
TONY MERRITT FOR SCHOOL BOARD COMMITTEE|05CFL000067|05/05/2005|10|04/29/2005|191.53|Printing Flyers |Goldenrod|2801 Cornhusker Hwy, Lincoln NE 
COMMITTEE FOR STUDENTS & A POSTIVE FUTURE|09CFL003912|09/15/2009|10|09/10/2009|1328.85|Ad Opposing Bond|Kearney Daily Hub (Newspaper)|
TONY MERRITT FOR SCHOOL BOARD COMMITTEE|05CFL000067|05/05/2005|10|05/03/2005|46.63|Computer supplies, postage |Kinkos |4800 Vine St, Lincoln NE 
RALSTON ARENA COMPLEX ELECTION|11CFL004728|05/02/2011|10|04/27/2011|1500|consulting and Professional services|Edwards, Rod|19010 Ontario Street, Omaha, NE
BURKE HARR FOR LEGISLATURE |10CFL004542|10/19/2010|10|10/13/2010|2897|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
TERESA WHITEHEAD FOR LEGISLATURE|10CFL004543|10/19/2010|10|10/13/2010|2897|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
RALSTON ARENA COMPLEX ELECTION|11CFL004727|05/02/2011|10|04/27/2011|1800|Direct Mail Services|Gridiron Communications|12801 Sandy Ct, Granger, IN
MCINTYRE FOR STATE BOARD OF EDUCATION|10CFL004541|10/19/2010|10|10/13/2010|2896|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
LAUTENBAUGH FOR LEGISLATURE|10CFL004592|10/15/2010|10|10/12/2010|1701|Newspaper|Enterprise Publishing|Blair, Ne 68008
