Candidate First Name|Candidate Last Name|Candidate ID|Date Received|Income Source Name|Income Source Address|Income Reason|Type of Inocome
MILLS|GEORGE|99FIS00071|07/08/1999|COCA-COLA                     |                                        ||S
MILLS|GEORGE|99FIS00071|07/08/1999|GILLETTE                      |                                        ||S
MILLS|GEORGE|99FIS00071|07/08/1999|JANUS FUND                    |                                        ||S
MILLS|GEORGE|99FIS00071|07/08/1999|AMERICAN CENTURY ULTRA        |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|DOUGLAS COUNTY ATTORNEY       |DOUGLAS COUNTY, NE                      ||I
JANSEN|JAMES|99FIS00072|05/14/1999|OMAHA COMMUNITY PARTNERSH     |PKCC 232  OMAHA, NE                     ||B
JANSEN|JAMES|99FIS00072|05/14/1999|DOMESTIC VIOLENCE COORD.      |COUNCIL)  1325 S. 72  OMAHA, N          ||B
JANSEN|JAMES|99FIS00072|05/14/1999|NORWEST BANK                  |4725 S. 84TH ST.  RALSTON, NE           ||F
JANSEN|JAMES|99FIS00072|05/14/1999|U.S. BANK                     |4818 SO. 108TH  OMAHA, NE               ||F
JANSEN|JAMES|99FIS00072|05/14/1999|PINNACLE BANK                 |10805 Q ST.  OMAHA, NE                  ||F
JANSEN|JAMES|99FIS00072|05/14/1999|ADVANCED DISPLAY TECH.        |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|AMERICAN EXPRESS, INC.        |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|CENTURY COMMUNICATIONS        |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|COMMERCIAL FED. CORP.         |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|WORLD COM INC.                |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|WILLIAMS COMPANIES, INC.      |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|RCN CORP.                     |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|FIRST DATA CORP.              |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|SMITH BARNEY APPRECIATION     |FUND)                                   ||S
JANSEN|JAMES|99FIS00072|05/14/1999|GABELLI EQUITY TRUST, INC     |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|LEVEL 3 COMMUNICATIONS        |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|HILTON CORP.                  |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|HILTON CORP.                  |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|UNION PACIFIC CORP.           |                                        ||S
JANSEN|JAMES|99FIS00072|05/14/1999|PRINCIPAL RES. MORTGAGE C     |DES MOINES, IA                          ||C
JANSEN|JAMES|99FIS00072|01/06/2000|DOUGLAS COUNTY NE             |                                        ||I
JANSEN|JAMES|99FIS00072|01/06/2000|OMAHA COMMUNITY PARTNERSH     |UNO CENTER PKCC 232 OMAHA NE            ||B
JANSEN|JAMES|99FIS00072|01/06/2000|PROJECT HARMONY               |7110 F ST OMAHA NE 68117                ||B
JANSEN|JAMES|99FIS00072|01/06/2000|DOMESTIC VIOLENCE COOR.       |1325 S 72 ND ST STE 105 OMAHA           ||B
JANSEN|JAMES|99FIS00072|01/06/2000|NORWEST BANK                  |4725 S 84 ST RALSTON NE 68127           ||F
JANSEN|JAMES|99FIS00072|01/06/2000|US BANK                       |4818 S 108 OMAHA NE 68137               ||F
JANSEN|JAMES|99FIS00072|01/06/2000|PINNACLE BANK                 |10805 Q ST OMAHA NE 68137               ||F
JANSEN|JAMES|99FIS00072|01/06/2000|ADVANCED DISPLAY TECH         |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|AMERICAN EXPRESS INC          |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|ADELPHI CORP                  |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|COMMERICAL FEDERAL CORP       |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|MCI WORLD COM INC             |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|WILLIAMS COMPANIES            |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|RCN CORP                      |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|FIRST DATA CORP               |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|SMITH BARNEY APPRECIATION     |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|GABELLI EQUITY TRUST          |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|LEVEL 3 COMMUNICATIONS        |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|HILTON CORP                   |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|HILTON CORP                   |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|PARK PLACE CORP               |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|UNION PACIFIC CORP            |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|MASSACHUETTS MUTUAL LIFE      |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|SMITH BARNEY                  |                                        ||S
JANSEN|JAMES|99FIS00072|01/06/2000|DOUGLAS COUNTY                |PENSION FUND/ 401K                      ||S
JANSEN|JAMES|99FIS00072|01/06/2000|PRINCIPAL RESIDENTIAL MOR     |DES MOINES IA                           ||C
JANSEN|JAMES|99FIS00072|01/22/2001|PARK PLACE CORP               |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|UNION PACIFIC CORP            |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|PRINC. RESIDENT. MORTG.       |                                        ||C
JANSEN|JAMES|99FIS00072|01/22/2001|MID CITY BANK                 |                                        ||C
JANSEN|JAMES|99FIS00072|01/22/2001|DOUGLAS COUNTY, NE            |                                        ||I
JANSEN|JAMES|99FIS00072|01/22/2001|OMAHA COMMUNITY PARTNERSH     |                                        ||B
JANSEN|JAMES|99FIS00072|01/22/2001|PROJECT HARMONY               |                                        ||B
JANSEN|JAMES|99FIS00072|01/22/2001|DOMESTIC VIOLENCE COORD.      |                                        ||B
JANSEN|JAMES|99FIS00072|01/22/2001|WELLS FARGO BANK              |                                        ||F
JANSEN|JAMES|99FIS00072|01/22/2001|US BANK                       |                                        ||F
JANSEN|JAMES|99FIS00072|01/22/2001|PINNACLE BANK                 |                                        ||F
JANSEN|JAMES|99FIS00072|01/22/2001|MID CITY BANK                 |                                        ||F
JANSEN|JAMES|99FIS00072|01/22/2001|ADVANCED DISPLAY TECHN.       |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|AMERICAN EXPRESS              |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|ADELPHI CORP                  |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|COMMERCIAL FEDERAL CORP       |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|MCI WORLD COM, INC.           |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|WILLIAMS COMPANIES, INC.      |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|RCN CORP                      |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|BERKSHIRE HATHAWAY            |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|SMITH BARNEY APPREC. FUND     |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|GABELLI EQUITY TRUST          |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|LEVEL 3 COMMUNICATIONS        |                                        ||S
JANSEN|JAMES|99FIS00072|01/22/2001|HILTON CORP                   |                                        ||S
MORRISSEY|ROGER|99FIS00074|03/20/2000|R.F. MORRISSEY & ASSOC        |668 N 58TH OMAHA NE                     ||I
MORRISSEY|ROGER|99FIS00074|03/20/2000|NORWEST BANK                  |13259 MILLARD AVE OMAHA NE              ||F
MORRISSEY|ROGER|99FIS00074|03/20/2000|NEBRASKA STATE BANK           |3211 N 90TH ST OMAHA NE                 ||F
MORRISSEY|ROGER|99FIS00074|03/20/2000|FIRST AMERICAN SAVING         |3540 S 84TH ST OMAHA NE                 ||F
MORRISSEY|ROGER|99FIS00074|03/20/2000|WELLS FARGO                   |                                        ||S
PRAUNER|JAMES|99FIS00086|03/07/2001|CITY OF BATTLE CREEK          |BOX 280                                 ||I
PRAUNER|JAMES|99FIS00086|03/07/2001|TOM OSBORN                    |RENT FROM FARM BATTLE CREEK,            ||I
PRAUNER|JAMES|99FIS00086|03/07/2001|CITY OF BATTLE CREEK          |BOX 280                                 ||B
PRAUNER|JAMES|99FIS00086|03/07/2001|AIM FINANCIAL AMERITAS        |PO BOX 8189                             ||F
PRAUNER|JAMES|99FIS00086|03/07/2001|BATTLE CREEK STATE BANK       |202 W MAIN POB 308                      ||F
PRAUNER|JAMES|99FIS00086|03/07/2001|MADISON CO GVT CREDIT UNI     |1306 N 13TH                             ||F
PRAUNER|JAMES|99FIS00086|03/07/2001|BATTLE CREEK STATE BANK       |BATTLECREEK, NE                         ||C
ROBAK|JENNIE|99FIS00092|05/12/2000|LEGISLATURE                   |                                        ||I
ROBAK|JENNIE|99FIS00092|05/12/2000|SOCIAL SECURITY               |                                        ||I
ROBAK|JENNIE|99FIS00092|05/12/2000|JIM STICKER                   |                                        ||I
ROBAK|JENNIE|99FIS00092|05/12/2000|RKR FOOD INC                  |                                        ||B
ROBAK|JENNIE|99FIS00092|05/12/2000|COLUMBUS BANK & TRUST         |                                        ||F
ROBAK|JENNIE|99FIS00092|05/12/2000|FIRST FEDERAL LINCOLN         |                                        ||F
STUHR|ELAINE|99FIS00096|03/31/2000|UNIV. OF NE                   |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|YORK NE G.O. BOND             |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|INVESTCO FUNDS GROUP INC      |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|FEDERATED INVESTORS           |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|STUHR FARMS                   |208 ROAD 18 BRADSHAW NE                 ||I
STUHR|ELAINE|99FIS00096|03/31/2000|STATE OF NEBRASKA             |STATE CAPITOL LINCOLN NE                ||I
STUHR|ELAINE|99FIS00096|03/31/2000|SSA                           |601 E 12TH ST KANSAS CITY MO            ||I
STUHR|ELAINE|99FIS00096|03/31/2000|HEARTLAND CENTER FOR LEAD     |940 O ST STE 920 LINCOLN NE             ||B
STUHR|ELAINE|99FIS00096|03/31/2000|YORK STATE BANK               |PO BOX 39 YORK NE                       ||F
STUHR|ELAINE|99FIS00096|03/31/2000|CORNERSTONE BANK OF YORK      |529 LINCOLN AVE YORK NE                 ||F
STUHR|ELAINE|99FIS00096|03/31/2000|NE ED FAC AUTHORITY REV       |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|NE PUBLIC POWER DIST          |                                        ||S
STUHR|ELAINE|99FIS00096|03/31/2000|NE PUBLIC POWER DIST REV      |                                        ||S
SCHERR|STEPHEN|99FIS00106|04/19/1999|WHELAN & SCHERR               |420 W. 5TH  HASTINGS, NE                ||I
SCHERR|STEPHEN|99FIS00106|04/19/1999|RENTAL INCOME                 |1006 W. 9TH  HASTINGS, NE               ||I
SCHERR|STEPHEN|99FIS00106|04/19/1999|PLAZA ENTERPRISES, L.L.C.     |P.O. BOX 891  HASTINGS, NE              ||B
SCHERR|STEPHEN|99FIS00106|04/19/1999|                              |                                        ||I
SCHERR|STEPHEN|99FIS00106|04/04/2000|WHELAN & SCHERR               |                                        ||I
SCHERR|STEPHEN|99FIS00106|04/04/2000|PLAZA ENTERPRISES LLC         |                                        ||I
SCHERR|STEPHEN|99FIS00106|04/04/2000|RENTAL PROPERTY               |                                        ||I
SCHERR|STEPHEN|99FIS00106|04/04/2000|HASTINGS AREA COUN. ALCOH     |                                        ||B
SCHERR|STEPHEN|99FIS00106|04/04/2000|HASTINGS STATE BANK           |                                        ||F
SCHERR|STEPHEN|99FIS00106|04/04/2000|CITY NATIONAL BANK            |                                        ||C
SCHERR|STEPHEN|99FIS00106|04/04/2000|1ST COMMERCE                  |                                        ||C
SMITH|ADRIAN|99FIS00111|03/27/2000|BUYERS REALTY                 |2035 10TH ST GERING NE                  ||I
SMITH|ADRIAN|99FIS00111|03/27/2000|STATE OF NE                   |LINCOLN NE                              ||I
SMITH|ADRIAN|99FIS00111|03/27/2000|WYO-BRASKA MUSEUM OF NATI     |10TH & U ST GERING NE                   ||B
SMITH|ADRIAN|99FIS00111|03/27/2000|VALLEY BANK & TRUST           |GERING NE                               ||F
SMITH|ADRIAN|99FIS00111|03/27/2000|STATE FARM                    |LINCOLN NE                              ||F
SMITH|ADRIAN|99FIS00111|03/27/2000|NE TEACHER RETIREMENT         |LINCOLN NE                              ||F
SMITH|ADRIAN|99FIS00111|03/27/2000|ROTH IRA                      |LINCOLN NE                              ||F
SMITH|ADRIAN|99FIS00111|03/27/2000|STATE FARM                    |84TH & O LINCOLN NE                     ||S
SMITH|ADRIAN|99FIS00111|03/27/2000|FORD MOTOR CREDIT             |OMAHA NE                                ||C
STOLL|RANDY|99FIS00117|03/31/2000|YORK COUNTY NEBRASKA          |510 LINCOLN AVE YORK NE                 ||I
STOLL|RANDY|99FIS00117|03/31/2000|EAKES OFFICE PLUS             |PO BOX V2098 GRAND ISLAND               ||I
STOLL|RANDY|99FIS00117|03/31/2000|LEGAL SVCS OF SOUTHEAST N     |TERMINAL BUILDING #825 LINCOLN          ||B
STOLL|RANDY|99FIS00117|03/31/2000|YORK KIWANIAS CLUB            |723 BEAVER AVE YORK NE                  ||B
STOLL|RANDY|99FIS00117|03/31/2000|UNION BANK                    |502 GRANT AVE YORK NE                   ||F
STOLL|RANDY|99FIS00117|03/31/2000|CATTLE NATL BANK              |104 S 5TH SEWARD NE                     ||F
STOLL|RANDY|99FIS00117|03/31/2000|NORWEST BANK 401K             |                                        ||S
STOLL|RANDY|99FIS00117|03/31/2000|FARM BUREA INSURANCE          |                                        ||S
STOLL|RANDY|99FIS00117|03/31/2000|LINCOLN BENEFIT LIFE INSU     |                                        ||S
STOLL|RANDY|99FIS00117|03/31/2000|NE COUNTY EMPLOYEE RETIRE     |                                        ||C
STOLL|RANDY|99FIS00117|03/31/2000|FIRST BANK                    |POB 64916 ST PAUL NE                    ||C
STOLL|RANDY|99FIS00117|03/31/2000|CHASE MANHATTAN BANK          |WILMINGTON DE                           ||C
STOLL|RANDY|99FIS00117|03/31/2000|LINCOLN BENEFIT LIFE          |PO BOX 80469 LINCOLN NE                 ||C
STOLL|RANDY|99FIS00117|03/31/2000|STUDENT LOANS                 |DEPT OF EDUCATION UTICA NY              ||C
STOLL|RANDY|99FIS00117|03/31/2000|CAPITOL ONE                   |PO BOX 26074 RICHMOND VA                ||C
BOYLE|ANNE|99FIS00150|04/03/2000|UNIVERSAL REVENUE SERVICE     |                                        ||I
BOYLE|ANNE|99FIS00150|04/03/2000|DOWNTOWN OMAHA, INC           |                                        ||B
BOYLE|ANNE|99FIS00150|04/03/2000|BEMIS CENTER FOR CONT. AR     |                                        ||B
BOYLE|ANNE|99FIS00150|04/03/2000|COMMERCIAL FEDERAL BANK       |                                        ||F
BOYLE|ANNE|99FIS00150|04/03/2000|BELL FEDERAL CREDIT UNION     |                                        ||F
BOYLE|ANNE|99FIS00150|04/03/2000|NORWEST BANK                  |                                        ||F
BOYLE|ANNE|99FIS00150|04/04/2000|UNIVERSAL REVENUE SRVC        |                                        ||I
BOYLE|ANNE|99FIS00150|04/04/2000|DOWNTOWN OMAHA                |                                        ||B
BOYLE|ANNE|99FIS00150|04/04/2000|BEMIS CENTER                  |                                        ||B
BOYLE|ANNE|99FIS00150|04/04/2000|COMMERCIAL FEDERAL BANK       |                                        ||F
BOYLE|ANNE|99FIS00150|04/04/2000|BELL FEDERAL CREDIT UNION     |                                        ||F
BOYLE|ANNE|99FIS00150|04/04/2000|NORWEST BANK                  |                                        ||F
BRUNING|JON|99FIS00153|12/30/1999|STATE OF NEBRASKA             |STATE CAPITOL                           ||I
BRUNING|JON|99FIS00153|12/30/1999|JON C. BRUNING, ATTORNEY      |1079 N. 204TH AVE, ELKHORN, NE          ||I
BRUNING|JON|99FIS00153|12/30/1999|BRUNING HOLDINGS, LLC         |17501 RIVIERA DRIVE, OMAHA, NE          ||B
BRUNING|JON|99FIS00153|12/30/1999|PANTHER NETWORK               |1079 N. 204TH AVE, ELKHORN, NE          ||B
BRUNING|JON|99FIS00153|03/13/2001|AMERITRADE                    |4211 S 102ND                            ||F
BRUNING|JON|99FIS00153|03/13/2001|PAINE WEBBER                  |1201 N STREET                           ||F
BRUNING|JON|99FIS00153|03/13/2001|WARBURG PINCUS MUT. FUND      |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|VOYAGEUR MUT. FUND            |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|AT&T                          |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|CMGI                          |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|CITIGROUP                     |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|GE NAT. INFO CONSORTIUM       |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|NOKIA                         |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|ENRON                         |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|AT&TWIRELESS                  |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|WORLDCOM                      |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|LEVEL3                        |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|COX COMMUN.                   |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|MICROSOFT                     |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|VENTRO                        |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|FIDELITY MUTUAL FUNDS         |                                        ||S
BRUNING|JON|99FIS00153|03/13/2001|STATE OF NEBRASKA             |                                        ||I
BRUNING|JON|99FIS00153|03/13/2001|BRUNING LAW OFFICE            |SOLO ATTORNEY IN PRIVATE PRACT          ||I
BRUNING|JON|99FIS00153|03/13/2001|PANTHER NETWORK, LLC.         |                                        ||I
BRUNING|JON|99FIS00153|03/13/2001|TAGGE RUTHERFORD FIN GROU     |                                        ||I
BRUNING|JON|99FIS00153|03/13/2001|BRUNING HOLDINGS, LLC,        |                                        ||B
BRUNING|JON|99FIS00153|03/13/2001|PINNACLE BANK                 |13131 W DODGE RD                        ||F
BRUNING|JON|99FIS00153|01/13/2003|STATE OF NE                   |                                        ||I
BRUNING|JON|99FIS00153|01/13/2003|JON C. BRUNING, PC,LLO        |                                        ||I
BRUNING|JON|99FIS00153|01/13/2003|BURNING HOLDINGS, LLC         |                                        ||I
BRUNING|JON|99FIS00153|01/13/2003|CORNHUSKER ROAD, LLC          |                                        ||B
BRUNING|JON|99FIS00153|01/13/2003|PINNACLE BANK                 |                                        ||F
BRUNING|JON|99FIS00153|01/13/2003|NATL ASSN OF ATTY GENERAL     |                                        ||G
BRUNING|JON|99FIS00153|01/13/2003|REP. ATTY GENERAL ASSN        |                                        ||G
BRUNING|JON|99FIS00153|01/13/2003|NE CLUB                       |                                        ||G
LYNCH|JIM|99FIS00166|03/08/2000|SELF EMPLOYEED                |3705 S 112TH ST OMAHA NE                ||I
LYNCH|JIM|99FIS00166|03/08/2000|LYNCH PROPERTIES INC          |1224 MONGNA BLVD OMAHA NE               ||B
PETERSON|BEVERLY|99FIS00172|02/07/2000|DR G.E. PETERSON              |108 S PARK AVE OAKLAND NE               ||I
PETERSON|BEVERLY|99FIS00172|02/07/2000|FIRST NATL BANK OF NORTHE     |OAKLAND NE                              ||F
PETERSON|BEVERLY|99FIS00172|02/07/2000|GOLDEN AMERICAN INS CO        |                                        ||S
PETERSON|BEVERLY|99FIS00172|02/07/2000|MORGAN STANLEY DEAN WILTE     |                                        ||S
HOEGER|MARK|99FIS00182|03/14/2000|WORLD MEDIA COMPANY           |5847 N 90TH OMAHA NE                    ||I
HOEGER|MARK|99FIS00182|03/14/2000|UNIVERSITY OF NE OF OMAHA     |OMAHA NE                                ||I
HOEGER|MARK|99FIS00182|03/14/2000|OX BRIDGE ACADEMY PROGRA      |NEW YORK NY                             ||I
HOEGER|MARK|99FIS00182|03/14/2000|HOEGER COMMUNICATIONS         |5201 DAVENPORT OMAHA NE                 ||I
WESELY|DON|99FIS00006|03/08/1999|ALIANT COMMUNICATIONS         |                                        ||I
WESELY|DON|99FIS00006|03/08/1999|NBC                           |                                        ||F
WESELY|DON|99FIS00006|04/04/2000|CITY OF LINCOLN               |                                        ||I
WESELY|DON|99FIS00006|04/04/2000|NATIONAL BANK OF COMMERCE     |                                        ||F
WESELY|DON|99FIS00006|04/04/2000|NE STATE EMPL. CREDIT UNI     |                                        ||F
WESELY|DON|99FIS00006|04/04/2000|US BANK                       |                                        ||F
WESELY|DON|99FIS00006|04/04/2000|FRIENDS OF STATE MUSEUM       |                                        ||G
WESELY|DON|99FIS00006|04/04/2000|ANIS EYE INSTITUTE            |                                        ||G
STEPHENS|ROBERT|99FIS00007|03/09/1999|STEPHENS & SMITH CONST.       |                                        ||I
STEPHENS|ROBERT|99FIS00007|03/09/1999|PINNACLE BANK                 |                                        ||F
LARSEN|LILLIAN|99FIS00008|02/02/1999|GALLUP, INC.                  |                                        ||I
LARSEN|LILLIAN|99FIS00008|02/02/1999|NBC                           |                                        ||F
EDWARDS|PAUL|99FIS00009|12/21/1998|RURAL/METRO MEDICAL SERVI     |                                        ||I
EDWARDS|PAUL|99FIS00009|12/21/1998|ST. MARY\'S SCHOOL             |                                        ||B
EDWARDS|PAUL|99FIS00009|12/21/1998|UNION BANK & TRUST            |                                        ||F
EDWARDS|PAUL|99FIS00009|02/29/2000|RURAL METRO AMBULANCE         |830 L ST LINCOLN NE                     ||I
EDWARDS|PAUL|99FIS00009|02/29/2000|UNION BANK                    |1944 O ST LINCOLN NE                    ||F
EDWARDS|PAUL|99FIS00009|02/29/2000|BURLINGTON CREDIT UNION       |                                        ||F
EDWARDS|PAUL|99FIS00009|02/29/2000|WASHINGTON MUTUAL FUND        |                                        ||S
EDWARDS|PAUL|99FIS00009|02/29/2000|TEMPLETON MUTUAL FUND         |                                        ||S
EDWARDS|PAUL|99FIS00009|02/29/2000|RURAL METRO STOCK             |                                        ||S
EDWARDS|PAUL|99FIS00009|02/29/2000|DANA RAUSCHER                 |                                        ||S
EDWARDS|PAUL|99FIS00009|02/29/2000|COMMERCIAL FEDERAL            |1314 O ST                               ||C
EDWARDS|PAUL|99FIS00009|02/29/2000|BURLINGTON CREDIT UNION       |                                        ||C
COOK|JONATHAN|99FIS00010|03/02/1999|ZETETIC SOFTWARE              |                                        ||I
COOK|JONATHAN|99FIS00010|03/02/1999|COUNTY CLUB NEIGHBORHOOD      |                                        ||B
COOK|JONATHAN|99FIS00010|03/02/1999|U.S. BANK                     |                                        ||F
SVOBODA|KEN|99FIS00011|02/23/2001|RAY\'S LAWN & HOME CARE        |503 WEST A STREET                       ||I
SVOBODA|KEN|99FIS00011|02/23/2001|NEBRASKA PROFESSIONAL LAW     |4954 SO. 167TH AVE OMAHA                ||B
SVOBODA|KEN|99FIS00011|02/23/2001|PUBLIC HEALTH FOUNDATION      |3140 N STREET                           ||B
CAMP|JON|99FIS00013|05/01/2000|FIRST UNION BANK              |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|GENERAL ELECTRIC              |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|HONEYWELL                     |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|WARNER LAMBERT                |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|FEDERATED AGCR MONEY MARK     |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|TNE MONEY MARKET FUNDS        |                                        ||I
CAMP|JON|99FIS00013|05/01/2000|HAYMARKET FUNDS               |PO BOX 82307 LINCOLN  NE                ||I
CAMP|JON|99FIS00013|05/01/2000|CH LTD                        |PO BOX 82307 LINCOLN NE                 ||I
CAMP|JON|99FIS00013|05/01/2000|LINCOLN HAYMARKET DEVELOP     |MENT CORP                               ||B
CAMP|JON|99FIS00013|05/01/2000|HAYMARKET HOUSING DEVELOP     |                                        ||B
CAMP|JON|99FIS00013|05/01/2000|LINCOLN HOUSING BOARD         |                                        ||B
CAMP|JON|99FIS00013|05/01/2000|CITY OF LINCOLN ECONOMIC      |                                        ||B
CAMP|JON|99FIS00013|05/01/2000|HAYMARKET REVITALIZATION      |                                        ||B
CAMP|JON|99FIS00013|05/01/2000|NE STATE HISTORICAL SOCIE     |                                        ||B
CAMP|JON|99FIS00013|05/01/2000|NATL BANK OF COMMERCE         |13TH & O ST LINCOLN NE                  ||F
CAMP|JON|99FIS00013|05/01/2000|FIRST FEDERAL LINCOLN         |LINCOLN NE                              ||F
CAMP|JON|99FIS00013|05/01/2000|AEGON NV                      |                                        ||S
CAMP|JON|99FIS00013|05/01/2000|AETNA LIFE                    |                                        ||S
CAMP|JON|99FIS00013|05/01/2000|ALIANT COMMUNICATIONS         |                                        ||S
CAMP|JON|99FIS00013|05/01/2000|ALLTEL                        |                                        ||S
