Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description|unknownNumeric
DIERKS FOR LEGISLATURE (2002)|99CAC00195|04/15/2002|01/25/2002|30.87|C|INTEREST TRANSFERRED FROM CD            |1023
DIERKS FOR LEGISLATURE (2002)|99CAC00195|04/15/2002|01/07/2002|37.81|C|INTEREST TRANSFERRED FROM CD            |1023
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|12/31/2001|542.8|C|INTEREST FROM 2 CD'S & CK ACCT          |1022
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|10/25/2001|3000|C|TRANSFERRED CD TO CK ACCT               |1022
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|01/08/2001|1500|C|TRANSFERRED CD TO CK ACCT               |1022
DIERKS FOR LEGISLATURE (2002)|99CAC00195|02/01/2001|12/31/2000|628.13|C|SAVINGS ACCT AT EWING FARMERS BANK      |1021
DIERKS FOR LEGISLATURE (2002)|99CAC00195|02/01/2001|10/26/2000|1500|C|TRANSFERRED CD TO CHECKING ACCT         |1021
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/28/2000|12/31/1999|730.85|O|SAVINGS ACCT                            |1020
DUNNING FOR SHERIFF|99CAC00201|06/21/2002|05/15/2002|200|C|OMAHA POLICE UNION RETURNED DEPOSIT     |1287
DUNNING FOR SHERIFF|99CAC00201|01/25/2000|06/23/1999|18000|C|PURCHASED A C.O.D. AT US BANK           |1282
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/18/2007|12/31/2006|105.37|O|INTEREST INCOME, REDUCE CASH ON HAND, IN|5553
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/24/2006|12/31/2005|69.62|O|2005 INTEREST INCOME, REDUCE CASH ON HAN|3772
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/27/2009|12/31/2008|115.38|O|Interest income|6397
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/27/2010|12/07/2009|3784.08|O|interest and CD transferred back to ch a|6868
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/02/2005|12/31/2004|36.52|O|2004 INTEREST INCOME                    |1310
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/02/2005|12/31/2004|33.75|O|INTEREST INCOME FROM PREVIOUS YEAR      |1310
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/04/2002|12/31/2001|235.95|C|INTEREST                                |1302
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/04/2002|10/03/2001|1000|C|CD MATURED - TRANSFER TO CHECKING       |1302
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/29/2001|12/31/2000|242.97|C|INT INCOME RPTD FROM CD CD ROLLED OVER  |1301
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/28/2000|12/31/1999|131.46|C|INTEREST INCOME REPORTED FROM 13 MO. CD |1300
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/28/2000|01/26/1999|3500|C|TRANSFERRED DOLLARS FROM CHECKING       |1300
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/15/2005|-799.99|O|IN KIND TO NE REP/ LAPTOP COMPUTER |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/28/2005|-1450.29|O|IN KIND TO NE REP/OFFICE FURNITURE |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/25/2005|-2032|O|IN KIND TO NE REP/COPIER PRINTER |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|01/13/2005|320.18|A|POSTMASTER ACCOUNT REFUND|3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|04/14/2005|55.52|A|PETTY CASH BALANCE DEPOSITED INTO CHECKI|3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|04/14/2005|614|A|AMERICAN FAMILY INSURANCE CANCEL WRK COM|3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|302.7|A|POSTMASTER CLOSING BULK ACCOUNT REFUND |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|61.63|A|ALLTEL CLOSING PHONE ACCOUNT REFUND|3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|51.59|A|CONNIE WALT PURCHASE OFFICE FURNITURE  |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|129.85|A|VICKI POWELL - PURCHASE OFFICE FURNITURE|3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/24/2005|157.79|A|N STREET DRIVE CHECK NEVER CASHED |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/24/2005|500|A|ENRON NATURAL GAS CHECK NEVER CASHED |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|01/13/2005|2309.68|A|UNIVERSAL INFORMATION SERVICES |3632
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|07/01/1999|200|C|SOLD COMPUTER                           |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|06/10/1999|160|C|REFUND INSURANCE                        |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/08/1999|89.2|C|REFUND INSURANCE                        |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/05/1999|57.89|C|CREDIT FOR 3149                         |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/05/1999|57.89|C|REPLACE CK 3149                         |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|11841.5|C|REPAY SALARIES                          |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|702|C|RADIO REFUND                            |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|85.01|C|REFUND SNITILY CARR                     |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/11/1999|77|C|REFUND FAMILY INSURANCE                 |1322
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|27.04|C|TIME WARNER CABLE DISCONNECT REFUND     |1332
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|19|C|LIABILITY REFUND                        |1332
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|818|C|WORK COMP REFUND                        |1332
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|03/31/2004|30|C|REFUND DEPOSIT OF PARKING CARDS         |1332
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|03/31/2004|52.26|C|REFUND OF POSTAGE                       |1332
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|10/23/2003|294|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|08/10/2003|185|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|07/09/2003|242.43|C|POSTMASTER-REFUND BALANCE IN POSTAGE DUE|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|04/11/2003|10|C|JOAN SUTHER-REFUND RESERVED PARKING CARD|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|04/11/2003|1029.8|C|STATE OF NEBRASKA-UNCLAIMED REFUND      |1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|02/10/2003|60|C|TIER ONE CENTER FMA-REFUND RESERVED PARK|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|01/29/2003|1000|C|GOVERNOR'S INAUGURAL BALL COMM.-REIMBURS|1331
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/30/2002|747.43|O|REFUND FROM QWEST COMMUNICATIONS        |1330
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/30/2002|369.4|O|REFUND FROM TRIAD BROADCASTING          |1330
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/19/2002|155.51|O|REIMBURSEMENT FROM HOLLEY HATT/PHONE    |1330
MIKE JOHANNS FOR GOVERNOR|99CAC00207|10/07/2002|07/19/2002|67.6|C|BALANCE GOVERNOR'S COUNCIL              |1328
MIKE JOHANNS FOR GOVERNOR|99CAC00207|06/24/2002|06/09/2002|20|C|RETURNED CONTRIBUTION FROM PREV. STMT   |1327
MIKE JOHANNS FOR GOVERNOR|99CAC00207|06/24/2002|05/31/2002|.37|C|CHECK CASHING DIFFERENCE                |1327
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/06/2002|04/29/2002|12.92|C|MIKE JOHANNS, POSTAGE REIMBURSEMENTS    |1326
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/06/2002|04/18/2002|15.98|C|MIKE JOHANNS POSTAGE REIMBURSEMENTS     |1326
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/25/2002|500|C|RETURN ENRON CONTRIUBITON TO GREATER HOU|1325
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|2750|C|RETURN CONTRIBUTION - DAVID HUNTER ESTAT|1325
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|1100|C|RETURN CONTRIBUTION - STATE TITLE SVCS  |1325
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|2050|C|RETURN CONTRIBUTION- LINDA HUNTER       |1325
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|12/18/2001|500|C|REFUND ENRON CONTRIBUTION               |1324
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|10/09/2001|500|C|ENRON CONTRIBUTION                      |1324
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|03/13/2001|19.77|C|REFUND DEPOSIT/DRESNER, WICKERS & ASSOCA|1324
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|10/18/2000|367.5|C|NE GOP NAT'L CONV. PIN PURCHASE         |1323
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|04/13/2000|64.02|C|NE GOP REIMBURSE FOR POSTAGE            |1323
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|02/08/2000|70|C|BIG RED SUB-XMAS CARD PURCHASE          |1323
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|12/28/1999|206.08|C|REFLECT CASH ON HAND                    |1322
KEEFE FOR PUBLIC DEFENDER|99CAC00211|01/31/2008|10/01/2007|52.6|A|cancelled check prior expenditure|5618
PAT KNAPP FOR ATTORNEY GENERAL|99CAC00221|01/31/2000|12/31/1999|80|C|FIRST FEDERAL BANK ACCOUNT CHARGES      |1346
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/31/2002|1717.7|C|DONATION TO TAX-EXEMPT CHARITABLE INSTIT|1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/30/2002|250|C|EXPENDITURE                             |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/17/2002|617.42|C|EXPENDITURE                             |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/01/2002|19.72|C|EXPENDITURE                             |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|11/07/2002|37|C|EXPENDITURE                             |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|10/16/2002|2662.4|C|CD CASH IN                              |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|10/16/2002|28.84|C|EXPENDITURE                             |1349
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2002|12/31/2001|117.87|O|INTEREST ADDED TO CD                    |1348
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2002|09/28/2001|30.09|C|EXPENDITURE                             |1348
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/11/2001|12/31/2000|192.91|O|INTEREST ADDED TO $2300 C.D.            |1347
KREMER FOR LEGISLATURE|99CAC00226|06/24/2002|06/05/2002|266.47|O|NE PRESS AD SVC REFUND OF OVERPAYMENT   |1364
KREMER FOR LEGISLATURE|99CAC00226|01/21/2000|01/05/1999|200|O|GIFT OF MEMBERSHIP TO NE CLUB           |1359
KREMER FOR LEGISLATURE|99CAC00226|01/21/2000|01/10/1999|0|O|PASSES TO DOUGLAS THEATRE CO            |1359
ALEX MORENO FOR SHERIFF|99CAC00238|02/02/2005|12/31/2004|28.94|C|SERVICE CHARGE                          |1384
ALEX MORENO FOR SHERIFF|99CAC00238|01/28/2004|12/31/2003|76|C|SERVICE CHARGE FROM ALEX MORENO FOR SHER|1383
ALEX MORENO FOR SHERIFF|99CAC00238|12/30/1999|01/01/1900|0|O|TO ADJUST AMOUNT 7.44 IS INCLUDED       |1377
ALEX MORENO FOR SHERIFF|99CAC00238|12/30/1999|01/01/1900|0|C|-.52.  ACCOUNT HAS BALANCE OF 6.92 IN OR|1377
ALEX MORENO FOR SHERIFF|99CAC00238|12/30/1999|12/30/1999|7.44|C|LINE 27 FINANCIAL STATEMENT SHOWS AMOUNT|1377
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|07/17/1998|3032.5|C|US WEST REFUND                          |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|07/09/1998|32.92|C|NEWSPAPER SUBSCRIPTION REFUNDS          |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|20.99|O|ALIANT CHECK NOT CASHED                 |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|310.87|O|SPRINT CHECK NOT CASHED                 |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|60|O|HALL COUNTY CHECK NOT CASHED            |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|02/16/1999|1327.35|C|SANDLER & INNOCENZI MEDIA REFUND        |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|10/12/1998|.18|C|SPRINT CELL PHONE REFUND                |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|10/09/1998|227.73|C|OFFICE DEPOT REFUND                     |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|09/23/1998|14.33|C|SPRINT CELL PHONE REFUND                |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|09/23/1998|99.72|C|ALIANT PHONE SVC REFUND                 |1385
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|08/07/1998|113|C|WORKERS COMP. PREMIUM REFUND            |1385
FRIENDS TO ELECT CRAIG CHRISTIANSEN|99CAC00246|01/30/2001|12/31/2000|21|O|BANK FEES CKING ACCT WELLS FARGO BANK   |1486
JONATHAN COOK FOR COUNCIL (AT LARGE)|99CAC00248|02/01/2000|06/14/1999|1530|O|SALE OF YARD SIGNS TO "SOUTHWEST VOTERS |1487
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2003|07/31/2002|377.56|C|VOID STALE DATED CHECKS                 |1506
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|12/31/2001|939.5|C|VOID STALE DATED CHECKS                 |1505
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/24/2001|376.52|C|REFUND POSTAL ACCOUNT                   |1505
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/02/2001|586.14|C|OPPD REFUND                             |1505
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/02/2001|787.77|C|QWEST REFUND                            |1505
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|06/18/2001|542.02|C|REFUND FROM ALL MAKES OFFICE EQUIP. CO. |1504
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|31836.39|C|CERTIFICATE OF DEPOSIT REDEEMED         |1504
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|42805.28|C|CERTIFICATE OF DEPOSIT REDEEMED         |1504
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|31321.95|C|CERTIFICATE OF DEPOSIT REDEEMED         |1504
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|09/14/1999|313|O|REIM. DAUB PRIOR YEAR EXPENSE           |1499
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|08/27/1999|263|O|REIM. DAUB PRIOR YEAR EXPENSE           |1499
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|09/14/1999|90986.18|O|BUY CERTIFICATE OF DEPOSITS             |1499
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/27/2005|12/31/2004|59.46|C|MONTHLY CHECKING ACCOUNT FEES           |1512
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|02/04/2003|12/31/2002|68.71|C|CHECKING ACCOUNT MAINTENANCE FEE        |1510
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/29/2002|12/31/2001|120|C|CHECKING ACCT MAINTENANCE FEE (MONTHLY) |1509
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|12/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|11/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|10/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|09/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|08/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|07/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|06/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|05/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|04/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|03/31/2000|10.2|C|CHECKING ACCOUNT MAINTENANCE FEE        |1508
DUDA FOR COUNTY BOARD|99CAC00255|05/05/2004|04/07/2004|11601|C|TRANSFER COD ACCOUNT TO CHECKING        |1526
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|01/07/2005|12/21/2004|113.46|O|REFUND FROM NE PRESS ADV. OVERPAYMENT   |1397
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|10/22/2004|10/09/2004|60.86|O|REFUND OF OVER PAYMENT , SILK SOREEN INC|1396
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|01/07/2004|06/30/2003|20|C|VOID OLD CHECK #1385 PAYABLE ST MICHAELS|1391
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|06/19/2000|05/30/1999|22.94|C|CHECK TO ALIANT CELLULAR DATED 1/7/99   |1537
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2005|12/31/2004|43.95|C|INTEREST FOR 12 MONTHS                  |1709
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/02/2004|12/31/2003|47.3|C|INTEREST                                |1708
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|01/29/2003|12/31/2002|62.63|C|INTEREST FOR 12 MONTH PERIOD            |1707
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/04/2002|12/31/2001|60.8|C|INTEREST                                |1406
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2001|12/31/2000|81.69|C|INT FOR 12 MONTH PERIOD 1-1-00-12-31-00 |1405
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2000|12/31/1999|88.35|C|INTEREST FOR 12 MONTH PERIOD            |1404
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|02/01/2001|03/12/2000|80|O|ANN MEMBERHSIP TO LINC INDEP BUS. ASSOCI|1711
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|02/01/2001|01/29/2000|70|O|TICKETS TO MILLENIUM PARTY FOR SEN. CROS|1711
FREEMAN FOR LEGISLATURE|99CAC00262|08/21/2000|06/30/2000|0|O|FUNDS TO OMAHA CHAPTER FRDM FOUND       |1715
GARVER FOR SCHOOL BOARD|99CAC00263|01/30/2004|12/31/2003|50.61|C|BANK SERVICE FEES                       |1723
HALL FOR OPPD BOARD|99CAC00269|02/04/2004|12/31/2003|75|C|NEBRASKA ACCOUNTABILITY AND DISCLOSURE  |1746
HALL FOR OPPD BOARD|99CAC00269|01/17/2003|11/01/2002|100|C|NE ACCOUNTABILITY COMMISSION            |1745
HALL FOR OPPD BOARD|99CAC00269|01/17/2003|05/07/2002|50|C|NE ACCOUNTABILITY COMMISSION            |1745
HALL FOR OPPD BOARD|99CAC00269|11/01/2002|05/07/2002|50|C|NADC                                    |1744
HALL FOR OPPD BOARD|99CAC00269|10/08/2002|05/07/2002|50|C|NADC                                    |1743
HALL FOR OPPD BOARD|99CAC00269|06/25/2002|05/07/2002|50|C|NADC PAYMENT OF FEES                    |1742
JONES FOR LEGISLATURE|99CAC00273|01/03/2001|11/15/2000|296.02|O|CK FROM NE PRESS ADV-OVERPYMT MADE BY BA|1585
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2002|12/28/2001|225|C|PROCEEDS OF SALE OF PRINTER             |1612
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2002|09/17/2001|60.79|C|REFUND OF PHONE SVC FROM ALLTELL        |1612
KRISTENSEN FOR LEGISLATURE|99CAC00276|10/11/2000|10/05/2000|500|O|CONTRIBUTION RETURNED                   |1609
KRISTENSEN FOR LEGISLATURE|99CAC00276|10/11/2000|10/05/2000|500|O|CONTRIBUTION RETURNED                   |1609
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2000|01/07/1999|250|C|PHILIP MORRIS STOP PAYMENT ON A CONTRIBU|1605
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2000|12/30/1999|350|O|PROCEEDS FROM SALE OF OLD COMPUTER      |1605
KRISTENSEN FOR LEGISLATURE|99CAC00276|02/02/1998|12/31/1997|650|O|COMPUTER SOLD TO LIESKE & KRISTENSEN    |1603
LANDIS FOR PSC|99CAC00277|01/28/2008|09/06/2007|1000|A|Transfer from Savings to Checking|5029
LANDIS FOR PSC|99CAC00277|01/27/2011|07/07/2010|54.86|A|Redeposit lost check issued to Verizon|9390
LANDIS FOR PSC|99CAC00277|01/27/2011|06/04/2010|1000|A|Transfer from saving acct to checking|9390
LANDIS FOR PSC|99CAC00277|01/27/2011|03/01/2010|1000|A|Transfer from savings acct. to checking|9390
LANDIS FOR PSC|99CAC00277|01/27/2011|03/03/2010|-.03|A|Checking acct error|9390
LANDIS FOR PSC|99CAC00277|01/29/2010|11/16/2009|1000|A|Transfor-savings to checking acct.|7132
LANDIS FOR PSC|99CAC00277|01/29/2010|10/13/2009|1000|A|Transfor-savings to checking acct.|7132
LANDIS FOR PSC|99CAC00277|01/29/2010|08/19/2009|1000|A|Transfor-savings to checking acct.|7132
LANDIS FOR PSC|99CAC00277|01/28/2009|12/02/2008|1000|A|Transfer frm Savings Acct. to Checking A|6408
LANDIS FOR PSC|99CAC00277|01/28/2009|09/17/2008|1000|A|Transfer frm Savings Acct. to Checking A|6408
LANDIS FOR PSC|99CAC00277|01/29/2010|05/05/2009|1000|A|Transfor-savings to checking acct.|7132
LANDIS FOR PSC|99CAC00277|01/16/2007|12/30/2006|-88.5|A|Transfer out to Savings|4994
LANDIS FOR PSC|99CAC00277|01/16/2007|12/31/2006||A||4994
LANDIS FOR PSC|99CAC00277|01/16/2007|12/12/2006|6.8|A|Refund from NE Press Association|4994
LANDIS FOR PSC|99CAC00277|04/07/2006|02/13/2006|10000|A|TRANSFER TO SAVINGS ACCOUNT|4173
LANDIS FOR PSC|99CAC00277|01/30/2004|05/06/2003|30|C|VOIDED CHECK #557 FOR $30               |1630
