Committee Name|Committee ID|Date Received|State Code|Total|Expense Category
COMMERCIAL FEDERAL PAC|99PAC00019|05/03/2005|99|1000|029
COMMERCIAL FEDERAL PAC|99PAC00019|03/09/2005|99|2000|029
DONNA\'S LIST|99PAC00021|09/30/2004|99|1000|029
FIREFIGHTERS FOR BETTER GOVERNMENT|99PAC00023|01/20/2012|05|500|029
FIREFIGHTERS FOR BETTER GOVERNMENT|99PAC00023|06/23/2008|41|250|
FIREFIGHTERS FOR BETTER GOVERNMENT|99PAC00023|01/23/2006|16|3000|029
FIREFIGHTERS FOR BETTER GOVERNMENT|99PAC00023|04/11/2006|26|1275|029
FIREFIGHTERS FOR BETTER GOVERNMENT|99PAC00023|01/20/2012||500|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/23/2012|99|8075.71|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/16/2011|99|1641.87|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/23/2012|16|1000|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/11/2011|99|1761.29|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/25/2010|99|1571.17|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/04/2010|16|3500|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/04/2010|99|1509.29|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2010|99|1934.18|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/28/2010|99|5762.07|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/27/2009|99|1563.68|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/23/2008|99|2910.49|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/23/2008|16|4000|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/14/2008|09|4965.66|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2008|09|10697.65|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2008|16|300|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/11/2007|16|600|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/11/2007|48|4645.15|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/23/2007|09|7036.52|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/28/2007|99|7036.52|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/11/2006|16|1350|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/10/2005|16|650|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/10/2005|99|2916.09|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/21/2004|99|809.44|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|16|1000|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|09/30/2004|99|3935.77|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/21/2004|16|500|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/04/2004|16|600|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/04/2004|99|1336.6|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|16|4000|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2004|99|8829.24|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/17/2003|09|3518.71|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/03/2003|09|2793.61|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/02/2003|16|1600|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/14/2003|09|2932.37|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/28/2002|16|250|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|16|2750|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/07/2002|09|4989.6|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/24/2002|09|2017.67|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|16|475|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|16|1300|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/12/2002|09|8242.34|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/26/2001|48|849.69|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/26/2001|16|3500|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/26/2001|48|2059.34|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/07/2001|48|1111.79|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/16/2001|16|2602.64|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/31/2000|48|1034.08|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2000|48|3945.65|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2000|16|2500|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/20/2000|48|1758.38|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/10/2000|48|2308.37|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/27/2000|48|6504.47|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/27/2000|16|250|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/27/2000|16|350|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/17/1999|48|2529.77|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/02/1999|48|904.07|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/18/2010|99|1106.44|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/03/2010|16|1000|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/05/2009|99|3337.91|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/03/2010|99|652.9|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2006|16|1100|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/10/2006|99|6151.6|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/11/2006|99|7726.44|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|05/03/2005|99|4429.15|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/22/2009|99|3936.98|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/24/2008|99|3509.81|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/06/2008|16|2200|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|10/06/2008|99|3414.22|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|01/12/2009|99|3282.31|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/19/2006|16|800|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/19/2006|99|2761.32|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|04/11/2006|99|5172.93|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|06/20/2005|99|1015.65|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/26/2005|99|1475|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/25/2005|99|1341.2|029
IRON WORKERS LOCAL UNION #21 LEGISLATIVE FUND|99PAC00029|03/07/2011|99|1454.22|029
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|02/05/2004|99|223.9|029
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|10/16/2006|99|328.39|029
METROPOLITAN OMAHA BUILDERS ASSOCIATION PAC|99PAC00032|04/10/2006|99|75|029
NEBRASKANS UNITED FOR LIFE PAC|99PAC00033|09/16/2004|99|100.65|029
NEBRASKANS UNITED FOR LIFE PAC|99PAC00033|02/03/2003|99|26.64|029
NEBRASKANS UNITED FOR LIFE PAC|99PAC00033|06/25/2002|99|26.64|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/30/2012|99|117500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/13/2011|99|12000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/25/2010|10|500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/04/2010|99|46500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/04/2010|99|22500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/09/2010|99|27000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/06/2008|99|34500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/25/2008|99|19000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|05/02/2008|99|4500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/05/2006|99|23500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/26/2004|99|14500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/05/2004|99|28210|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/10/2005|99|-1000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/21/2004|99|13500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|05/03/2004|99|13000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/12/2004|99|50800|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/29/2004|44|100|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/29/2004|99|124783.15|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/14/2003|99|25000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/25/2002|99|19000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/07/2002|16|1000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|10/07/2002|99|34920.01|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/24/2002|99|14364|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|05/02/2002|99|2500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/15/2002|99|39500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/17/2001|  |105024.75|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/21/2010|99|18500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/29/2010|99|1000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/13/2009|99|11500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2006|99|161681.75|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/10/2005|99|27000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/27/2010|99|100575|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/16/2008|99|36500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/28/2008|99|118000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|01/28/2008|44|130|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/19/2006|44|130|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|06/19/2006|99|39500|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/27/2006|99|25000|029
MUTUAL OF OMAHA COMPANIES PAC (IMPAC)|99PAC00034|04/10/2006|99|29500|029
NE FARM PAC|99PAC00039|10/17/2008|99|500|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|11/17/2008|99|4500|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|04/14/2008|99|4500|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/15/2008|99|200|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/26/2006|28|200|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|10/04/2004|99|500|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|10/04/2004|06|50|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/29/2010|99|2900|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|01/13/2009|99|154.83|029
NE CATTLEMEN INC NC STATE PAC|99PAC00043|04/10/2006|99|2500|029
NE CONSTRUCTION INDUSTRY PAC|99PAC00049|10/06/2000|28|1500|029
NE FARM BUREAU FEDERATION PAC|99PAC00055|01/30/2008|99|600|029
NE FARM BUREAU FEDERATION PAC|99PAC00055|01/20/2006|99|450|029
NE FARM BUREAU FEDERATION PAC|99PAC00055|04/09/2008|99|500|
NE FARM BUREAU FEDERATION PAC|99PAC00055|10/05/2006|99|100|029
NE MEDICAL PAC|99PAC00058|01/30/2012|44|1000|029
NE MEDICAL PAC|99PAC00058|01/30/2012|99|9750|029
NE MEDICAL PAC|99PAC00058|05/16/2011|99|7900|029
NE MEDICAL PAC|99PAC00058|05/16/2011|99|100|029
NE MEDICAL PAC|99PAC00058|04/25/2011|99|100|029
NE MEDICAL PAC|99PAC00058|03/03/2011|99|1100|029
NE MEDICAL PAC|99PAC00058|01/11/2011|99|2600|029
NE MEDICAL PAC|99PAC00058|06/16/2010|99|6000|029
NE MEDICAL PAC|99PAC00058|05/13/2010|99|4100|029
NE MEDICAL PAC|99PAC00058|02/13/2008|99|10628.19|029
NE MEDICAL PAC|99PAC00058|10/06/2006|99|2050|029
NE MEDICAL PAC|99PAC00058|02/10/2004|01|15550|029
NE MEDICAL PAC|99PAC00058|01/12/2005|99|1525|029
NE MEDICAL PAC|99PAC00058|10/20/2004|99|450|029
NE MEDICAL PAC|99PAC00058|10/01/2004|99|4125|029
NE MEDICAL PAC|99PAC00058|06/18/2004|99|150|029
NE MEDICAL PAC|99PAC00058|04/09/2004|99|1532.5|029
NE MEDICAL PAC|99PAC00058|10/07/2002|99|100|029
NE MEDICAL PAC|99PAC00058|10/07/2002|09|3325|029
NE MEDICAL PAC|99PAC00058|06/21/2002|09|6312.5|029
NE MEDICAL PAC|99PAC00058|05/06/2002|09|2800|029
NE MEDICAL PAC|99PAC00058|04/10/2002|09|4587.5|029
NE MEDICAL PAC|99PAC00058|01/24/2002|09|6362|029
NE MEDICAL PAC|99PAC00058|01/17/2001|48|200|029
NE MEDICAL PAC|99PAC00058|10/30/2000|48|2762.5|029
NE MEDICAL PAC|99PAC00058|10/30/2000|28|500|029
NE MEDICAL PAC|99PAC00058|10/06/2000|48|450|029
NE MEDICAL PAC|99PAC00058|06/19/2000|48|4982.5|029
NE MEDICAL PAC|99PAC00058|04/11/2000|48|1212.5|029
NE MEDICAL PAC|99PAC00058|01/17/2007|99|1900|029
NE MEDICAL PAC|99PAC00058|06/20/2008|99|335|029
NE MEDICAL PAC|99PAC00058|10/08/2008|99|1450|029
NE MEDICAL PAC|99PAC00058|04/15/2008|99|3450|029
NE MEDICAL PAC|99PAC00058|10/30/2006|99|1000|029
NE MEDICAL PAC|99PAC00058|06/19/2006|99|50|029
NE MEDICAL PAC|99PAC00058|05/01/2006|99|200|029
NE MEDICAL PAC|99PAC00058|04/10/2006|99|1375|029
NE MEDICAL PAC|99PAC00058|10/04/2010|99|2600|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|01/12/2005|16|100|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|10/13/2004|16|250|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|06/22/2004|16|50|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|04/13/2004|43|100|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|03/31/2003|26|200|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|10/08/2002|03|500|029
LINCOLN FIREFIGHTERS ASSOCIATION PAC|99PAC00006|04/10/2006|26|1275|029
NE PROFESSIONAL FIREFIGHTERS PAC|99PAC00008|10/26/2004|16|500|029
NE PROFESSIONAL FIREFIGHTERS PAC|99PAC00008|10/08/2002|26|500|029
NE PROFESSIONAL FIREFIGHTERS PAC|99PAC00008|06/28/2002|42|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/11/2012||23000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/22/2010|42|1000|
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/01/2010|16|500|
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/01/2010|99|3500|
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/12/2010|99|2500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/14/2010|16|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/14/2010|24|100|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/14/2010|99|11000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/11/2008|14|1350|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/11/2008|99|24500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/11/2008|24|100|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/06/2006|14|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/20/2005|99|4000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/20/2005|16|2500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/24/2005|99|1500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/07/2005|99|4000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/11/2005|99|4700|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/20/2004|99|4900|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/04/2004|17|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/04/2004|99|10500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/04/2004|06|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/22/2004|99|6500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/22/2004|06|200|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|05/03/2004|26|1200|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/13/2004|99|6000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/05/2004|26|1175|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/05/2004|17|1700|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/05/2004|99|30650|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/15/2003|42|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/28/2002|42|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/08/2002|17|4000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/08/2002|16|1000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/08/2002|99|9700|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/08/2002|06|3850|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/25/2002|18|1500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/25/2002|99|7300|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/25/2002|06|1500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|05/06/2002|99|5000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|05/06/2002|06|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/16/2002|99|7100|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|02/01/2002|17|1500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|02/01/2002|06|4200|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/27/2001|99|16000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|05/07/2001|99|1500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/21/2001|17|600|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/21/2001|99|1000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/21/2001|06|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/10/2000|17|750|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/12/2000|06|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|02/01/2000|17|599.99|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/06/2009|14|250|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/11/2008|99|4800|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/27/2006|42|1000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|01/27/2006|99|27000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/22/2009|99|10350|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|03/30/2009|99|1000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/06/2008|16|500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/06/2008|99|34000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|10/06/2006|99|14000|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|06/16/2006|99|7500|029
FIRST NATIONAL  OF NEBRASKA PAC|99PAC00009|04/10/2006|99|9000|029
NE REALTORS PAC|99PAC00064|03/03/2011|99|1581.6|029
NE REALTORS PAC|99PAC00064|03/24/2011|99|1507.2|
NE REALTORS PAC|99PAC00064|04/21/2011|99|2195.4|029
NE REALTORS PAC|99PAC00064|01/07/2011|99|696.6|029
NE REALTORS PAC|99PAC00064|10/22/2010|99|384.75|
NE REALTORS PAC|99PAC00064|09/30/2010|99|14164.5|
NE REALTORS PAC|99PAC00064|06/18/2010|99|1901.1|
NE REALTORS PAC|99PAC00064|04/08/2010|99|3080.7|029
NE REALTORS PAC|99PAC00064|01/18/2010|99|16063.5|029
NE REALTORS PAC|99PAC00064|05/04/2009|99|288|029
NE REALTORS PAC|99PAC00064|06/19/2008|99|3089.4|
NE REALTORS PAC|99PAC00064|04/11/2008|99|2727.9|
NE REALTORS PAC|99PAC00064|01/18/2008|99|13871.91|029
NE REALTORS PAC|99PAC00064|06/11/2007|99|5511.3|029
NE REALTORS PAC|99PAC00064|03/05/2007|99|1781.1|029
NE REALTORS PAC|99PAC00064|03/21/2007|99|385.5|029
NE REALTORS PAC|99PAC00064|10/26/2006|99|162.59|029
NE REALTORS PAC|99PAC00064|05/02/2005|99|2717.4|029
NE REALTORS PAC|99PAC00064|03/24/2005|99|2742|029
NE REALTORS PAC|99PAC00064|01/27/2006|99|10952.25|029
NE REALTORS PAC|99PAC00064|03/04/2005|99|837|029
