Committee Name|Committee ID|Date Received|Contributor ID|Contribution Date|Amount|Microfilm Number|Contributor Name
PAYROLL MAXX, LLC|99CON04459|04/10/2001|99CAC00455|03/01/2001|250|6160067|WINSTROM FOR CITY COUNCIL
PAYROLL MAXX, LLC|99CON04459|01/09/2004|99CAC00547|12/01/2003|500|6650082|THE COMMITTEE TO ELECT CHUCK SIGERSON
PAYROLL MAXX, LLC|99CON04459|09/10/2004|99CAC00526|08/03/2004|1000|6840130|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
PAYROLL MAXX, LLC|99CON04459|11/10/2004|99CAC00442|10/01/2004|2000|6880058|MICHAEL G. FAHEY FOR MAYOR
PAYROLL MAXX, LLC|99CON04459|12/08/2004|99CAC00547|11/24/2004|1000|6880191|THE COMMITTEE TO ELECT CHUCK SIGERSON
ALLENDER & ASSOCIATES, INC.|99CON04504|08/29/2001|99CAC00442|03/08/2001|300|6210104|MICHAEL G. FAHEY FOR MAYOR
ALLENDER & ASSOCIATES, INC.|99CON04504|03/13/2002|99CAC00207|06/20/2001|500|6330196|MIKE JOHANNS FOR GOVERNOR
ALLENDER & ASSOCIATES, INC.|99CON04504|02/24/2003|99CAC00581|10/01/2002|500|6520026|STORMY FOR GOVERNOR CAMPAIGN COMMITTEE
BUILD AND LEASE, INC.|99CON04514|03/29/2001|99CAC00251|03/01/2001|1000|6130154|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
D & S REALTY INC|99CON04516|04/02/2001|99CAC00251|03/15/2001|500|6150186|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
ENVIRONMENT PROFESSIONALS, INC|99CON04517|03/29/2001|99CAC00251|03/16/2001|1000|6130160|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
MICRO BYTES, INC.|99CON04519|03/30/2001|99CAC00251|03/09/2001|1000|6130169|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
SPECTRACOM, INC.|99CON04524|04/02/2001|99CAC00251|03/14/2001|750|6150212|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
SPECTRACOM, INC.|99CON04524|03/27/2003|99CAC00547|08/19/2002|500|6580033|THE COMMITTEE TO ELECT CHUCK SIGERSON
SPECTRACOM, INC.|99CON04524|07/29/2003|99CAC00544|07/23/2003|500|6630146|COMMITTEE TO ELECT JIM VOKAL
WBE COMPANY INC.|99CON04556|08/28/2001|99CAC00275|04/06/2001|1000|6210108|CITIZENS FOR KONECK
WBE COMPANY INC.|99CON04556|08/28/2001|99CAC00151|04/09/2001|1000|6210108|FRANK BROWN FOR CITY COUNCIL
WBE COMPANY INC.|99CON04556|08/28/2001|99CAC00314|04/06/2001|1000|6210108|HERD FOR CITY COUNCIL (NOW CLIFF HERD FOR CITY)
WBE COMPANY INC.|99CON04556|08/28/2001|99CAC00278|04/06/2001|1000|6210108|LORMONG LO COMMITTEE
WBE COMPANY INC.|99CON04556|08/28/2001|99CAC00224|04/06/2001|1000|6210108|MARC KRAFT ELECTION COMMITTEE
WBE COMPANY INC.|99CON04556|06/17/2002|99CAC00056|02/26/2002|1000|6410234|COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU
WBE COMPANY INC.|99CON04556|05/24/2004|99CAC00547|12/15/2003|1000|6800240|THE COMMITTEE TO ELECT CHUCK SIGERSON
HARRIS, FELDMAN LAW OFFICES|99CON04563|03/12/2002|99CAC00207|03/04/2002|250|6330203|MIKE JOHANNS FOR GOVERNOR
HEP, INC|99CON04581|05/11/2001|99BQC00064|04/25/2001|350|6180063|LINCOLN LIAISON COMMITTEE (DISSOLVED 2001)
HEP, INC|99CON04581|05/20/2003|99BQC00064|04/09/2003|400|6620026|LINCOLN LIAISON COMMITTEE (DISSOLVED 2001)
LAFAYETTE FINANCE CO, LLC|99CON04610|09/10/2002|99CAC00581|08/20/2002|500|6430234|STORMY FOR GOVERNOR CAMPAIGN COMMITTEE
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|06/18/2001|99CAC00558|03/22/2001|500|6200038|PILLER FOR OMAHA CITY COUNCIL
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|06/19/2001|99CAC00552|05/07/2001|1000|6200040|CITIZENS FOR GERNANDT
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|06/19/2001|99CAC00251|05/07/2001|1000|6200040|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|06/22/2001|99CAC00224|04/18/2001|500|6200041|MARC KRAFT ELECTION COMMITTEE
WEST CORPORATION|99CON04633|06/07/2001|99CAC00526|05/31/2001|500|6190159|FRANKLIN THOMPSON FOR CITY COUNCIL COMMITTEE
WEST CORPORATION|99CON04633|06/07/2001|99CAC00547|04/25/2001|500|6190159|THE COMMITTEE TO ELECT CHUCK SIGERSON
WEST CORPORATION|99CON04633|06/07/2001|99CAC00455|04/25/2001|1000|6190159|WINSTROM FOR CITY COUNCIL
WEST CORPORATION|99CON04633|04/05/2002|99CAC00152|01/10/2001|250|6370040|BRUNING FOR LEGISLATURE
WEST CORPORATION|99CON04633|04/05/2002|99CAC00442|12/28/2001|5000|6370040|MICHAEL G. FAHEY FOR MAYOR
WEST CORPORATION|99CON04633|06/04/2002|99CAC00152|05/30/2002|1000|6410101|BRUNING FOR LEGISLATURE
WEST CORPORATION|99CON04633|09/03/2002|99PAC00092|08/29/2002|10000|6430209|NEBRASKA-PAC
WEST CORPORATION|99CON04633|04/28/2003|99CAC00109|04/24/2003|500|6610144|WESTERN NEBRASKA FOR ADRIAN SMITH
WEST CORPORATION|99CON04633|09/28/2004|99PPC00002|09/23/2004|5000|6850040|NE REPUBLICAN PARTY
WEST CORPORATION|99CON04633|12/27/2004|99CAC00548|12/22/2004|500|6890059|DAN WELCH FOR CITY COUNCIL
HI-WAY BARRICADES, INC.|99CON04634|06/08/2001|99CAC00547|03/06/2001|1000|6190139|THE COMMITTEE TO ELECT CHUCK SIGERSON
TICKET EXPRESS|99CON04636|06/15/2001|99CAC00544|03/23/2001|300|6190247|COMMITTEE TO ELECT JIM VOKAL
MARATHON REALTY GROUP|99CON04692|06/01/2001|99CAC00251|04/10/2001|300|6190055|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
MARATHON REALTY GROUP|99CON04692|06/01/2001|99CAC00442|04/10/2001|300|6190055|MICHAEL G. FAHEY FOR MAYOR
T.L.K. AIR CARE, INC.|99CON04695|05/30/2001|99CAC00251|03/15/2001|250|6190066|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
T.L.K. AIR CARE, INC.|99CON04695|05/30/2001|99CAC00251|04/10/2001|500|6190066|FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)
H & R CONSTRUCTION COMPANY, IN|99CON04743|06/07/2001|99CAC00442|04/18/2001|250|6190135|MICHAEL G. FAHEY FOR MAYOR
MCKENNA'S, INC.|99CON04746|05/23/2002|99CAC00442|04/01/2001|250|6410028|MICHAEL G. FAHEY FOR MAYOR
MCKENNA'S, INC.|99CON04746|05/23/2002|99CAC00442|04/01/2001|250|6410028|MICHAEL G. FAHEY FOR MAYOR
MCKENNA'S, INC.|99CON04746|05/23/2002|99CAC00442|05/01/2001|500|6410028|MICHAEL G. FAHEY FOR MAYOR
EDM CORPORATION|99CON04751|07/16/2001|99CAC00275|05/02/2001|999|6200249|CITIZENS FOR KONECK
EDM CORPORATION|99CON04751|07/16/2001|99CAC00275|03/19/2001|250|6200249|CITIZENS FOR KONECK
EDM CORPORATION|99CON04751|07/16/2001|99CAC00331|03/28/2001|250|6200249|CITIZENS FOR SHOECRAFT
EDM CORPORATION|99CON04751|07/16/2001|99CAC00151|03/19/2001|250|6200249|FRANK BROWN FOR CITY COUNCIL
EDM CORPORATION|99CON04751|07/16/2001|99CAC00314|03/19/2001|250|6200249|HERD FOR CITY COUNCIL (NOW CLIFF HERD FOR CITY)
EDM CORPORATION|99CON04751|07/16/2001|99CAC00314|05/03/2001|500|6200249|HERD FOR CITY COUNCIL (NOW CLIFF HERD FOR CITY)
EDM CORPORATION|99CON04751|07/16/2001|99CAC00278|03/19/2001|250|6200249|LORMONG LO COMMITTEE
EDM CORPORATION|99CON04751|07/16/2001|99CAC00224|03/19/2001|250|6200249|MARC KRAFT ELECTION COMMITTEE
EDM CORPORATION|99CON04751|07/16/2001|99CAC00224|05/03/2001|500|6200249|MARC KRAFT ELECTION COMMITTEE
MILL LAND, INC.|99CON04767|07/30/2003|99PAC00092|08/27/2002|500|6630142|NEBRASKA-PAC
MILL LAND, INC.|99CON04767|03/30/2004|99CAC00547|11/21/2003|500|6770026|THE COMMITTEE TO ELECT CHUCK SIGERSON
OMAHA TITLE & ESCROW, INC.|99CON04768|06/25/2004|99CAC00439|06/23/2004|500|6820129|DIANE BATTIATO FOR REGISTER OF DEEDS
OMAHA TITLE & ESCROW, INC.|99CON04768|07/30/2004|99CAC00439|07/29/2004|250|6830111|DIANE BATTIATO FOR REGISTER OF DEEDS
WILLOW DRIVE, LLC|99CON04773|09/07/2001|99CAC00442|05/09/2001|5000|6210140|MICHAEL G. FAHEY FOR MAYOR
SCHMIDT TRANSPORTATION, INC.|99CON04784|10/09/2001|99CAC00442|05/01/2001|1000|6220006|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|06/06/2001|99CAC00442|05/09/2001|1000|6190157|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|03/21/2002|99CAC00207|03/04/2002|2500|6340212|MIKE JOHANNS FOR GOVERNOR
TENET HEALTHCARE|99CON04790|06/13/2002|99CAC00032|05/03/2002|250|6410146|MARY ANN BORGESON FOR COUNTY BOARD
TENET HEALTHCARE|99CON04790|11/12/2002|99CAC00620|10/13/2002|500|6470148|ANNE MCGUIRE FOR OPPD
TENET HEALTHCARE|99CON04790|03/13/2003|99CAC00442|01/29/2002|1000|6540165|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|05/02/2003|99CAC00442|04/30/2003|1000|6610142|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|07/09/2003|99CAC00544|06/30/2003|500|6630091|COMMITTEE TO ELECT JIM VOKAL
TENET HEALTHCARE|99CON04790|07/10/2003|99CAC00442|07/07/2003|1000|6630090|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|03/10/2004|99PPC00023|02/02/2004|500|6720007|DOUGLAS COUNTY DEMOCRATIC PARTY
TENET HEALTHCARE|99CON04790|03/10/2004|99PPC00003|02/02/2004|650|6720007|NE DEMOCRATIC PARTY
TENET HEALTHCARE|99CON04790|06/10/2004|99PPC00002|05/07/2004|650|6810113|NE REPUBLICAN PARTY
TENET HEALTHCARE|99CON04790|08/19/2004|99CAC00663|08/02/2004|250|6830242|FRIENDS FOR ABBIE CORNETT
TENET HEALTHCARE|99CON04790|08/19/2004|99CAC00662|08/02/2004|1000|6830242|HOWARD FOR LEGISLATURE
TENET HEALTHCARE|99CON04790|08/19/2004|99CAC00442|08/17/2004|5000|6830242|MICHAEL G. FAHEY FOR MAYOR
TENET HEALTHCARE|99CON04790|08/19/2004|99CAC00104|08/02/2004|250|6830242|STEVE SCHERR FOR LEGISLATURE
TENET HEALTHCARE|99CON04790|12/27/2004|99CAC00544|11/04/2004|500|6890056|COMMITTEE TO ELECT JIM VOKAL
NEBRASKA BEEF LTD|99CON04797|08/05/2004|99CAC00335|04/30/2004|1500|6830156|TAKECHI FOR REGISTER OF DEEDS
THOMPSON REALTY GROUP|99CON04809|08/20/2002|99CAC00006|02/27/2001|500|6430138|CITIZENS FOR WESELY
THOMPSON REALTY GROUP|99CON04809|02/11/2003|99CAC00542|01/29/2003|250|6510095|FRIENDT FOR OUR FUTURE
CATERPILLAR EMPLOYEES PAC|99CON04824|07/09/2001|99CAC00152|06/11/2001|1000|6200203|BRUNING FOR LEGISLATURE
DINSMORE, RICHARD J., PC|99CON04878|04/11/2003|99CAC00442|02/08/2003|2000|6600200|MICHAEL G. FAHEY FOR MAYOR
HOME REAL ESTATE SERVICES OF LINCOLN, INC.|99CON04932|05/29/2002|99CAC00006|03/09/2001|500|6410055|CITIZENS FOR WESELY
HOME REAL ESTATE (PINE LAKE)|99CON04935|07/29/2002|99CAC00018|05/09/2002|500|6430051|AGENA FOR ASSESSOR
SIGN PRO|99CON04940|05/09/2003|99CAC00542|05/09/2003|250|6610192|FRIENDT FOR OUR FUTURE
777, INC DBA CLANCY'S PUBS|99CON04953|05/14/2002|99CAC00032|05/13/2002|250|6400230|MARY ANN BORGESON FOR COUNTY BOARD
INDUSTRIAL- IRRIGATION SERVICE|99CON04966|10/09/2001|99BQC00067|08/29/2001|500|6210248|CITIZENS FOR FUTURE SCHOOL INVESTMENT
CITY NATIONAL BANK & TRUST|99CON04968|11/26/2001|99BQC00067|09/01/2001|500|6220113|CITIZENS FOR FUTURE SCHOOL INVESTMENT
MILLER-MONROE|99CON05071|03/07/2002|99CAC00562|07/01/2001|1000|6320148|BRUNING FOR ATTORNEY GENERAL
LIBERTY PROPERTY MANAGEMENT CO|99CON05086|03/18/2002|99CAC00562|10/31/2001|500|6340203|BRUNING FOR ATTORNEY GENERAL
SIMON PROPERTY GROUP|99CON05158|03/14/2002|99CAC00568|10/24/2001|1000|6330215|TAXPAYERS FOR MILLS
DELTA FUTURES GROUP|99CON05175|02/14/2002|99CAC00205|11/28/2001|544.72|6280174|JIM JENSEN FOR LEGISLATURE
MADSEN'S BOWLING & BILLIARDS|99CON05214|03/15/2002|99BQC00070|01/01/2002|300|6330206|HELP COM
V.V.S INC|99CON05216|03/18/2002|99BQC00070|01/15/2002|500|6340213|HELP COM
V.V.S INC|99CON05216|05/22/2002|99BQC00069|05/17/2002|15000|6410032|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|06/17/2002|99BQC00069|06/14/2002|5000|6410232|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|07/15/2002|99BQC00069|07/11/2002|10000|6420239|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|08/08/2002|99BQC00069|08/02/2002|15000|6430093|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|08/22/2002|99BQC00069|08/19/2002|10000|6430139|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|09/03/2002|99BQC00069|08/29/2002|65000|6430207|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|09/03/2002|99BQC00069|10/31/2002|-46882.09|6430207|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
V.V.S INC|99CON05216|01/12/2004|99BQC00090|01/02/2004|20000|6650213|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
V.V.S INC|99CON05216|04/15/2004|99BQC00090|04/12/2004|20000|6780161|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|04/05/1994|99CAC00158|03/03/1993|24.99|4210204|CITIZENS FOR LINDSAY
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|04/05/1994|99CAC00236|03/02/1994|100|4210204|SCOTT MOORE COMMITTEE
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|04/05/1994|99CAC00304|03/14/1994|100|4210204|FRIENDS OF FLOYD VRTISKA
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|07/07/1994|99CAC00290|06/02/1994|100|4300033|BEN NELSON FOR GOVERNOR
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|07/07/1994|99CAC00345|06/08/1994|100|4300033|RON WITHEM FOR LEGISLATURE COMMITTEE
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|08/11/1994|99CAC00312|07/19/1994|100|4310026|CHUCK HASSEBROOK FOR REGENT
O'HARA, LINDSAY & ASSOCIATES, INC.|99CUA00069|09/02/1994|99CAC00236|08/04/1994|50|4310159|SCOTT MOORE COMMITTEE
V.V.S INC|99CON05216|05/24/2004|99BQC00090|05/18/2004|10000|6800238|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
V.V.S INC|99CON05216|07/28/2004|99BQC00090|07/23/2004|20000|6830115|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
V.V.S INC|99CON05216|08/30/2004|99BQC00090|08/26/2004|30000|6840068|KEEP THE MONEY IN NEBRASKA COMMITTEE, INC
V.V.S INC|99CON05216|09/16/2004|99BQC00098|09/14/2004|1000|6840181|CITIZENS AGAINST A TOTAL BAN
V.V.S INC|99CON05216|11/22/2004|99BQC00098|10/08/2004|550|6880119|CITIZENS AGAINST A TOTAL BAN
AGROMAC INTERNATIONAL, INC.|99CON05480|02/22/2002|99CAC00207|12/15/2001|250|6290086|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY PAC|99CON05483|09/03/2002|99CAC00207|08/07/2002|2500|6430193|MIKE JOHANNS FOR GOVERNOR
PAYPAL, INC.|99CON05494|02/28/2002|99CAC00207|04/30/2002|2000|6300197|MIKE JOHANNS FOR GOVERNOR
TUTTLE, INC.|99CON05503|02/15/2002|99CAC00207|10/24/2001|500|6280188|MIKE JOHANNS FOR GOVERNOR
ENGINEERING AUTOMATION & DESIG|99CON05516|01/03/2003|99PPC00024|11/24/2002|300|6480084|DOUGLAS COUNTY REPUBLICAN PARTY
ENGINEERING AUTOMATION & DESIG|99CON05516|05/27/2003|99PPC00024|05/15/2003|280|6620087|DOUGLAS COUNTY REPUBLICAN PARTY
ENGINEERING AUTOMATION & DESIG|99CON05516|07/21/2004|99PPC00024|06/30/2004|1280|6830063|DOUGLAS COUNTY REPUBLICAN PARTY
ENGINEERING AUTOMATION & DESIG|99CON05516|08/02/2004|99PPC00024|07/29/2004|1100|6830146|DOUGLAS COUNTY REPUBLICAN PARTY
DELLAMAN INC|99CON05559|02/27/2002|99CAC00311|09/07/2001|400|0      |HARTNETT FOR LEGISLATURE
UNIVERSITY OF NEBRASKA FOUNDATION|99CON05571|12/14/2004|99PPC00002|07/30/2004|780|6880235|NE REPUBLICAN PARTY
RISKY'S INC|99CON05593|04/19/2002|99BQC00070|02/25/2002|300|6380214|HELP COM
B & B - Q, INC.|99CON05595|04/22/2002|99BQC00070|02/20/2002|300|6390028|HELP COM
HERITAGE BANK|99CON05603|04/16/2002|99BQC00071|01/08/2002|300|6380211|CITIZENS FOR PASS PROGRESS OF AURORA SCHOOL SYSTEM
DURANTE ASSOCIATES, INC|99CON05657|04/16/2002|99CAC00207|03/12/2002|1000|6380210|MIKE JOHANNS FOR GOVERNOR
KREYCIK RIVER VIEW|99CON05662|12/30/2002|99CAC00195|04/02/2002|500|6480088|DIERKS FOR LEGISLATURE (2002)
FREEMAN COMPANY, INC|99CON05720|06/12/2002|99PPC00043|01/23/2002|350|6410133|SARPY COUNTY REPUBLICAN PARTY
AVAYA INC|99CON05739|06/12/2002|99PPC00023|02/02/2002|700|6410131|DOUGLAS COUNTY DEMOCRATIC PARTY
TYRO FARMS INC|99CON05742|05/17/2002|99CAC00032|03/29/2002|500|6400249|MARY ANN BORGESON FOR COUNTY BOARD
SCOTTSBLUFF POLICE OFFICERS ASSN|99CON05808|05/13/2002|99CAC00238|03/15/2002|500|6400246|ALEX MORENO FOR SHERIFF
CHEEMA CAPITAL LLC DBA TEXACO / LIQUOR MART|99CON05809|05/13/2002|99CAC00238|03/20/2002|250|6400234|ALEX MORENO FOR SHERIFF
CHEEMA CAPITAL LLC DBA TEXACO / LIQUOR MART|99CON05809|05/13/2002|99CAC00231|03/22/2002|100|6400234|JIM K. LAWSON FOR SHERIFF
SCOTTSBLUFF COUNTY FOP LODGE|99CON05811|05/10/2002|99CAC00238|04/08/2002|395|6400170|ALEX MORENO FOR SHERIFF
KEEP IT IN NEBRASKA INC|99CON05821|04/30/2002|99BQC00069|04/24/2002|30000|6390182|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
KEEP IT IN NEBRASKA INC|99CON05821|06/28/2002|99BQC00069|06/12/2002|7500|6420130|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
KEEP IT IN NEBRASKA INC|99CON05821|06/28/2002|99BQC00069|06/25/2002|7500|6420130|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
KEEP IT IN NEBRASKA INC|99CON05821|08/21/2002|99BQC00069|08/06/2002|10000|6430133|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
KEEP IT IN NEBRASKA INC|99CON05821|05/05/2003|99BQC00069|01/15/2002|11738.32|6610184|NEBRASKANS FOR LOCAL CONTROL(DISSOLVED)
NE ELK BREEDERS ASSOC.|99CON05834|05/13/2002|99CAC00195|04/09/2002|500|0      |DIERKS FOR LEGISLATURE (2002)
B & R LEASING INC|99CON05860|07/16/2002|99CAC00582|04/15/2002|500|6420226|HOWARD HAWKS FOR REGENT
PEARSON PROPERTIES|99CON05861|08/19/2002|99CAC00582|04/24/2002|500|6430137|HOWARD HAWKS FOR REGENT
J & D INC|99CON05862|10/07/2002|99CAC00589|07/01/2002|250|6450028|ROBIN HENDRICKSEN FOR COUNTY ASSESSOR
J & D INC|99CON05862|10/07/2002|99CAC00589|08/16/2002|250|6450028|ROBIN HENDRICKSEN FOR COUNTY ASSESSOR
J & D INC|99CON05862|10/07/2002|99CAC00589|09/25/2002|250|6450028|ROBIN HENDRICKSEN FOR COUNTY ASSESSOR
SAMSON LAW OFFICE PC, LLO|99CON06006|11/04/2002|99CAC00565|05/31/2002|200|6470098|MINES FOR LEGISLATURE
TYSON FOODS, INC|99CON06054|06/27/2002|99CAC00207|06/11/2002|5000|6420137|MIKE JOHANNS FOR GOVERNOR
RAASCH APPRAISAL & CONSULTING|99CON06059|10/03/2002|99CAC00018|10/03/2002|500|6440114|AGENA FOR ASSESSOR
RICHDALE MANAGEMENT, INC|99CON06100|01/09/2003|99CAC00072|05/07/2002|500|6480236|ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR
GROSS SEED COMPANY INC|99CON06131|12/01/2004|99CAC00648|10/13/2004|250|6880136|FISCHER FOR LEGISLATURE
NORFOLK AREA CHAMBER OF COMMERCE|99CON06139|10/09/2002|99BQC00075|09/30/2002|1000|6450041|CITIZENS FOR PROPERTY TAX RELIEF, FIRE & POLICE
GRATTON WAREHOUSE|99CON06198|01/06/2003|99CAC00568|06/01/2002|500|6480220|TAXPAYERS FOR MILLS
3-D EQUITIES, INC.|99CON06201|01/09/2003|99CAC00568|07/11/2002|500|6480214|TAXPAYERS FOR MILLS
MODERN ELECTRONICS, INC.|99CON06203|01/29/2003|99CAC00568|07/19/2002|500|6500186|TAXPAYERS FOR MILLS
PENNY CANDY FABRICATION|99CON06241|12/09/2002|99CAC00598|06/18/2002|250|6470232|IMES FOR EDUCATION
PENNY CANDY FABRICATION|99CON06241|12/09/2002|99CAC00598|09/11/2002|100|6470232|IMES FOR EDUCATION
CONCORD ENTERPRISES|99CON06291|10/25/2002|99CAC00207|09/16/2002|1000|6450238|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY|99CON06293|11/08/2002|99CAC00207|10/10/2002|1000|6470072|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY|99CON06293|08/07/2003|99CAC00562|07/15/2003|1000|6630163|BRUNING FOR ATTORNEY GENERAL
ELI LILLY & COMPANY|99CON06293|12/04/2003|99CAC00562|12/01/2003|500|6640139|BRUNING FOR ATTORNEY GENERAL
ELI LILLY & COMPANY|99CON06293|12/04/2003|99CAC00207|12/01/2003|500|6640139|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY|99CON06293|02/09/2004|99CAC00562|07/08/2003|1000|6680131|BRUNING FOR ATTORNEY GENERAL
ELI LILLY & COMPANY|99CON06293|02/09/2004|99CAC00562|11/13/2003|500|6680131|BRUNING FOR ATTORNEY GENERAL
ELI LILLY & COMPANY|99CON06293|02/09/2004|99CAC00207|11/13/2003|500|6680131|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY|99CON06293|07/09/2004|99CAC00207|06/23/2004|1000|6820206|MIKE JOHANNS FOR GOVERNOR
ELI LILLY & COMPANY|99CON06293|11/05/2004|99PPC00002|10/15/2004|2500|6870209|NE REPUBLICAN PARTY
HERITAGE ADMINISTRATIVE CO., I|99CON06295|10/25/2002|99CAC00207|09/23/2002|250|6450248|MIKE JOHANNS FOR GOVERNOR
HERITAGE ADMINISTRATIVE CO., I|99CON06295|10/25/2002|99CAC00207|10/01/2002|250|6450248|MIKE JOHANNS FOR GOVERNOR
