Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|PAC Name
DELOITTE TOUCHE|99CON01871|04/12/2001|KAREN   |04/05/2001|04/04/2001|6150187|C|          ||
CHUBB\'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|10/13/2004|CORIEJ  |10/08/2004|10/07/2004|6850184|C|          ||
CHUBB\'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|11/01/2004|CORIEJ  |10/29/2004|10/28/2004|6870091|C|          ||
SPRINT|99CON02331|03/02/2001|KAREN   |01/12/2001|01/11/2001|0      |C|          ||
SPRINT|99CON02331|03/04/2002|TERII   |02/27/2002|02/26/2002|6300199|C|          ||
SPRINT|99CON02331|04/15/2002|TERII   |04/09/2002|04/08/2002|6380001|C|          ||
PUBLICATION PRINTING OF NE, IN|99CON02366|06/07/2004|CHERYLD |06/03/2004|06/02/2004|6810057|C|          ||
UNEMED CORPORATION|99CON02473|10/02/2000|KAREN   |09/28/2000|09/26/2000|5980013|C|          ||
BURKES LIST MANAGEMENT SVCS|99CON02476|10/06/2003|PATTIEV |10/03/2003|10/02/2003|6640013|C|          ||
BRASHEAR & GINN|99CON02503|02/08/2007|nadc06|06/08/2001|06/07/2001|6190123|C|          ||
KINDER-MORGAN|99CON02687|12/19/2000|KAREN   |12/15/2000|12/15/2000|6010234|C|          ||
KINDER-MORGAN|99CON02687|10/23/2001|TERII   |10/18/2001|10/14/2001|6220019|C|          ||
KINDER-MORGAN|99CON02687|11/05/2001|TERII   |11/01/2001|10/30/2001|6220053|C|          ||
KINDER-MORGAN|99CON02687|06/28/2002|TERII   |06/26/2002|06/24/2002|6420132|C|          ||
KINDER-MORGAN|99CON02687|05/24/2004|CHERYLD |05/17/2004|05/14/2004|6800151|C|          ||
FREMONT AREA SERVICE CLUB|99CON02741|10/02/2000|KAREN   |09/26/2000|09/15/2000|5980002|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|02/25/2004|PATTIEV |01/29/2004|01/28/2004|6670051|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|08/16/2004|SERENAD |08/09/2004|08/06/2004|6830188|C|          ||
CORPORATE EXPRESS|99CON02771|12/19/2000|KAREN   |12/15/2000|12/14/2000|6010224|C|          ||
CYTOGENETICS|99CON02792|12/19/2000|KAREN   |12/15/2000|12/14/2000|6010226|C|          ||
THOMAS INVESTMENT CO, INC.|99CON02821|11/15/2000|KAREN   |10/30/2000|10/27/2000|6000212|C|          ||
FIRST CHRISTIAN CHURCH|99CON02862|01/05/2001|KAREN   |12/26/2000|12/22/2000|6020058|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|10/30/2000|KAREN   |10/25/2000|10/24/2000|5990177|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|11/20/2000|KAREN   |11/14/2000|11/13/2000|6010108|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|10/08/2004|DAVIDH  |09/10/2004|09/10/2004|6840099|C|          ||
LINCOLN ORTHOPEDIC & SPORTS ME|99CON02883|11/15/2000|KAREN   |11/09/2000|11/08/2000|6010052|C|          ||
SEXTRO-LARSON PODIATRY, PC|99CON02923|11/15/2000|KAREN   |10/30/2000|10/26/2000|6000209|C|          ||
LAMAR COMPANIES, THE|99CON02924|02/24/2005|SERENAD |02/03/2005|02/02/2005|6920111|C|          ||
BEN FRANKLIN OF HASTINGS, INC|99CON02933|12/27/2000|KAREN   |12/21/2000|12/21/2000|6020017|C|          ||
SHERRY\'S HALLMARK, INC|99CON02934|12/27/2000|KAREN   |12/21/2000|12/21/2000|6020030|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|10/21/2002|SERENAD |10/18/2002|10/16/2002|6450107|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|04/21/2003|SERENAD |04/18/2003|04/16/2003|6610011|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|07/14/2003|PATTIEV |07/11/2003|07/09/2003|6630093|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|07/02/2004|DAVIDH  |05/10/2004|05/07/2004|6800116|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|06/07/2004|CHERYLD |06/04/2004|06/02/2004|6810060|C|          ||
CHRIST\'S PLACE|99CON03516|02/05/2001|KAREN   |01/04/2001|01/03/2001|6020128|C|          ||
KING OF KINGS LUTHERAN CHURCH|99CON03517|12/27/2000|KAREN   |12/22/2000|12/21/2000|6020025|C|          ||
BURWELL BAPTIST CHURCH|99CON03518|01/05/2001|KAREN   |12/27/2000|12/26/2000|6020056|C|          ||
LANCASTER CNTY MEDICAL SOCIETY|99CON03524|06/11/2001|PATTIEV |06/08/2001|06/07/2001|6190143|C|          ||
LINCOLN AESTHETIC & RECONSTRUC|99CON03525|07/02/2001|TERII   |06/27/2001|06/26/2001|6200108|C|          ||
LINCOLN FAMILY WELLNESS, P.C.|99CON03526|06/18/2001|PATTIEV |06/14/2001|06/13/2001|6190237|C|          ||
IMPERIAL COURT OF NE, INC|99CON03600|04/02/2001|PATTIEV |03/22/2001|03/21/2001|6100245|C|          ||
SOUTHWEST STUFF|99CON03603|11/15/2000|KAREN   |10/31/2000|10/30/2000|6000210|C|          ||
ASSOC. OF NE COMMUNITY ACTION|99CON03608|02/05/2001|KAREN   |01/12/2001|01/12/2001|6030014|C|          ||
METRO COMMUNITY COLLEGE EDU.|99CON03648|12/19/2000|KAREN   |12/14/2000|12/14/2000|6010235|C|          ||
NORFOLK DAILY NEWS|99CON03651|10/08/2002|TERII   |10/04/2002|10/03/2002|6440110|C|          ||
CATHOLIC BISHOP OF LINCOLN, THE|99CON03674|11/20/2000|KAREN   |11/14/2000|11/10/2000|6010127|C|          ||
CONGREGATION OF TEMPLE ISRAEL|99CON03840|02/16/2001|KAREN   |01/29/2001|01/26/2001|6040241|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|03/23/2001|KAREN   |03/13/2001|03/12/2001|6090036|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|03/30/2005|nadc03|02/14/2005|02/10/2005|6930072|C|          ||
WERNER FAMILY BUSINESS, INC.|99CON04057|02/22/2001|KAREN   |02/06/2001|02/05/2001|6050073|C|          ||
BELLEVUE KENO, INC.|99CON04070|03/21/2001|KAREN   |02/27/2001|02/26/2001|6060057|C|          ||
SUBBY ANZALDO ENTERTAINMENT|99CON04207|03/22/2001|KAREN   |03/09/2001|03/08/2001|6070185|C|          ||
WEITZ COMPANY, INC, THE|99CON04208|03/22/2001|KAREN   |03/09/2001|03/08/2001|6070188|C|          ||
HALLMARQ CONSTRUCTION, INC.|99CON04238|03/21/2001|KAREN   |02/28/2001|02/27/2001|6060067|C|          ||
MTAC, INC.|99CON04243|03/21/2001|KAREN   |03/01/2001|02/27/2001|6060076|C|          ||
MTAC, INC.|99CON04243|03/23/2001|KAREN   |03/12/2001|03/09/2001|6090027|C|          ||
MTAC, INC.|99CON04243|06/04/2001|SERENAD |05/30/2001|05/29/2001|6190054|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|05/29/2001|SERENAD |05/23/2001|05/22/2001|6190005|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|07/16/2001|TERII   |07/09/2001|07/06/2001|6200211|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|02/11/2002|TERII   |02/04/2002|02/01/2002|6270230|C|          ||
DICON CORPORATION|99CON04335|07/02/2001|TERII   |06/25/2001|06/22/2001|6200104|C|          ||
DICON CORPORATION|99CON04335|11/01/2004|CORIEJ  |10/25/2004|10/22/2004|6870095|C|          ||
|99CON04348|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090002|C|          ||
MASON VIDEO|99CON04350|10/23/2001|TERII   |10/15/2001|10/12/2001|6220021|C|          ||
B.W.S. LEASING, INC.|99CON04351|03/23/2001|KAREN   |03/12/2001|03/08/2001|6090009|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090006|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|06/14/2004|CHERYLD |06/10/2004|06/09/2004|6810099|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|06/14/2004|CHERYLD |06/11/2004|06/09/2004|6810100|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|07/12/2004|SERENAD |07/06/2004|07/01/2004|6820205|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|10/13/2004|CORIEJ  |10/04/2004|09/30/2004|6850181|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|12/13/2004|SERENAD |12/09/2004|12/08/2004|6880170|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|01/18/2005|CORIEJ  |01/11/2005|01/10/2005|6900160|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|02/24/2005|CORIEJ  |02/09/2005|02/07/2005|6920226|C|          ||
CURT HOFER CONSTRUCTION|99CON04355|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090022|C|          ||
CURT HOFER CONSTRUCTION|99CON04355|02/23/2005|CORIEJ  |01/19/2005|01/14/2005|6910039|C|          ||
UMB FINANCIAL CORPORATION PAC|99CON04359|03/22/2001|KAREN   |03/05/2001|03/01/2001|6070189|C|          ||
SPARKLING KLEAN SERVICE|99CON04364|03/23/2001|KAREN   |03/13/2001|03/12/2001|6090040|C|          ||
WAITT OUTDOOR ADVERTISING|99CON04372|12/12/2003|SERENAD |12/03/2003|12/02/2003|6640158|C|          ||
ROBERT MILLER PROPERTIES|99CON04387|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090028|C|          ||
DIVERSIFIED PROPERTY RESOURCES|99CON04396|03/23/2001|KAREN   |03/15/2001|03/14/2001|6090015|C|          ||
KUBAT PHARMACY|99CON04401|02/24/2005|CORIEJ  |02/09/2005|02/07/2005|6920243|C|          ||
KELLEY &  LEHAN PC|99CUA00067|11/22/1999|KIMH    |11/15/1999|11/11/1999|5760214|C|          ||
GOTHENBURG EDUCATION ASSOCIATI|99CON04424|04/06/2001|KAREN   |03/28/2001|03/26/2001|6130163|C|          ||
PAYROLL MAXX, LLC|99CON04459|04/19/2001|SERENAD |04/10/2001|04/09/2001|6160067|C|          ||
PAYROLL MAXX, LLC|99CON04459|01/14/2004|CHERYLD |01/09/2004|01/08/2004|6650082|C|          ||
PAYROLL MAXX, LLC|99CON04459|09/13/2004|CORIEJ  |09/10/2004|09/09/2004|6840130|C|          ||
PAYROLL MAXX, LLC|99CON04459|11/15/2004|SERENAD |11/10/2004|11/09/2004|6880058|C|          ||
PAYROLL MAXX, LLC|99CON04459|12/13/2004|SERENAD |12/08/2004|12/07/2004|6880191|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|09/04/2001|TERII   |08/29/2001|08/28/2001|6210104|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|03/18/2002|TERII   |03/13/2002|03/12/2002|6330196|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|03/03/2003|SERENAD |02/24/2003|02/21/2003|6520026|C|          ||
BUILD AND LEASE, INC.|99CON04514|04/06/2001|KAREN   |03/29/2001|03/28/2001|6130154|C|          ||
D & S REALTY INC|99CON04516|04/12/2001|KAREN   |04/02/2001|04/02/2001|6150186|C|          ||
ENVIRONMENT PROFESSIONALS, INC|99CON04517|04/06/2001|KAREN   |03/29/2001|03/28/2001|6130160|C|          ||
MICRO BYTES, INC.|99CON04519|04/06/2001|KAREN   |03/30/2001|03/29/2001|6130169|C|          ||
SPECTRACOM, INC.|99CON04524|04/12/2001|KAREN   |04/02/2001|03/31/2001|6150212|C|          ||
SPECTRACOM, INC.|99CON04524|03/31/2003|SERENAD |03/27/2003|03/26/2003|6580033|C|          ||
SPECTRACOM, INC.|99CON04524|08/04/2003|SERENAD |07/29/2003|07/28/2003|6630146|C|          ||
WBE COMPANY INC.|99CON04556|09/04/2001|TERII   |08/28/2001|08/27/2001|6210108|C|          ||
WBE COMPANY INC.|99CON04556|06/24/2002|TERII   |06/17/2002|06/15/2002|6410234|C|          ||
WBE COMPANY INC.|99CON04556|06/01/2004|CHERYLD |05/24/2004|05/21/2004|6800240|C|          ||
HARRIS, FELDMAN LAW OFFICES|99CON04563|03/18/2002|TERII   |03/12/2002|03/08/2002|6330203|C|          ||
HEP, INC|99CON04581|05/14/2001|SERENAD |05/11/2001|05/10/2001|6180063|C|          ||
HEP, INC|99CON04581|05/27/2003|SERENAD |05/20/2003|05/19/2003|6620026|C|          ||
LAFAYETTE FINANCE CO, LLC|99CON04610|11/08/2002|PATTIEV |09/10/2002|09/09/2002|6430234|C|          ||
WILLOW CREEK FARMS DBA MICHAEL\'S|99CON04629|06/25/2001|PATTIEV |06/18/2001|06/18/2001|6200038|C|          ||
WILLOW CREEK FARMS DBA MICHAEL\'S|99CON04629|06/25/2001|PATTIEV |06/19/2001|06/18/2001|6200040|C|          ||
WILLOW CREEK FARMS DBA MICHAEL\'S|99CON04629|06/25/2001|PATTIEV |06/22/2001|06/21/2001|6200041|C|          ||
WEST CORPORATION|99CON04633|06/11/2001|PATTIEV |06/07/2001|06/06/2001|6190159|C|          ||
WEST CORPORATION|99CON04633|04/08/2002|TERII   |04/05/2002|04/04/2002|6370040|C|          ||
WEST CORPORATION|99CON04633|06/10/2002|TERII   |06/04/2002|06/03/2002|6410101|C|          ||
WEST CORPORATION|99CON04633|12/03/2002|SERENAD |09/03/2002|08/30/2002|6430209|C|          ||
WEST CORPORATION|99CON04633|05/05/2003|SERENAD |04/28/2003|04/25/2003|6610144|C|          ||
WEST CORPORATION|99CON04633|10/06/2004|SERENAD |09/28/2004|09/27/2004|6850040|C|          ||
WEST CORPORATION|99CON04633|01/03/2005|SERENAD |12/27/2004|12/26/2004|6890059|C|          ||
HI-WAY BARRICADES, INC.|99CON04634|06/11/2001|PATTIEV |06/08/2001|06/07/2001|6190139|C|          ||
TICKET EXPRESS|99CON04636|06/18/2001|PATTIEV |06/15/2001|06/15/2001|6190247|C|          ||
MARATHON REALTY GROUP|99CON04692|06/04/2001|SERENAD |06/01/2001|05/30/2001|6190055|C|          ||
T.L.K. AIR CARE, INC.|99CON04695|06/04/2001|SERENAD |05/30/2001|05/29/2001|6190066|C|          ||
H & R CONSTRUCTION COMPANY, IN|99CON04743|06/11/2001|PATTIEV |06/07/2001|06/06/2001|6190135|C|          ||
MCKENNA\'S, INC.|99CON04746|05/28/2002|TERII   |05/23/2002|05/22/2002|6410028|C|          ||
EDM CORPORATION|99CON04751|07/23/2001|TERII   |07/16/2001|07/13/2001|6200249|C|          ||
MILL LAND, INC.|99CON04767|08/04/2003|SERENAD |07/30/2003|07/29/2003|6630142|C|          ||
MILL LAND, INC.|99CON04767|04/06/2004|SERENAD |03/30/2004|03/29/2004|6770026|C|          ||
OMAHA TITLE & ESCROW, INC.|99CON04768|06/28/2004|CHERYLD |06/25/2004|06/24/2004|6820129|C|          ||
OMAHA TITLE & ESCROW, INC.|99CON04768|08/02/2004|SERENAD |07/30/2004|07/26/2004|6830111|C|          ||
WILLOW DRIVE, LLC|99CON04773|09/10/2001|TERII   |09/07/2001|09/06/2001|6210140|C|          ||
SCHMIDT TRANSPORTATION, INC.|99CON04784|10/15/2001|TERII   |10/09/2001|10/05/2001|6220006|C|          ||
TENET HEALTHCARE|99CON04790|06/11/2001|PATTIEV |06/06/2001|06/06/2001|6190157|C|          ||
TENET HEALTHCARE|99CON04790|03/25/2002|TERII   |03/21/2002|03/19/2002|6340212|C|          ||
TENET HEALTHCARE|99CON04790|06/14/2002|TERII   |06/13/2002|06/12/2002|6410146|C|          ||
TENET HEALTHCARE|99CON04790|11/18/2002|SERENAD |11/12/2002|11/12/2002|6470148|C|          ||
TENET HEALTHCARE|99CON04790|03/17/2003|SERENAD |03/13/2003|03/13/2003|6540165|C|          ||
TENET HEALTHCARE|99CON04790|05/05/2003|SERENAD |05/02/2003|05/01/2003|6610142|C|          ||
TENET HEALTHCARE|99CON04790|07/14/2003|PATTIEV |07/09/2003|07/08/2003|6630091|C|          ||
TENET HEALTHCARE|99CON04790|07/14/2003|PATTIEV |07/10/2003|07/09/2003|6630090|C|          ||
TENET HEALTHCARE|99CON04790|03/18/2004|SERENAD |03/10/2004|03/10/2004|6720007|C|          ||
TENET HEALTHCARE|99CON04790|06/14/2004|CHERYLD |06/10/2004|06/09/2004|6810113|C|          ||
TENET HEALTHCARE|99CON04790|08/23/2004|SERENAD |08/19/2004|08/19/2004|6830242|C|          ||
TENET HEALTHCARE|99CON04790|01/03/2005|SERENAD |12/27/2004|12/27/2004|6890056|C|          ||
NEBRASKA BEEF LTD|99CON04797|08/10/2004|SERENAD |08/05/2004|08/04/2004|6830156|C|          ||
FIELD PAPER CO.|99CON04803|04/10/2002|DAVIDH  |11/30/2001|11/29/2001|6220118|C|          ||
THOMPSON REALTY GROUP|99CON04809|08/26/2002|TERII   |08/20/2002|08/19/2002|6430138|C|          ||
THOMPSON REALTY GROUP|99CON04809|02/18/2003|SERENAD |02/11/2003|02/10/2003|6510095|C|          ||
CATERPILLAR EMPLOYEES PAC|99CON04824|07/16/2001|TERII   |07/09/2001|07/06/2001|6200203|C|          ||
DINSMORE, RICHARD J., PC|99CON04878|04/14/2003|SERENAD |04/11/2003|04/11/2003|6600200|C|          ||
HOME REAL ESTATE SERVICES OF LINCOLN, INC.|99CON04932|05/31/2002|TERII   |05/29/2002|05/28/2002|6410055|C|          ||
HOME REAL ESTATE (PINE LAKE)|99CON04935|08/14/2003|DAVIDH  |07/29/2002|07/26/2002|6430051|C|          ||
SIGN PRO|99CON04940|04/14/2003|SERENAD |04/09/2003|04/08/2003|6600224|C|          ||
SIGN PRO|99CON04940|05/12/2003|SERENAD |05/09/2003|05/08/2003|6610192|C|          ||
777, INC DBA CLANCY\'S PUBS|99CON04953|05/20/2002|TERII   |05/14/2002|05/13/2002|6400230|C|          ||
INDUSTRIAL- IRRIGATION SERVICE|99CON04966|10/15/2001|TERII   |10/09/2001|10/08/2001|6210248|C|          ||
CITY NATIONAL BANK & TRUST|99CON04968|12/03/2001|TERII   |11/26/2001|11/21/2001|6220113|C|          ||
MILLER-MONROE|99CON05071|03/11/2002|TERII   |03/07/2002|03/06/2002|6320148|C|          ||
LIBERTY PROPERTY MANAGEMENT CO|99CON05086|03/25/2002|TERII   |03/18/2002|03/15/2002|6340203|C|          ||
SIMON PROPERTY GROUP|99CON05158|03/18/2002|TERII   |03/14/2002|03/11/2002|6330215|C|          ||
DELTA FUTURES GROUP|99CON05175|02/19/2002|TERII   |02/14/2002|02/11/2002|6280174|C|          ||
MADSEN\'S BOWLING & BILLIARDS|99CON05214|03/18/2002|TERII   |03/15/2002|03/14/2002|6330206|C|          ||
V.V.S INC|99CON05216|03/25/2002|TERII   |03/18/2002|03/15/2002|6340213|C|          ||
V.V.S INC|99CON05216|05/28/2002|TERII   |05/22/2002|05/20/2002|6410032|C|          ||
V.V.S INC|99CON05216|06/24/2002|TERII   |06/17/2002|06/14/2002|6410232|C|          ||
V.V.S INC|99CON05216|07/19/2002|TERII   |07/15/2002|07/11/2002|6420239|C|          ||
V.V.S INC|99CON05216|08/12/2002|TERII   |08/08/2002|08/06/2002|6430093|C|          ||
V.V.S INC|99CON05216|08/26/2002|TERII   |08/22/2002|08/20/2002|6430139|C|          ||
V.V.S INC|99CON05216|09/06/2002|TERII   |09/03/2002|08/29/2002|6430207|C|          ||
V.V.S INC|99CON05216|01/22/2004|CHERYLD |01/12/2004|01/09/2004|6650213|C|          ||
V.V.S INC|99CON05216|02/09/2004|CHERYLD |02/09/2004|02/06/2004|0      |C|          ||
V.V.S INC|99CON05216|04/21/2004|CHERYLD |04/15/2004|04/13/2004|6780161|C|          ||
V.V.S INC|99CON05216|06/01/2004|CHERYLD |05/24/2004|05/20/2004|6800238|C|          ||
V.V.S INC|99CON05216|08/02/2004|SERENAD |07/28/2004|07/26/2004|6830115|C|          ||
V.V.S INC|99CON05216|09/07/2004|CORIEJ  |08/30/2004|08/27/2004|6840068|C|          ||
V.V.S INC|99CON05216|09/20/2004|CORIEJ  |09/16/2004|09/14/2004|6840181|C|          ||
V.V.S INC|99CON05216|11/29/2004|SERENAD |11/22/2004|11/19/2004|6880119|C|          ||
AGROMAC INTERNATIONAL, INC.|99CON05480|02/25/2002|TERII   |02/22/2002|02/20/2002|6290086|C|          ||
ELI LILLY & COMPANY PAC|99CON05483|09/06/2002|TERII   |09/03/2002|08/29/2002|6430193|C|          ||
ELI LILLY & COMPANY PAC|99CON05483|10/21/2002|SERENAD |10/15/2002|10/15/2002|6450087|C|          ||
PAYPAL, INC.|99CON05494|03/04/2002|TERII   |02/28/2002|02/25/2002|6300197|C|          ||
TUTTLE, INC.|99CON05503|02/19/2002|TERII   |02/15/2002|02/14/2002|6280188|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|01/06/2003|PATTIEV |01/03/2003|01/02/2003|6480084|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|06/02/2003|SERENAD |05/27/2003|05/24/2003|6620087|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|03/11/2004|PATTIEV |02/26/2004|02/25/2004|6690136|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|07/26/2004|SERENAD |07/21/2004|07/20/2004|6830063|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|08/10/2004|SERENAD |08/02/2004|07/30/2004|6830146|C|          ||
DELLAMAN INC|99CON05559|02/27/2002|TERII   |02/27/2002|02/25/2002|0      |C|          ||
BUSINESS MANAGEMENT SOLUTIONS|99CON05570|04/08/2002|TERII   |04/02/2002|04/01/2002|6370016|C|          ||
UNIVERSITY OF NEBRASKA FOUNDATION|99CON05571|12/20/2004|SERENAD |12/14/2004|12/13/2004|6880235|C|          ||
RISKY\'S INC|99CON05593|04/22/2002|TERII   |04/19/2002|04/18/2002|6380214|C|          ||
B & B - Q, INC.|99CON05595|04/25/2002|TERII   |04/22/2002|04/22/2002|6390028|C|          ||
HERITAGE BANK|99CON05603|04/22/2002|TERII   |04/16/2002|04/12/2002|6380211|C|          ||
CORNERSTONE BANK, AURORA|99CON05604|05/28/2002|TERII   |05/21/2002|05/20/2002|6410025|C|          ||
DURANTE ASSOCIATES, INC|99CON05657|04/22/2002|TERII   |04/16/2002|04/09/2002|6380210|C|          ||
KREYCIK RIVER VIEW|99CON05662|01/06/2003|PATTIEV |12/30/2002|12/28/2002|6480088|C|          ||
FREEMAN COMPANY, INC|99CON05720|06/14/2002|TERII   |06/12/2002|06/11/2002|6410133|C|          ||
AVAYA INC|99CON05739|06/14/2002|TERII   |06/12/2002|06/11/2002|6410131|C|          ||
TYRO FARMS INC|99CON05742|05/20/2002|TERII   |05/17/2002|05/16/2002|6400249|C|          ||
SCOTTSBLUFF POLICE OFFICERS ASSN|99CON05808|05/20/2002|TERII   |05/13/2002|05/09/2002|6400246|C|          ||
CHEEMA CAPITAL LLC DBA TEXACO / LIQUOR MART|99CON05809|05/20/2002|TERII   |05/13/2002|05/10/2002|6400234|C|          ||
SCOTTSBLUFF COUNTY FOP LODGE|99CON05811|05/13/2002|TERII   |05/10/2002|05/08/2002|6400170|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|05/06/2002|SERENAD |04/30/2002|04/27/2002|6390182|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|06/28/2002|TERII   |06/28/2002|06/27/2002|6420130|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|08/26/2002|TERII   |08/21/2002|08/20/2002|6430133|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|05/12/2003|SERENAD |05/05/2003|05/02/2003|6610184|C|          ||
NE ELK BREEDERS ASSOC.|99CON05834|05/20/2002|TERII   |05/13/2002|05/10/2002|0      |C|          ||
B & R LEASING INC|99CON05860|07/19/2002|TERII   |07/16/2002|07/15/2002|6420226|C|          ||
PEARSON PROPERTIES|99CON05861|08/26/2002|TERII   |08/19/2002|08/17/2002|6430137|C|          ||
J & D INC|99CON05862|10/15/2002|TERII   |10/07/2002|10/07/2002|6450028|C|          ||
DIXIE QUICKS|99CON05926|05/28/2002|TERII   |05/20/2002|05/17/2002|6410027|C|          ||
SAMSON LAW OFFICE PC, LLO|99CON06006|11/12/2002|SERENAD |11/04/2002|11/01/2002|6470098|C|          ||
TYSON FOODS, INC|99CON06054|06/28/2002|TERII   |06/27/2002|06/24/2002|6420137|C|          ||
RAASCH APPRAISAL & CONSULTING|99CON06059|10/08/2002|TERII   |10/03/2002|10/02/2002|6440114|C|          ||
RICHDALE MANAGEMENT, INC|99CON06100|01/13/2003|SERENAD |01/09/2003|01/08/2003|6480236|C|          ||
GROSS SEED COMPANY INC|99CON06131|12/06/2004|SERENAD |12/01/2004|11/30/2004|6880136|C|          ||
NORFOLK AREA CHAMBER OF COMMERCE|99CON06139|10/15/2002|TERII   |10/09/2002|10/08/2002|6450041|C|          ||
GRATTON WAREHOUSE|99CON06198|01/13/2003|SERENAD |01/06/2003|01/03/2003|6480220|C|          ||
