Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|03/25/2009|CITY MEDIA GROUP/CITY WEEKLY|5015 DODGE ST STE 200 OMAHA, NE 68132|ADVERTISING|379|0||0|4945
DAUB FOR MAYOR 2009 |08CAC01150|05/05/2009|04/01/2009|MERIDIAN CENTRAL PUBLIC AFFAIR|2937 S 120TH ST OMAHA, NE 68144|PRINTING, DESIGN, POSTAGE, MAILER, PHONE CALLS|9910.13|0||0|4945
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|04/11/2000|02/11/2000|DOUGLAS CO ELECTION COMM      |225 N 115TH OMAHA NE                              |FILING FEE                                        |654||||2435
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|04/11/2000|03/24/2000|MATT WHIPKEY                  |11616 FARNAM OMAHA NE                             |CAMPAIGN CHAIRMAN FEE                             |1020||||2435
DIANE BATTIATO FOR REGISTER OF DEEDS|99CAC00439|04/11/2000|03/03/2000|FRED CONLEY                   |3354 N 37TH                                       |CAMPAIGN CONSULTANT FEE                           |1500||||2435
CITIZENS FOR WESELY|99CAC00006|01/31/2002|10/05/2001|MARKERS GRAPHIC DESIGN        |                                                  |CONSULTING/DESIGN                                 |3837.42||||333
BOB STEPHENS FOR CITY COUNCIL|99CAC00007|05/20/1999|03/01/1999|AUGUSTUMS PRINTING            |1621 S. 17TH                                      |PRINTING SERVICES (NOT BILLED YET)                |1000||||339
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|06/12/2001|04/30/2001|BROADCAST HOUSE               |4343 O STREET                                     |RADIO ADS                                         |2268|1|08/30/2001||348
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|06/12/2001|04/20/2001|SIGNS NOW                     |5571 SOUTH 48TH                                   |SIGNS                                             |785.97|1|01/28/2002||348
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|01/31/2002|04/23/2001|SIGNS NOW                     |5571 SOUTH 48                                     |SIGNS                                             |785.97|1|01/28/2002||284
SVOBODA FOR COUNCIL COMMITTEE (DISSOLVED 06)|99CAC00008|01/31/2002|05/07/2001|ON YOU MARKS                  |7337 SOUTH 32                                     |LABELS                                            |51.85|1|01/28/2002||284
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/08/1999|03/08/1999|GOLDENROD PRINTING            |                                                  |PRINTING EXPENSE                                  |595.86|1|05/11/1999||293
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/08/1999|03/02/1999|VILLAGER COURTYARD            |5200 O STREET                                     |CAMPAIGN RECEPTION                                |106.36|1|03/10/1999||293
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/08/1999|03/01/1999|FROSTY'S SPECIALTY ADVERT.    |134 NORTH 13TH STREET                             |YARD SIGNS                                        |2896|1|03/23/1999||293
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/20/1999|ON THE SPOT CREATIVE          |                                                  |RADIO PRODUCTION                                  |140|1|04/12/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/17/1999|FROSTY'S SPECIALTY ADVERTISING|                                                  |YARD SIGNS                                        |1630.53|1|03/23/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/17/1999|FROSTY'S SPECIALTY ADVERTISING|                                                  |SIGNS                                             |1579.92|1|03/23/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/16/1999|STEPHEN & SMITH CONSTRUCTION  |                                                  |REBAR                                             |40|1|04/04/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/16/1999|KINKO'S                       |                                                  |PHOTOCOPIES                                       |7|1|04/04/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/29/1999|03/25/1999|GOLDENROD PRINTING            |                                                  |PRINTING                                          |5026.36|1|05/11/1999||294
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/26/1999|04/20/1999|FROSTY'S SPECIALTY ADVERTISING|                                                  |YARD SIGNS                                        |633.17|1|04/20/1999||295
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/26/1999|04/19/1999|GOLDENROD PRINTING            |                                                  |PRINTING                                          |4000|1|05/11/1999||295
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/26/1999|03/16/1999|STEPHENS & SMITH CONSTRUCTION |                                                  |REBAR                                             |40|1|04/05/1999||295
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|03/10/2003|03/04/2003|FROSTY'S SPECIALTY ADVERT.    |                                                  |SIGNS                                             |3375.64|1|03/23/1999||301
CURT DONALDSON FOR CITY COUNCIL|99CAC00015|04/21/1999|04/12/1999|SWANSON RUSSELL & ASSOCIATES  |                                                  |DESIGN & PRINT                                    |1400||||389
CURT DONALDSON FOR CITY COUNCIL|99CAC00015|06/14/1999|04/20/1999|CURT DONALDSON                |2860 R ST.                                        |PHONE, SUPPLIES, & FOOD                           |150||||390
CURT DONALDSON FOR CITY COUNCIL|99CAC00015|06/14/1999|04/30/1999|SWANSON, RUSSELL              |1222 P ST.                                        |DESIGN - PRINT WORK                               |8500||||390
BAKER FOR LEGISLATURE|99CAC00025|01/15/2004|12/31/2003|TOM BAKER                     |HC BOX 140 TRENTON, NE                            |2003 MILEAGE                                      |1623|1|01/21/2004||415
CAMPBELL FOR LANCASTER COUNTY COMMISSIONER|99CAC00041|01/15/2003|12/28/2002|WINE MERCHANTS, INC           |                                                  |BEVERAGE SERVICE FOR VOLUNTEER PARTY              |951.03||||492
CAMPBELL FOR LANCASTER COUNTY COMMISSIONER|99CAC00041|01/15/2003|12/28/2002|BARRY'S BAR & GRILL           |                                                  |REFRESHMENTS FOR VOLUNTEER PARTY                  |1737.76||||492
HAHN FOR STATE AUDITOR|99CAC00043|12/16/1999|10/29/1998|GOLDENROD PRINTING            |329 S 11 LINCOLN NE                               |PRINTING ENVELOPES POSTAGE & MAILING              |5212||||495
HAHN FOR STATE AUDITOR|99CAC00043|12/16/1999|11/01/1998|JUDY MONAGHAN CONSULTING      |327 S 71 OMAHA NE                                 |REMAINDER OF RETAINER                             |700||||495
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|10/04/2004|01/01/1900|                              |                                                  |                                                  |0||||526
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/11/2005|10/29/2004|AUTOMATIC PRINTING            |                                                  |POSTCARDS AND MAILING                             |2135.88||||528
JOHN GREEN FOR OPPD COMMITTEE|99CAC00051|01/11/2005|10/29/2004|JUDITH SCHWEIKART             |                                                  |POSTAGE ADVANCE FOR FUNDRAISER                    |500||||528
COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU|99CAC00056|04/15/2002|02/26/2002|FARMER BROWN'S                |1406 GOLD COAST RD                                |LOCATION OF FUND RAISER                           |1250||||532
COMMITTEE TO RE-ELECT THOMAS LYNAM SARPY COUNTY SU|99CAC00056|04/15/2002|03/01/2002|TILFORD                       |1237 GOLDEN GATE DR                               |PRINTING NOTE CARDS                               |215||||532
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/28/2000|12/30/1999|LOVGREN ADVERTISING           |120 REGENCY PKWY OMAHA NE                         |DIRECT MAIL                                       |432.5||||552
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|02/04/2002|05/31/2001|LOVGREN ADVERTISING           |120 REGENCY PKWY                                  |DIRECT MAIL DESIGN                                |581.71||||554
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|06/24/2002|05/30/2002|SNAPPY COPY CENTER            |5434 F ST, OMAHA                                  |PRINTING & MAILING OF BROCHURE                    |1959.08||||557
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/15/2003|12/09/2002|DCM,INC.                      |13202N.RIVER ROAD OMAHA, NE                       |AUTOMATED CALLING SERVICES                        |1160.5||||560
MCCALLISTER FOR DOUGLAS COUNTY BOARD|99CAC00060|01/15/2003|12/31/2002|LOVGREN MARKETING GROUP       |120 REGENCY PARKWAY,STE.280 OMAHA, NE             |CAMPAIGN BROCHURE DEVELOPMENT SERVICE             |545||||560
MCFARLAND FOR GOVERNOR|99CAC00061|05/01/2000|05/12/1998|NORTH WOODS ADVERTISING       |119 N 4TH ST MINNEAPOLIS MN                       |MEDIA ADVERTISING                                 |3000||||564
MCFARLAND FOR GOVERNOR|99CAC00061|05/01/2000|04/27/1998|ROBERT OBERMAN                |OMAHA NE                                          |OFFICE SPACE                                      |1200||||564
MCFARLAND FOR GOVERNOR|99CAC00061|05/01/2000|04/27/1998|LANCASTER CO. CLERK           |LINCOLN NE                                        |CANDIDATE FILING FEE                              |650||||564
MCFARLAND FOR GOVERNOR|99CAC00061|05/01/2000|03/03/1998|GOLDENROD PRINTING            |LINCOLN NE                                        |PRINTING                                          |147||||564
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2002|05/12/1998|NORTH WOODS ADVERTISING       |200 TEXTILE BLDG MINN, MN                         |MEDIA ADVERTISING                                 |3000||||566
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2002|04/27/1998|JAMES MCFARLAND               |                                                  |REIMBURSEMENTS OWED                               |1997||||566
MCFARLAND FOR GOVERNOR|99CAC00061|02/11/2003|05/12/1998|NORTHWOODS ADVERTISING        |200 TEXTILE BUILDING MINNEAPOLIS,MN 55401         |REIMBURSEMENT TO JAMES MCFARLAND                  |2500||||567
MCFARLAND FOR GOVERNOR|99CAC00061|02/11/2003|04/27/1998|BERT OBERMAN                  |4832 SOUTH 24TH STREET OMAHA NE 68107             |REIMBURSEMENT TO JAMES MCFARLAND                  |1200||||567
MCFARLAND FOR GOVERNOR|99CAC00061|02/11/2003|04/27/1998|LANCASTER CO CLERK            |CANDIDATE FULING                                  |REIMBURSEMENT TO JAMES MCFARLAND                  |650||||567
MCFARLAND FOR GOVERNOR|99CAC00061|02/11/2003|03/03/1998|GOLDENROD PRINTING            |PRINTING                                          |REIMBURSEMENT TO JAMES MCFARLAND                  |147||||567
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2004|05/12/1998|NORTHWOODS ADVERTISING        |200 TEXTILE BUILDING 119 N. 4TH ST. MINNEAPOLIS, M|MEDIA ADVERTISING                                 |2500||||568
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2004|04/27/1998|BERT OBERMAN                  |4832 S. 24TH ST OMAHA, NE                         |OFFICE SPACE                                      |1200||||568
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2004|03/03/1998|GOLDENROD PRINTING            |LINCOLN, NE                                       |PRINTING/STATIONARY                               |147||||568
MCFARLAND FOR GOVERNOR|99CAC00061|01/29/2004|04/27/1998|LANCASTER COUNTY CLERK        |LINCOLN, NE                                       |CANDIDATE FILING FEE                              |650||||568
MCFARLAND FOR GOVERNOR|99CAC00061|01/31/2005|05/12/1998|NORTHWOODS ADVERTISING        |                                                  |MEDIA ADVERTISING                                 |2500||||569
MCFARLAND FOR GOVERNOR|99CAC00061|01/31/2005|04/27/1998|JAMES MCFARLAND               |                                                  |MISC. REIMBURSEMENTS                              |1997||||569
ROGER MORRISSEY FOR DOUGLAS COUNTY ASSESSOR|99CAC00072|10/09/2002|10/01/2002|AUTOMATIC PRINTING            |                                                  |CAMPAIGN POST CARD                                |260|1|10/14/2002||669
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/17/2002|11/13/2001|NEBRASKA CLUB                 |2000 US BANK BLDG                                 |ROOM RENT/FOOD FOR FUNDRAISER                     |171.43||||677
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|04/16/2002|02/18/2002|GOLDENROD PRINTING            |                                                  |PRINTING/SIGNS/ARTWORK                            |186.38||||678
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|04/16/2002|02/20/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE/MAILING                          |849.65||||678
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|04/16/2002|03/13/2002|GOLDENROD PRINTING            |                                                  |ARTWORK/PHOTO COPIES                              |28.86||||678
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|04/16/2002|03/28/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE/MAILING                          |882.72||||678
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|04/16/2002|03/30/2002|GOLDENROD PRINTING            |                                                  |GRAPHICS DESIGN                                   |21.3||||678
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|06/24/2002|02/04/2002|GOLDENROD PRINTING            |                                                  |CONSULTING FEES, HOPPE & ASSOCIATES               |830.7||||680
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|06/24/2002|04/28/2002|GOLDENROD PRINTING            |                                                  |PRINTING, POSTAGE, CONSULTING                     |844.2||||680
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|06/24/2002|04/24/2002|GOLDENROD PRINTING            |                                                  |PRINTING, POSTAGE, CONSULTING                     |1369.25||||680
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|10/28/2002|10/15/2002|LANCASTER COUNTY DEMOCRATS    |                                                  |COORDINATED CAMPAIGN                              |2500||||682
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|01/13/2003|11/04/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |4208.12||||683
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|02/02/2004|11/04/2002|GOLDENROD PRINTING            |                                                  |PRINTING/POSTAGE                                  |3408.12||||684
PEOPLE FOR NOLTE COMMITTEE|99CAC00076|02/01/2005|11/04/2004|GOLDENROD PRINTING            |2801 CORNHUSKER HWY, LINCOLN NE                   |PRINTING POSTAGE                                  |1908.12||||685
THE PRICE IS RIGHT FOR LEGISLATURE|99CAC00085|02/02/2004|12/31/2003|MARIAN PRICE                  |                                                  |POSTAGE,PHOTOS,ALLTEL,PRINTING,EVENTS,CARDS       |1220.76|1|01/17/2005||457
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/20/2000|GENOA LEADER TIMES            |PO BOX 429                                        |CHRISTMAS AD                                      |29.12||||707
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/21/2000|ST. EDWARD ADVANCE            |ST. EDWARD, NE                                    |CHRISTMAS AD                                      |15.68||||707
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/21/2000|HUMPHREY DEMOCRAT             |PO BOX 158                                        |CHRISTMAS AD                                      |28.05||||707
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/17/2000|COLUMBUS TELEGRAM             |1254 27TH AVENUE                                  |CHRISTMAS AD                                      |69.75||||707
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/20/2000|NANCE COUNTY JOURNAL          |PO BOX 10                                         |CHRISTMAS AD                                      |27.5||||707
ROBAK FOR LEGISLATURE|99CAC00090|01/30/2001|12/20/2000|NEWMAN GROVE REPORTER         |PO BOX 476                                        |CHRISTMAS AD                                      |23.85||||707
ROBAK FOR LEGISLATURE|99CAC00090|04/16/2002|03/31/2002|CAPITOL COMMUNICATIONS        |                                                  |CONSULTING                                        |1000||||709
ROBAK FOR LEGISLATURE|99CAC00090|06/25/2002|06/11/2002|PERFORMANCE PRINTING          |COLUMBUS                                          |NEWSLETTER                                        |916.97||||711
ROBAK FOR LEGISLATURE|99CAC00090|06/25/2002|06/04/2002|CAPITOL COMMUNICATIONS        |LINCOLN                                           |CONSULTING                                        |1000||||711
ROBAK FOR LEGISLATURE|99CAC00090|10/03/2002|09/01/2002|CAPITAL COMMUNICATIONS        |1233 LINCOLN MALL                                 |CONSULTING                                        |3000||||712
ROBAK FOR LEGISLATURE|99CAC00090|10/29/2002|08/01/2002|ALLTEL                        |                                                  |LONG DISTANCE                                     |171.33||||713
ROBAK FOR LEGISLATURE|99CAC00090|10/29/2002|09/01/2002|VORTEC TELECOM INC            |                                                  |LONG DISTANCE                                     |68.96||||713
ROBAK FOR LEGISLATURE|99CAC00090|10/29/2002|10/16/2002|COLUMBUS TELEGRAPH            |                                                  |ADS                                               |500||||713
ROBAK FOR LEGISLATURE|99CAC00090|01/15/2003|11/05/2002|ASAP PRINT SERVICES           |                                                  |BROCHURES, YARD SIGNS, POSTCARDS/MAIL SERVIC      |6395.68||||714
ROBAK FOR LEGISLATURE|99CAC00090|01/15/2003|11/05/2002|CAPITOL COMMUNICATIONS        |                                                  |CONSULTING                                        |3000||||714
STUHR FOR LEGISLATURE COMMITTEE|99CAC00094|01/31/2002|12/31/2001|ELAINE STUHR                  |208 RD 18                                         |MILEAGE                                           |1613.3|1|01/28/2002||726
CITIZENS FOR NEBRASKA'S FUTURE|99BQC00004|01/25/2001|06/25/1999|NE ACCT. & DISC. COMM         |                                                  |OUTSTANDING LATE FEES                             |25940.24||||109
CITIZENS FOR NEBRASKA'S FUTURE|99BQC00004|01/31/2003|12/01/2001|NE ACCOUNTABILITY AND DISCLOSU|                                                  |                                                  |25940.24||||111
CITIZENS FOR NEBRASKA'S FUTURE|99BQC00004|01/08/2004|12/01/2001|NE ACCOUNTABILITY & DISCLOSURE|BOX 95086 LINCOLN, NE                             |                                                  |25940.24||||112
CITIZENS FOR NEBRASKA'S FUTURE|99BQC00004|01/13/2005|12/01/2001|NADC                          |                                                  |FEES                                              |25940.24||||113
YES FOR KIDS COMMITTEE|99BQC00031|06/22/1999|06/15/1999|DCM                           |13202 N. RIVER RD.                                |MEDIA CREATIVE                                    |11000||||145
YES FOR KIDS COMMITTEE|99BQC00031|06/22/1999|06/15/1999|DAVID J. KRAMER               |1811 NO. 53RD ST.                                 |CONSULTING                                        |2000||||145
YES ON SCHOOLS COMMITTEE|99BQC00034|11/15/1999|10/06/1999|KEN WISTON                    |421 S 9TH ST #245, LINCOLN, NE 68508              |STAFF SERVICES                                    |250||||174
YES ON SCHOOLS COMMITTEE|99BQC00034|11/15/1999|10/06/1999|GOLDENROD PRINTING            |329 S 11TH ST., LINCOLN, NE. 68508                |STAFF SERVICES FROM RICHARD HOPPE                 |2500||||174
YES ON SCHOOLS COMMITTEE|99BQC00034|11/15/1999|10/06/1999|AVENEL ASSOCIATES             |1850 M STREET,NW,STE#840,WASHINGTON D.C. 20036    |MANAGEMENT SERVICES                               |5000||||174
YES ON SCHOOLS COMMITTEE|99BQC00034|11/15/1999|10/10/1999|MCSR                          |1150 17TH ST. NW.,STE#604, WASHINGTON,D.C. 20036  |TELEVISION COMMERCIAL PRODUTION                   |3304.15||||174
CITIZENS FOR 'MORE' NEW JOBS|99BQC00035|10/06/1999|09/15/1999|STAR HERALD                   |1405 BROADWAY, SCOTTSBLUFF, NE 69361              |ADVERTISING FLYER                                 |916||||176
CITIZENS FOR OUR CHILDREN'S FUTURE|99BQC00040|04/27/2000|04/17/2000|STAR HERALD                   |1405 BROADWAY SCOTTSBLUFF NE                      |PRINTED PROMOTIONAL MATERIAL                      |1044||||14
CITIZENS FOR OUR CHILDREN'S FUTURE|99BQC00040|06/16/2000|05/01/2000|KSTF                          |3385 N 10TH, GERING NE                            |ADVERTISING                                       |780||||15
CITIZENS FOR OUR CHILDREN'S FUTURE|99BQC00040|06/16/2000|05/01/2000|KMOR                          |P O BOX 532, SCOTTSBLUFF NE                       |ADVERTISING                                       |406||||15
CITIZENS FOR OUR CHILDREN'S FUTURE|99BQC00040|06/16/2000|05/01/2000|KOLT                          |P O BOX 660, SCOTTSBLUFF NE                       |ADVERTISING                                       |399||||15
TASK FORCE FOR KIDS|99BQC00042|08/21/2000|08/10/2000|SHARI MCCAIN                  |2728 PARK PLACE DRIVE                             |PACKETS                                           |88.67|1|08/16/2000||25
TASK FORCE FOR KIDS|99BQC00042|08/21/2000|08/09/2000|NEBRASKA PRINTING & LITHO     |238 EAST 6TH STREET                               |BROCHURES                                         |341.06|1|08/16/2000||25
COMMITTEE FOR BETTER JOBS & SAFER NEIGHBORHOODS|99BQC00043|06/08/2000|05/01/2000|GRAND ISLAND INDEPENDENT      |                                                  |PAPER ADVERTISING                                 |3000||||31
