Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
CITIZENS FOR A BETTER TOMORROW|08CFL003159|08IRC00492|10/24/2008|10/24/2008|7820225|Mack Crounse Group -McCoy for Legislature|2001 N Beauregard Street Suite 420 |Alexandria|VA|22311|7033414463|10/22/2008|4475.1|07FIS10919|O |||10/30/2008|nadc06|BEAU R MCCOY
CITIZENS FOR A BETTER TOMORROW|08CFL003181|08IRC00492|10/27/2008|10/28/2008|7840013|Mack Crounse Group - Paul Eurek|2001 N. Beauregard St #420|Alexandria|VA|22311||10/24/2008|14779.56|07FIS10951|O |||11/04/2008|nadc01|PAUL  EUREK
CITIZENS FOR A BETTER TOMORROW|08CFL003182|08IRC00492|10/27/2008|10/28/2008|7840014|Mack Crounse Group - Scott Lautenbaugh|2001 N. Beauregard St. #420|alexandria|VA|22311||10/24/2008|6413.55|07FIS10931|O |||11/04/2008|nadc01|SCOTT A LAUTENBAUGH
CITIZENS FOR A BETTER TOMORROW|08CFL003243|08IRC00492|11/05/2008|11/05/2008|7840148|Field Works LLC - Kopplin for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|11/03/2008|1666.67|99FIS09559|S |||11/10/2008|nadc06|GAIL F KOPPLIN
CITIZENS FOR A BETTER TOMORROW|08CFL003244|08IRC00492|11/05/2008|11/05/2008|7840149|Field Works LLC - Lorenzen 2008|2852 Connecticut Ave NW|Washtington|DC|20008|2026674400|11/03/2008|1666.67|08FIS10973|S |||11/10/2008|nadc06|CARL A LORENZEN
CITIZENS FOR A BETTER TOMORROW|08CFL003245|08IRC00492|11/05/2008|11/05/2008|7840150|Field Works LLC - Rex Moats for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|11/03/2008|1666.67|07FIS10930|S |||11/10/2008|nadc06|REX  J MOATS
CITIZENS FOR OMAHA'S FUTURE|11CFL004687|10IRC00500|01/18/2011|01/18/2011|8340128|Nebraska Strategy Group - Mayor Suttle Recall Committee|1001 O Street, Suite 306|Lincoln|NE|68506|4027701954|01/13/2011|9399.78|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004688|10IRC00500|01/18/2011|01/18/2011|8340129|Polish Enterprises - Mayor Suttle Recall Committee|PO Box 540723|Omaha|NE|68154|4026600395|01/13/2011|14469.56|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004689|10IRC00500|01/18/2011|01/18/2011|8340130|Quality Press - Mayor Suttle Recall Committee|3500 North 20th Street|Lincoln|NE|68521||01/14/2011|1420.05|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004692|10IRC00500|01/19/2011|01/19/2011|8340131|NEBRASKA STRATEGY GROUP - Mayor Suttle Recall Committee|1001 O STREET, SUITE 306|LINCOLN|NE|68154|4027701954|01/18/2011|2000|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004693|10IRC00500|01/19/2011|01/19/2011|8340132|NEBRASKA STRATEGY GROUP - Mayor Suttle Recall Committee|1001 O STREET, SUITE GROUP|LINCOLN|NE|68506|4027701954|01/19/2011|2448.29|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004694|10IRC00500|01/19/2011|01/19/2011|8340133|POST MASTER - Mayor Suttle Recall Committee|1124 PACIFIC STREET |OMAHA|NE|68108||01/18/2011|5077.78|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004695|10IRC00500|01/19/2011|01/19/2011|8340135|QUALITY PRESS - Mayor Suttle Recall Committee|3500 NORTH 20TH STREET|LINCOLN|NE|68521||01/18/2011|1420.05|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004696|10IRC00500|01/19/2011|01/19/2011|8340134|QUALITY PRESS - Mayor Suttle Recall Committee|3500 NO 20TH STREET|LINCOLN|NE|68521||01/18/2011|2840.1|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004700|10IRC00500|01/21/2011|01/21/2011|8340138|Strategy Group Media - Mayor Suttle Recall Committee|7669 Stagers Loop|Delaware|OH|43015||10/19/2011|2500|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004701|10IRC00500|01/21/2011|01/21/2011|8340137|Post Master - Mayor Suttle Recall Committee|1124 Pacific Street|Omaha|NE|68108||01/20/2011|5077.78|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004702|10IRC00500|01/21/2011|01/21/2011|8340136|Post Master - Mayor Suttle Recall Committee|1124 Pacific Street|Omaha|NE|68108||01/20/2011|1348.97|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004703|10IRC00500|01/26/2011|01/26/2011|8350047|QUALITY PRESS - MAYOR SUTTLE RECALL COMMITTEE|3500 NORTH 20TH STREET|LINCOLN|NE|68521||01/24/2011|2840.1|||10BQC00272|S |04/11/2011|nadc05|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004704|10IRC00500|01/26/2011|01/26/2011|8350048|Campaign HQ - Mayor Suttle Recall Committee|PO Box 257|Brooklyn|IA|52211||01/25/2011|2034.18|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE|11CFL004705|10IRC00500|01/26/2011|01/26/2011|8350049|Campaign HQ - Mayor Suttle Recall Committee|PO Box 257|Brooklyn|IA|52211||01/24/2011|22287.7|||10BQC00272|S |02/03/2011|nadc06|Recall of Omaha Mayor Jim Suttle
LEADERSHIP COMMITTEE, THE|10CFL004625|10IRC00499|10/29/2010|11/01/2010|0|NextGen Persuasion, LLC - Lautenbaugh for Legislature|2452 18th Street, NW 2nd Floor|Washington|DC|20009|3014046070|10/27/2010|29000|07FIS10931|O |||11/02/2010|nadc06|SCOTT A LAUTENBAUGH
LEADERSHIP COMMITTEE, THE|10CFL004626|10IRC00499|11/02/2010|11/03/2010|0|Zata-3 Consulting, LLC - Lautenbaugh for Legislature|458 New Jersey Ave, SE|Washington|DC|20003||10/29/2010|3350|07FIS10931|O |||11/03/2010|nadc01|SCOTT A LAUTENBAUGH
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|08CFL003170|99PAC00031|10/27/2008|10/27/2008|7840017|All Needs Computer & Mailing Services - Ken Haar for Legislature|8100 South 13th Street|Lincoln|NE|68512||10/23/2008|1846.07|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|07CFL002282|99PAC00007|05/15/2007|05/15/2007||Cardinal Communications|925 University Avenue, Suite A|Sacramento|CA|95825|8004059796|04/29/2007|1116.46|99FIS00011|S |||05/16/2007|nadc06|KEN   SVOBODA
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002501|08IRC00486|05/06/2008|05/06/2008|0|First Class Mail, LLC|2345 Grand Blvd, Suite 20|Kansas City|MO|64108||05/06/2008|2722.7|07FIS10945|O |||05/07/2008|nadc01|KENNETH E SCHILZ
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002502|08IRC00486|05/06/2008|05/06/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/06/2008|2037.75|99FIS09559|O |||05/07/2008|nadc01|GAIL F KOPPLIN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002503|08IRC00486|05/06/2008|05/06/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/06/2008|951.6|07FIS10964|S |||05/07/2008|nadc01|REBECCA  BARRIENTOS-PATLAN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002504|08IRC00486|05/06/2008|05/06/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/06/2008|1316.35|99FIS08131|O |||05/07/2008|nadc01|DAVID R NEWELL
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002505|08IRC00486|05/06/2008|05/06/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/06/2008|3351.4|08FIS11259|S |||05/07/2008|nadc01|BRENT T SMOYER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002506|08IRC00486|05/06/2008|05/06/2008||First Class mail, LLC|2345 Grand Blvd, Suite 250|kansas city|MO|68410||05/06/2008|2384.2|08FIS11024|S |||05/07/2008|nadc01|JAMES F GEORGE
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002507|08IRC00486|05/06/2008|05/06/2008||first class mail, llc|2345 grand blvd, suite 250|kansas city|MO|64108||05/06/2008|2722.7|07FIS10919|S |||05/07/2008|nadc01|BEAU R MCCOY
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002508|08IRC00486|05/05/2008|05/05/2008||first class mail direct|2345 grand blvd, suite 250|kansas city|MO|64108||05/05/2008|2037.75|07FIS10886|S |||05/07/2008|nadc01|SCOTT A PRICE
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002509|08IRC00486|05/05/2008|05/05/2008||first class mail direct|2345 grand blvd, suite 250|kansas city|MO|64108||05/05/2008|1316.25|07FIS10915|S |||05/07/2008|nadc01|KURT L GESCHWENDER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002510|08IRC00486|05/05/2008|05/05/2008||first class mail direct|2345 grand blvd, suite 250|kansas city|MO|64108||05/05/2008|2081.95|07FIS10960|S |||05/07/2008|nadc01|JAMES A JEFFERS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002511|08IRC00486|05/05/2008|05/05/2008||first class mail direct|2345 grand blvd, suite 250|kansas city|MO|64108||05/05/2008|1885|07FIS10917|S |||05/07/2008|nadc01|GREGORY M NEUHAUS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002512|08IRC00486|05/05/2008|05/05/2008||first class mail direct|2345 grand blvd, suite 250|kansas city|MO|64108||05/05/2008|2936.7|07FIS10937|S |||05/07/2008|nadc01|KARL L ELMSHAEUSER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002529|08IRC00486|05/07/2008|05/07/2008||First Class Mail, LLC|235 Grand Blvd, Suite 250|Kansas City|MO|64108||05/07/2008|2037.75|07FIS10886|S |||05/08/2008|nadc01|SCOTT A PRICE
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002530|08IRC00486|05/07/2008|05/07/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/07/2008|2081.95|07FIS10960|S |||05/08/2008|nadc01|JAMES A JEFFERS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002531|08IRC00486|05/07/2008|05/07/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/07/2008|1885|07FIS10917|S |||05/08/2008|nadc01|GREGORY M NEUHAUS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL002532|08IRC00486|05/07/2008|05/07/2008||First Class Mail, LLC|2345 Grand Blvd, Suite 250|Kansas City|MO|64108||05/07/2008|2936.7|07FIS10937|S |||05/08/2008|nadc01|KARL L ELMSHAEUSER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003161|08IRC00486|10/27/2008|10/24/2008|7820233|Axiom Strategies -Sullivan for Legislature|2345 Grand Boulevard, Suite 250|Kansas City |MO|64108|8164071222|10/27/2008|7000|07FIS10940|O |||10/29/2008|nadc06|KATHLEEN A SULLIVAN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003162|08IRC00486|10/27/2008|10/24/2008|7820226|Axiom Strategies -Tanya Cook for Legislature|2345 Grand Blvd, Suite 250 |Kansas City |MO|64108|8164071222|10/27/2008|7000|07FIS10954|O |||10/29/2008|nadc06|TANYA D COOK
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003163|08IRC00486|10/27/2008|10/24/2008|7820227|Axiom Strategies-Tanya Cook for Legislature|2345 Grand Blvd., Suite 250|Kansas City |MO|64108|8164071222|10/28/2008|7000|07FIS10954|O |||10/29/2008|nadc06|TANYA D COOK
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003164|08IRC00486|10/27/2008|10/24/2008|7820228|Axiom Strategies - Ken Haar for Legislature|2345 Grand Blvd., Suite 250|Kansas City |MO|64108|8164071222|10/27/2008|7000|08FIS11036|O |||10/29/2008|nadc06|KENNETH W HAAR
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003165|08IRC00486|10/27/2008|10/24/2008|7820229|Axiom Strategies -Ken Haar for Legislature|2345 Grand Blvd., Suite 250|Kansas City |MO|64108|8164071222|10/28/2008|7000|08FIS11036|O |||10/29/2008|nadc06|KENNETH W HAAR
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003166|08IRC00486|10/27/2008|10/24/2008|7820230|Axiom Strategies -Kopplin for Legislature|2345 Grand Blvd., Suite 250|Kansas City |MO|64108|8164071222|10/27/2008|7000|99FIS09559|O |||10/29/2008|nadc06|GAIL F KOPPLIN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003167|08IRC00486|10/27/2008|10/24/2008|7820231|Axiom Strategies -Kopplin for Legislature|2345 Grand Blvd., Suite 250 |Kansas City |MO|64108|8194071222|10/28/2008|7000|99FIS09559|O |||10/29/2008|nadc06|GAIL F KOPPLIN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003168|08IRC00486|10/27/2008|10/24/2008|7820232|Axiom Strateigies - Chuck Shoemaker for Legislature|2345 Grand Blvd., Suite 250|Kansas City |MO|64108|8164071222|10/27/2008|7000|08FIS11065|O |||10/29/2008|nadc06|DON   (CHUCK) C SHOEMAKER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003194|08IRC00486|10/29/2008|10/29/2008|7840022|Axiom Strategies - Kopplin For Legislature|2345 Grand Boulevard #250|kansas city|MO|64108||10/27/2008|249.76|99FIS09559|O |||11/04/2008|nadc01|GAIL F KOPPLIN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003195|08IRC00486|10/29/2008|10/29/2008|7840023|Axiom Strategies - Tanya Cook for Legislature|2345 Grand Boulevard #250|Kansas City|MO|64108||10/27/2008|227.28|07FIS10954|O |||11/04/2008|nadc01|TANYA D COOK
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003197|08IRC00486|10/29/2008|10/29/2008|7840024|Axiom Strategies - Ken Haar for Legislature|2345 Grand Boulevard #250|Kansas City|MO|64108||10/27/2008|155.16|08FIS11036|O |||11/04/2008|nadc01|KENNETH W HAAR
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003198|08IRC00486|10/29/2008|10/29/2008|7840025|Axiom Strategies - Chuck Shoemaker for Legislature|2345 Grand Boulevard #250|Kansas City|MO|64108||10/27/2008|303.44|08FIS11065|O |||11/04/2008|nadc01|DON   (CHUCK) C SHOEMAKER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003199|08IRC00486|10/29/2008|10/29/2008|7840026|Axiom Strategies - Rex Moats for Legislature|2345 Grand Boulevard #250|Kansas City|MO|64108||10/27/2008|297.44|07FIS10930|O |||11/04/2008|nadc01|REX  J MOATS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003200|08IRC00486|10/29/2008|10/29/2008|7840027|Axiom Strategies - Sullivan for Legislature|2345 Grand Boulevard #250|Kansas City|MO|64108||10/27/2008|325.64|07FIS10940|O |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003237|08IRC00486|10/28/2008|10/28/2008|7840018|Axiom Strategies - Tanya Cook for Legislature|2345 Grand Blvd, #250|Kansas City|MO|64108||10/29/2008|7000|07FIS10954|O |||11/04/2008|nadc01|TANYA D COOK
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003238|08IRC00486|10/28/2008|10/28/2008|7840019|Axiom Strategies - Kopplin for Legislature|2345 Grand Blvd, #250|Kansas City|MO|64108||10/29/2008|7000|99FIS09559|O |||11/04/2008|nadc01|GAIL F KOPPLIN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003239|08IRC00486|10/28/2008|10/28/2008|7840020|Axiom Strategies - Sullivan for Legislature|2345 Grand Blvd, #250|Kansas City|MO|64108||10/30/2008|7000|07FIS10940|O |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003240|08IRC00486|10/28/2008|10/28/2008|7840021|Axiom Strategies - Rex Moats for Legislature|2345 Grand Blvd, #250|Kansas City|MO|64108||10/30/2008|7000|07FIS10930|O |||11/04/2008|nadc01|REX  J MOATS
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|08CFL003242|08IRC00486|11/04/2008|11/04/2008|7840151|Axiom Strategies - Dennis Utter for Legislature|2345 Grand Blvd, Suite 250|Kansas City |MO|64108|8164071222|10/31/2008|303.44|07FIS10908|S |||11/10/2008|nadc06|DENNIS R UTTER
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|09CFL003437|08IRC00486|05/04/2009|05/04/2009|8010037|Clear Channel Radio - Daub for Mayor 2009|5010 Underwood Avenue|Omaha|NE|68132|4025568000|05/01/2009|2800|99FIS00251|S |||05/15/2009|nadc01|HAL   DAUB
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|09CFL003438|08IRC00486|05/04/2009|05/04/2009|8010038|Clear Channel Radio - Jim Suttle for Mayor of Omaha|5010 Underwood Avenue|Omaha|NE|68132|4025568000|05/01/2009|4200|99FIS09878|O |||05/15/2009|nadc01|JAMES H SUTTLE
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|09CFL003440|08IRC00486|05/06/2009|05/06/2009|8010040|Clear Channel Radio - Jim Suttle for Mayor of Omaha|5010 Underwood Avenue|Omaha|NE|68132|4025568000|05/05/2009|1308|99FIS09878|O |||05/15/2009|nadc01|JAMES H SUTTLE
NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)|09CFL003441|08IRC00486|05/06/2009|05/06/2009|8010039|Clear Channel Radio - Daub for Mayor 2009|5010 Underwood Avenue|Omaha|NE|68132|4025568000|05/05/2009|872|99FIS00251|S |||05/15/2009|nadc01|HAL   DAUB
NATIONAL RIFLE ASSOCIATION PAC|11CFL004698|99PAC00036|01/20/2011|01/20/2011|0|Prolist, Inc. - Jim Suttle for Mayor of Omaha|8341 Beechcraft Avenue|Gaithersburg|MD|20879|3019244545|01/19/2011|3333.41|99FIS09878|O |||01/26/2011|nadc06|JAMES H SUTTLE
NE ASSOCIATION OF TRIAL ATTORNEYS -PAC|06CFL002193|99PAC00104|11/07/2006|11/07/2006||FIELDWORKS|2852 CONNECTICUT AVE NW|WASHINGTON|DC|20008|2026674400|11/01/2006|2000|05FIS10061|S |||11/07/2006|nadc06|STEVEN  LATHROP
NE CHAMBER OF COMMERCE & INDUSTRY PAC|10CFL004649|99PAC00097|11/18/2010|11/18/2010|8310141|The Cottington Group - Lautenbaugh for Legislature|1151 Orchard Circle|St Paul|MN|55118|6512078847|10/31/2010|1500|07FIS10931|S |||11/22/2010|nadc06|SCOTT A LAUTENBAUGH
NE CHAMBER OF COMMERCE & INDUSTRY PAC|10CFL004650|99PAC00097|11/18/2010|11/18/2010|8310141|The Cottington Group - K nabe for Legislature|1151 Orchard Group|St Paul|MN|55118|6512078847|10/31/2010|1500|10FIS11595|S |||11/22/2010|nadc06|JOHN W KNABE
NE FARM BUREAU FEDERATION PAC|06CFL000366|99PAC00055|05/01/2006|05/01/2006|7300019|Mid America  Ag Network -Heineman|1632 S Maize Rd|Wichita|KS|67209|3167218484|04/28/2006|1000|99FIS05555|S |||07/11/2008|nadc05|DAVID E HEINEMAN
